0, 0, Header, 1, 4, 480
1, 0, Start_track
1, 0, Tempo, 600000
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 45120, Tempo, 597015
1, 45124, Tempo, 600000
1, 45192, Tempo, 597015
1, 45360, Tempo, 600000
1, 45404, Tempo, 603015
1, 45464, Tempo, 600000
1, 45544, Tempo, 603015
1, 45564, Tempo, 606061
1, 45944, Tempo, 603015
1, 46100, Tempo, 598922
1, 46120, Tempo, 601926
1, 46140, Tempo, 604961
1, 46160, Tempo, 608026
1, 46180, Tempo, 611122
1, 46200, Tempo, 614251
1, 46220, Tempo, 617411
1, 46240, Tempo, 620604
1, 46260, Tempo, 623830
1, 46280, Tempo, 627090
1, 46300, Tempo, 630385
1, 46320, Tempo, 633714
1, 46340, Tempo, 637078
1, 46360, Tempo, 640478
1, 46380, Tempo, 647389
1, 46400, Tempo, 650900
1, 46420, Tempo, 654450
1, 46440, Tempo, 658039
1, 46460, Tempo, 661667
1, 46480, Tempo, 665336
1, 46500, Tempo, 669045
1, 46520, Tempo, 672797
1, 46540, Tempo, 676590
1, 46560, Tempo, 680426
1, 46580, Tempo, 684307
1, 46600, Tempo, 688231
1, 46620, Tempo, 692201
1, 46640, Tempo, 700280
1, 46660, Tempo, 704391
1, 46680, Tempo, 708550
1, 46700, Tempo, 712758
1, 46720, Tempo, 717017
1, 46740, Tempo, 721327
1, 46760, Tempo, 725689
1, 46780, Tempo, 730105
1, 46800, Tempo, 734574
1, 46820, Tempo, 739098
1, 46840, Tempo, 743679
1, 46860, Tempo, 748316
1, 46880, Tempo, 753012
1, 46900, Tempo, 762583
1, 46920, Tempo, 767460
1, 46940, Tempo, 772400
1, 46960, Tempo, 777403
1, 46980, Tempo, 782473
1, 47000, Tempo, 787608
1, 47020, Tempo, 792812
1, 47040, Tempo, 798085
1, 47060, Tempo, 803428
1, 47080, Tempo, 808843
1, 47100, Tempo, 814332
1, 47120, Tempo, 819896
1, 47140, Tempo, 825537
1, 47160, Tempo, 837054
1, 47180, Tempo, 842933
1, 47200, Tempo, 848896
1, 47220, Tempo, 854944
1, 47240, Tempo, 861079
1, 47260, Tempo, 867303
1, 47280, Tempo, 873617
1, 47300, Tempo, 880023
1, 47320, Tempo, 886525
1, 47340, Tempo, 893123
1, 47360, Tempo, 899820
1, 47380, Tempo, 906618
1, 47400, Tempo, 913520
1, 47420, Tempo, 927644
1, 47440, Tempo, 934871
1, 47460, Tempo, 942211
1, 47480, Tempo, 949668
1, 47500, Tempo, 957243
1, 47520, Tempo, 964940
1, 47540, Tempo, 972763
1, 47560, Tempo, 980713
1, 47580, Tempo, 988794
1, 47600, Tempo, 997009
1, 47620, Tempo, 1005362
1, 47640, Tempo, 1013856
1, 47660, Tempo, 1022495
1, 47680, Tempo, 1040222
1, 47700, Tempo, 1049318
1, 47720, Tempo, 1058574
1, 47740, Tempo, 1067996
1, 47760, Tempo, 1077586
1, 47780, Tempo, 1087350
1, 47800, Tempo, 1097293
1, 47820, Tempo, 1107420
1, 47840, Tempo, 1117735
1, 47860, Tempo, 1128244
1, 47880, Tempo, 1138952
1, 47900, Tempo, 1149866
1, 47920, Tempo, 1160991
1, 47940, Tempo, 1183899
1, 47952, Tempo, 1212121
1, 47972, Tempo, 1224490
1, 48004, Tempo, 1237113
1, 48032, Tempo, 1250000
1, 48060, Tempo, 1263158
1, 48104, Tempo, 1276596
1, 48104, End_track
2, 0, Start_track
2, 0, Title_t, "FLUTE"
2, 0, MIDI_port, 0
2, 0, Channel_prefix, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 39
2, 0, Control_c, 0, 7, 89
2, 0, Control_c, 0, 93, 95
2, 0, Program_c, 0, 0
2, 120, Control_c, 0, 7, 109
2, 240, Note_on_c, 0, 65, 64
2, 360, Note_off_c, 0, 65, 64
2, 440, Control_c, 0, 7, 110
2, 480, Note_on_c, 0, 69, 64
2, 600, Note_off_c, 0, 69, 64
2, 720, Note_on_c, 0, 65, 64
2, 840, Note_off_c, 0, 65, 64
