0, 0, Header, 1, 5, 48
1, 0, Start_track
1, 0, Title_t, "\203s\203A\203m\203\\\203i\203^ \221\346\202Q\202X\224\324 \201u\203n\203\223\203}\201[\203N\203\211\203\224\203B\203A\201v \221\346\202P\212y\217\315"
1, 0, Text_t, "CVS Ver5.05 Created\012"
1, 0, Text_t, "\351a\351d\351d\351s\351g\351n\351u\351d\351m\012"
1, 0, Text_t, "\351j\351k\351`\351u\351h\351d\351q \351r\351n\351m\351`\351s\351d\012"
1, 0, Text_t, "\351a-\351\344\351\362\351\306\374@\351n\351\311.\351P\351O\351U\012"
1, 0, Text_t, "<\351g\351\374\351\354\351\354\351\340\351\306\351\357\351\356\351\374\351\373\351\353\351\340\351\306>\012"
1, 0, Text_t, "\374m\351h\374n\012"
1, 0, Text_t, "Ver.3 ^^;;\012"
1, 0, Text_t, "by \342p\342p\351\246\351-\351\246\012"
1, 0, Text_t, "(MXH00403)\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 04, 7F, 3D, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 30, 03, 0C, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 31, 03, 0B, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 33, 40, 4C, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 34, 45, 46, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 38, 02, 05, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 3A, 40, 45, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 3E, 13, 6E, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 3D, 00, 02, F7
1, 0, MIDI_port, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 545455
1, 288, Time_signature, 2, 2, 24, 8
1, 288, Tempo, 397351
1, 300, Tempo, 576923
1, 336, Tempo, 508475
1, 348, Tempo, 545455
1, 372, Tempo, 530973
1, 384, Tempo, 521739
1, 396, Tempo, 618557
1, 420, Tempo, 638298
1, 480, Tempo, 372671
1, 492, Tempo, 545455
1, 528, Tempo, 530973
1, 540, Tempo, 545455
1, 564, Tempo, 530973
1, 576, Tempo, 582524
1, 588, Tempo, 750000
1, 612, Tempo, 952381
1, 636, Tempo, 4615385
1, 660, Tempo, 530973
1, 672, Tempo, 576923
1, 684, Tempo, 545455
1, 708, Tempo, 555556
1, 732, Tempo, 566038
1, 756, Tempo, 555556
1, 768, Tempo, 530973
1, 780, Tempo, 555556
1, 804, Tempo, 566038
1, 828, Tempo, 582524
1, 852, Tempo, 545455
1, 864, Tempo, 540541
1, 876, Tempo, 576923
1, 900, Tempo, 625000
1, 912, Tempo, 606061
1, 924, Tempo, 659341
1, 936, Tempo, 705882
1, 960, Tempo, 821918
1, 972, Tempo, 923077
1, 984, Tempo, 1034483
1, 996, Tempo, 1224490
1, 1008, Tempo, 1764706
1, 1020, Tempo, 4615385
1, 1032, Tempo, 6000000
1, 1044, Tempo, 576923
1, 1056, Tempo, 530973
1, 1068, Tempo, 540541
1, 1092, Tempo, 545455
1, 1116, Tempo, 530973
1, 1140, Tempo, 517241
1, 1152, Tempo, 508475
1, 1164, Tempo, 540541
1, 1188, Tempo, 517241
1, 1212, Tempo, 530973
1, 1236, Tempo, 508475
1, 1248, Tempo, 521739
1, 1260, Tempo, 540541
1, 1284, Tempo, 530973
1, 1296, Tempo, 517241
1, 1308, Tempo, 530973
1, 1320, Tempo, 540541
1, 1332, Tempo, 530973
1, 1380, Tempo, 521739
1, 1404, Tempo, 517241
1, 1428, Tempo, 521739
1, 1440, Tempo, 530973
1, 1452, Tempo, 521739
1, 1464, Tempo, 491803
1, 1476, Tempo, 521739
1, 1488, Tempo, 545455
1, 1500, Tempo, 530973
1, 1524, Tempo, 540541
1, 1536, Tempo, 521739
1, 1548, Tempo, 530973
1, 1560, Tempo, 500000
1, 1572, Tempo, 521739
1, 1584, Tempo, 540541
1, 1596, Tempo, 517241
1, 1608, Tempo, 521739
1, 1632, Tempo, 517241
1, 1644, Tempo, 521739
1, 1668, Tempo, 530973
1, 1692, Tempo, 521739
1, 1704, Tempo, 530973
1, 1716, Tempo, 521739
1, 1728, Tempo, 540541
1, 1740, Tempo, 582524
1, 1752, Tempo, 517241
1, 1764, Tempo, 480000
1, 1776, Tempo, 508475
1, 1788, Tempo, 566038
1, 1812, Tempo, 618557
1, 1836, Tempo, 759494
1, 1848, Tempo, 545455
1, 1860, Tempo, 500000
1, 1872, Tempo, 521739
1, 1884, Tempo, 576923
1, 1896, Tempo, 521739
1, 1908, Tempo, 500000
1, 1920, Tempo, 759494
1, 1932, Tempo, 517241
1, 1944, Tempo, 530973
1, 1956, Tempo, 500000
1, 1968, Tempo, 530973
1, 1980, Tempo, 500000
1, 1992, Tempo, 521739
1, 2004, Tempo, 500000
1, 2016, Tempo, 689655
1, 2028, Tempo, 714286
1, 2040, Tempo, 566038
1, 2052, Tempo, 508475
1, 2064, Tempo, 521739
