0, 0, Header, 1, 4, 240
1, 0, Start_track
1, 0, Title_t, "0 textes   "
1, 0, Tempo, 400000
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -3, "minor"
1, 0, Text_t, "Ludwig von Beethoven valse anh.14 n\260 3 en do mineur"
1, 0, Copyright_t, "S\351quencage Paul.M.P.Blondel \340 paris , Septembre 2002"
1, 0, Instrument_name_t, "pianoforte"
1, 0, Marker_t, "Allegro vivace"
1, 480, Tempo, 389333
1, 480, Marker_t, "m\203"
1, 660, Tempo, 404000
1, 720, Tempo, 388000
1, 1200, Tempo, 373333
1, 1380, Tempo, 344000
1, 1440, Tempo, 395000
1, 1680, Tempo, 392000
1, 1920, Tempo, 386000
1, 2160, Tempo, 384000
1, 2640, Tempo, 381333
1, 2820, Tempo, 352000
1, 2880, Tempo, 387000
1, 3120, Tempo, 394000
1, 3360, Tempo, 390000
1, 3600, Tempo, 383000
1, 3600, Marker_t, "p"
1, 3840, Tempo, 402000
1, 4080, Tempo, 401000
1, 4320, Tempo, 388000
1, 4560, Tempo, 382000
1, 4800, Tempo, 392000
1, 5040, Tempo, 368000
1, 5160, Tempo, 400000
1, 5280, Tempo, 399000
1, 5520, Tempo, 406000
1, 5760, Tempo, 406500
1, 6240, Tempo, 401333
1, 6240, Marker_t, "m\203"
1, 6420, Tempo, 280000
1, 6480, Tempo, 387500
1, 6960, Tempo, 389333
1, 7140, Tempo, 312000
1, 7200, Tempo, 382000
1, 7440, Tempo, 372000
1, 7680, Tempo, 384000
1, 7920, Tempo, 405000
1, 8400, Tempo, 361333
1, 8580, Tempo, 372000
1, 8640, Tempo, 391000
1, 8880, Tempo, 407000
1, 9120, Tempo, 410000
1, 9360, Tempo, 399000
1, 9360, Marker_t, "p"
1, 9600, Tempo, 389000
1, 9840, Tempo, 403000
1, 10080, Tempo, 398000
1, 10320, Tempo, 395000
1, 10560, Tempo, 390000
1, 10800, Tempo, 382000
1, 10920, Tempo, 388000
1, 11040, Tempo, 396000
1, 11280, Tempo, 408000
1, 11520, Tempo, 403000
1, 12000, Tempo, 398666
1, 12000, Marker_t, "p"
1, 12180, Tempo, 360000
1, 12240, Tempo, 402000
1, 12480, Tempo, 402000
1, 12720, Tempo, 399000
1, 12960, Tempo, 395000
1, 12960, Marker_t, "cresc."
1, 13200, Tempo, 405000
1, 13440, Tempo, 394000
1, 13680, Tempo, 397000
1, 13920, Tempo, 405000
1, 14160, Tempo, 391000
1, 14400, Tempo, 396000
1, 14640, Tempo, 390000
1, 14880, Tempo, 398000
1, 15120, Tempo, 398000
1, 15360, Tempo, 401000
1, 15600, Tempo, 409000
1, 15840, Tempo, 420000
1, 15840, Marker_t, "\203"
1, 16080, Tempo, 396000
1, 16200, Tempo, 400000
1, 16320, Tempo, 384000
1, 16440, Tempo, 396000
1, 16560, Tempo, 426000
1, 17040, Tempo, 406666
1, 17040, Marker_t, "p"
1, 17220, Tempo, 360000
1, 17280, Tempo, 411000
1, 17280, Marker_t, "cresc."
1, 17520, Tempo, 403000
1, 17760, Tempo, 399000
1, 18000, Tempo, 398000
1, 18240, Tempo, 404000
1, 18480, Tempo, 394000
1, 18720, Tempo, 389000
1, 18960, Tempo, 396000
1, 19200, Tempo, 394000
1, 19440, Tempo, 386000
1, 19680, Tempo, 390000
1, 19920, Tempo, 396000
1, 20160, Tempo, 393000
1, 20400, Tempo, 389000
1, 20640, Tempo, 436000
1, 20880, Tempo, 394000
1, 20880, Marker_t, "\203"
1, 21120, Tempo, 392000
1, 21240, Tempo, 394000
1, 21360, Tempo, 404000
1, 21480, Tempo, 400000
1, 21600, Tempo, 404500
1, 22080, Tempo, 416000
1, 22320, Tempo, 414000
1, 22560, Tempo, 375000
1, 22800, Tempo, 370000
1, 23040, Tempo, 393000
1, 23280, Tempo, 416000
1, 23520, Tempo, 444000
1, 23560, Tempo, 438000
1, 23600, Tempo, 390000
1, 23640, Tempo, 426000
1, 23680, Tempo, 426000
1, 23720, Tempo, 438000
