0, 0, Header, 1, 3, 120
1, 0, Start_track
1, 0, Title_t, "Piano Piece in E-Flat Major,"
1, 0, Title_t, "Hess 74 (1800)"
1, 0, Copyright_t, "Copyright \251 2002 di FIORELLA ED ARMANDO ORLANDI"
1, 0, Text_t, "FIORELLA ED ARMANDO ORLANDI\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 530973
1, 4620, Tempo, 530973
1, 8640, Tempo, 530973
1, 8646, Tempo, 535714
1, 8650, Tempo, 540541
1, 8654, Tempo, 545455
1, 8658, Tempo, 550459
1, 8662, Tempo, 555556
1, 8666, Tempo, 560748
1, 8670, Tempo, 566038
1, 8674, Tempo, 571429
1, 8678, Tempo, 576923
1, 8682, Tempo, 582524
1, 8686, Tempo, 588235
1, 8690, Tempo, 594059
1, 8694, Tempo, 600000
1, 8698, Tempo, 606061
1, 8702, Tempo, 612245
1, 8706, Tempo, 618557
1, 8710, Tempo, 625000
1, 8714, Tempo, 631579
1, 8718, Tempo, 638298
1, 8722, Tempo, 645161
1, 8726, Tempo, 652174
1, 8730, Tempo, 659341
1, 8736, Tempo, 666667
1, 8740, Tempo, 674157
1, 8744, Tempo, 681818
1, 8748, Tempo, 689655
1, 8752, Tempo, 697674
1, 8756, Tempo, 705882
1, 8760, Tempo, 714286
1, 8764, Tempo, 722892
1, 8768, Tempo, 731707
1, 8772, Tempo, 740741
1, 8776, Tempo, 750000
1, 8780, Tempo, 759494
1, 8784, Tempo, 769231
1, 8788, Tempo, 779221
1, 8792, Tempo, 789474
1, 8796, Tempo, 800000
1, 8800, Tempo, 810811
1, 8804, Tempo, 821918
1, 8808, Tempo, 833333
1, 8812, Tempo, 845070
1, 8816, Tempo, 857143
1, 8820, Tempo, 869565
1, 8824, Tempo, 882353
1, 8830, Tempo, 895522
1, 8834, Tempo, 909091
1, 8838, Tempo, 923077
1, 8842, Tempo, 937500
1, 8846, Tempo, 952381
1, 8850, Tempo, 967742
1, 8854, Tempo, 983607
1, 8858, Tempo, 1000000
1, 8862, Tempo, 1016949
1, 8866, Tempo, 1034483
1, 8870, Tempo, 1052632
1, 8874, Tempo, 1071429
1, 8878, Tempo, 1090909
1, 8882, Tempo, 1111111
1, 8886, Tempo, 1132075
1, 8890, Tempo, 1153846
1, 8894, Tempo, 1176471
1, 8898, Tempo, 1200000
1, 8902, Tempo, 1224490
1, 8906, Tempo, 1250000
1, 8910, Tempo, 1276596
1, 8914, Tempo, 1304348
1, 8918, Tempo, 1333333
1, 8924, Tempo, 1363636
1, 8928, Tempo, 1395349
1, 8932, Tempo, 1428571
1, 8936, Tempo, 1463415
1, 8940, Tempo, 1500000
1, 8944, Tempo, 1538462
1, 8948, Tempo, 1578947
1, 8952, Tempo, 1621622
1, 8956, Tempo, 1666667
1, 8960, Tempo, 1714286
1, 8964, Tempo, 1764706
1, 8968, Tempo, 1818182
1, 8972, Tempo, 1875000
1, 8976, Tempo, 1935484
1, 8980, Tempo, 2000000
1, 8984, Tempo, 2068966
1, 8988, Tempo, 2142857
1, 8992, Tempo, 2222222
1, 8996, Tempo, 2307692
1, 9000, Tempo, 2400000
1, 9004, Tempo, 2500000
1, 9008, Tempo, 2608696
1, 9012, Tempo, 2727273
1, 9012, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "PianoR"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 113
2, 0, Control_c, 0, 10, 37
2, 0, Control_c, 0, 93, 15
2, 0, Control_c, 0, 91, 21
2, 300, Note_on_c, 0, 70, 71
2, 360, Note_on_c, 0, 70, 0
2, 360, Note_on_c, 0, 58, 60
2, 480, Note_on_c, 0, 58, 0
2, 480, Note_on_c, 0, 58, 60
2, 540, Note_on_c, 0, 58, 0
2, 540, Note_on_c, 0, 60, 63
2, 555, Note_on_c, 0, 60, 0
2, 555, Note_on_c, 0, 58, 64
2, 570, Note_on_c, 0, 58, 0
2, 570, Note_on_c, 0, 60, 65
2, 585, Note_on_c, 0, 60, 0
2, 585, Note_on_c, 0, 58, 65
2, 600, Note_on_c, 0, 58, 0
2, 600, Note_on_c, 0, 60, 65
2, 615, Note_on_c, 0, 60, 0
2, 615, Note_on_c, 0, 58, 66
2, 630, Note_on_c, 0, 58, 0
2, 630, Note_on_c, 0, 60, 67
2, 660, Note_on_c, 0, 60, 0
2, 660, Note_on_c, 0, 62, 70
2, 720, Note_on_c, 0, 62, 0
2, 720, Note_on_c, 0, 65, 60
2, 735, Note_on_c, 0, 65, 0
2, 735, Note_on_c, 0, 63, 59
2, 750, Note_on_c, 0, 63, 0
2, 750, Note_on_c, 0, 65, 59
2, 765, Note_on_c, 0, 65, 0
2, 765, Note_on_c, 0, 63, 61
2, 780, Note_on_c, 0, 63, 0
2, 780, Note_on_c, 0, 65, 61
2, 795, Note_on_c, 0, 65, 0
2, 795, Note_on_c, 0, 63, 61
2, 810, Note_on_c, 0, 63, 0
2, 810, Note_on_c, 0, 67, 62
2, 840, Note_on_c, 0, 67, 0
2, 840, Note_on_c, 0, 70, 66
2, 900, Note_on_c, 0, 70, 0
2, 900, Note_on_c, 0, 70, 78
2, 1020, Note_on_c, 0, 70, 0
2, 1020, Note_on_c, 0, 67, 62
2, 1080, Note_on_c, 0, 67, 0
2, 1080, Note_on_c, 0, 70, 66
2, 1095, Note_on_c, 0, 70, 0
2, 1095, Note_on_c, 0, 68, 68
2, 1110, Note_on_c, 0, 68, 0
2, 1110, Note_on_c, 0, 70, 70
2, 1125, Note_on_c, 0, 70, 0
2, 1125, Note_on_c, 0, 68, 72
2, 1140, Note_on_c, 0, 68, 0
2, 1140, Note_on_c, 0, 70, 73
2, 1155, Note_on_c, 0, 70, 0
2, 1155, Note_on_c, 0, 68, 74
2, 1170, Note_on_c, 0, 68, 0
2, 1170, Note_on_c, 0, 67, 76
2, 1200, Note_on_c, 0, 67, 0
2, 1200, Note_on_c, 0, 68, 80
2, 1260, Note_on_c, 0, 68, 0
2, 1260, Note_on_c, 0, 67, 60
2, 1275, Note_on_c, 0, 67, 0
2, 1275, Note_on_c, 0, 65, 63
2, 1290, Note_on_c, 0, 65, 0
2, 1290, Note_on_c, 0, 67, 65
2, 1305, Note_on_c, 0, 67, 0
2, 1305, Note_on_c, 0, 65, 67
2, 1320, Note_on_c, 0, 65, 0
2, 1320, Note_on_c, 0, 67, 69
2, 1335, Note_on_c, 0, 67, 0
2, 1335, Note_on_c, 0, 65, 70
2, 1350, Note_on_c, 0, 65, 0
