0, 0, Header, 1, 4, 120
1, 0, Start_track
1, 0, Title_t, "Opus 82 Numero 1  Dimmi ben mio che m' ami"
1, 0, Title_t, "Vier arietten und ein duett Opus 82"
1, 0, Copyright_t, "Copyright \251 2003 di FIORELLA ED ARMANDO ORLANDI"
1, 0, Text_t, "Quattro Ariette ed un duetto, per voce e pianoforte, per soprano, tenore e pianoforte, Opus 82, \012"
1, 0, Text_t, "1809 circa (pu= darsi che la prima origine di qualcuna risalga all' epoca degli studi con Salieri; la messa a punto in ogni modo va sempre riferita all' epoca come sopra data) \012"
1, 0, Text_t, "Pubblicati a Lipsia, Breitkopf e Hartel, luglio 1811.\012"
1, 0, Text_t, "G.A. 220 (Serie 23/6) Boett. VIII/5-9 - Bruers 82 -Kinsky-Halm 82 - Nottebohm 82 - L.III, pagina 206 \012"
1, 0, Text_t, "Thayer 163.\012"
1, 0, Text_t, "I. Hoffnung (Speranza):  Dimmi ben mio che m' ami.\012"
1, 0, Text_t, "Dimmi ben mio che m' ami.\012"
1, 0, Text_t, "Dimmi ben mio che m' ami\012"
1, 0, Text_t, "dimmi che mia tu sei,\012"
1, 0, Text_t, "e non invidio agli dei\012"
1, 0, Text_t, "la lor divinit\323.\012"
1, 0, Text_t, "Con un tuo sguardo solo,\012"
1, 0, Text_t, "cara, con un sorriso \012"
1, 0, Text_t, "tu m' apri il paradiso \012"
1, 0, Text_t, "di mia felicit\323, si, di mia felicit\323.\012"
1, 0, Text_t, "Un manoscritto, differente in parte, specialmente nell' accompagnamento, dalla redazione pubblicata dalla G.A. e posteriore ad essa, si trova nella biblioteca del conservatorio di Parigi (Max Unger, pagine\012"
1, 0, Text_t, "98/38) (vedere Hess, catalogo 120 e quinto fascicolo dei Supplemente zur G.A. pagine 32-37 ed 88, 1962).\012"
1, 0, Text_t, "L' autore del testo \336 sconosciuto.\012"
1, 0, Text_t, "La musica \336 molto gentile e segue il modello del delicato melodiare e fraseggiare italiano. Una imitazione di stile preziosa e il ""piacere di una bellezza creata per amabile gioco; a specchio di un mondo classicamente imbevuto di pura armonia, di nitide \012"
1, 0, Text_t, "(Liuzzi, Introduzione alla lirica vocale di Beethoven, pagina16).\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 517241
1, 3960, Tempo, 833333
1, 4320, Tempo, 833333
1, 5638, Tempo, 833333
1, 5662, Tempo, 821918
1, 5686, Tempo, 833333
1, 5704, Tempo, 845070
1, 5710, Tempo, 857143
1, 5722, Tempo, 869565
1, 5742, Tempo, 882353
1, 5752, Tempo, 895522
1, 5758, Tempo, 909091
1, 5776, Tempo, 923077
1, 5782, Tempo, 937500
1, 5790, Tempo, 952381
1, 5814, Tempo, 967742
1, 5824, Tempo, 983607
1, 5830, Tempo, 1000000
1, 5842, Tempo, 1016949
1, 5848, Tempo, 1034483
1, 5856, Tempo, 1052632
1, 5872, Tempo, 1071429
1, 5884, Tempo, 1090909
1, 5892, Tempo, 1111111
1, 5914, Tempo, 1132075
1, 5924, Tempo, 1153846
1, 5932, Tempo, 1176471
1, 5950, Tempo, 1200000
1, 5958, Tempo, 1224490
1, 5964, Tempo, 1250000
1, 5996, Tempo, 1276596
1, 6016, Tempo, 517241
1, 12000, Tempo, 555556
1, 21586, Tempo, 550459
1, 21596, Tempo, 555556
1, 21606, Tempo, 560748
