0, 0, Header, 1, 4, 120
1, 0, Start_track
1, 0, Title_t, "Menuetto in D - Major uncatalogued (1793)"
1, 0, Title_t, "London, (British Library, Kafka Miscellany, folio 39recto "
1, 0, Copyright_t, "Copyright \251 2002 di FIORELLA ED ARMANDO ORLANDI"
1, 0, Text_t, "FIORELLA ED ARMANDO ORLANDI\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 512821
1, 3120, Tempo, 512821
1, 11314, Tempo, 512821
1, 11320, Tempo, 517241
1, 11324, Tempo, 521739
1, 11328, Tempo, 526316
1, 11334, Tempo, 530973
1, 11338, Tempo, 535714
1, 11342, Tempo, 540541
1, 11346, Tempo, 545455
1, 11352, Tempo, 550459
1, 11356, Tempo, 555556
1, 11360, Tempo, 560748
1, 11364, Tempo, 566038
1, 11370, Tempo, 571429
1, 11374, Tempo, 576923
1, 11378, Tempo, 582524
1, 11382, Tempo, 588235
1, 11388, Tempo, 594059
1, 11392, Tempo, 600000
1, 11396, Tempo, 606061
1, 11400, Tempo, 612245
1, 11406, Tempo, 618557
1, 11410, Tempo, 625000
1, 11414, Tempo, 631579
1, 11418, Tempo, 638298
1, 11424, Tempo, 645161
1, 11428, Tempo, 652174
1, 11432, Tempo, 659341
1, 11436, Tempo, 666667
1, 11442, Tempo, 674157
1, 11446, Tempo, 681818
1, 11450, Tempo, 689655
1, 11456, Tempo, 697674
1, 11460, Tempo, 705882
1, 11464, Tempo, 714286
1, 11468, Tempo, 722892
1, 11474, Tempo, 731707
1, 11478, Tempo, 740741
1, 11482, Tempo, 750000
1, 11486, Tempo, 759494
1, 11492, Tempo, 769231
1, 11496, Tempo, 779221
1, 11500, Tempo, 789474
1, 11504, Tempo, 800000
1, 11510, Tempo, 810811
1, 11514, Tempo, 821918
1, 11518, Tempo, 833333
1, 11522, Tempo, 845070
1, 11528, Tempo, 857143
1, 11532, Tempo, 869565
1, 11536, Tempo, 882353
1, 11540, Tempo, 895522
1, 11546, Tempo, 909091
1, 11550, Tempo, 923077
1, 11554, Tempo, 937500
1, 11558, Tempo, 952381
1, 11564, Tempo, 967742
1, 11568, Tempo, 983607
1, 11572, Tempo, 1000000
1, 11578, Tempo, 1016949
1, 11582, Tempo, 1034483
1, 11586, Tempo, 1052632
1, 11590, Tempo, 1071429
1, 11596, Tempo, 1090909
1, 11600, Tempo, 1111111
1, 11604, Tempo, 1132075
1, 11608, Tempo, 1153846
1, 11614, Tempo, 1176471
1, 11618, Tempo, 1200000
1, 11622, Tempo, 1224490
1, 11626, Tempo, 1250000
1, 11632, Tempo, 1276596
1, 11636, Tempo, 1304348
1, 11640, Tempo, 1333333
1, 11644, Tempo, 1363636
1, 11650, Tempo, 1395349
1, 11654, Tempo, 1428571
1, 11658, Tempo, 1463415
1, 11662, Tempo, 1500000
1, 11668, Tempo, 1538462
1, 11672, Tempo, 1578947
1, 11676, Tempo, 1621622
1, 11680, Tempo, 1666667
1, 11686, Tempo, 1714286
1, 11690, Tempo, 1764706
1, 11694, Tempo, 1818182
1, 11700, Tempo, 1875000
1, 11704, Tempo, 1935484
1, 11708, Tempo, 2000000
1, 11712, Tempo, 2068966
1, 11718, Tempo, 2142857
1, 11722, Tempo, 2222222
1, 11726, Tempo, 2307692
1, 11730, Tempo, 2400000
1, 11736, Tempo, 2500000
1, 11740, Tempo, 2608696
1, 11744, Tempo, 2727273
1, 11748, Tempo, 2857143
1, 11754, Tempo, 3000000
1, 11758, Tempo, 3157895
1, 11762, Tempo, 3333333
1, 11766, Tempo, 3529412
1, 11772, Tempo, 3750000
1, 11776, Tempo, 4000000
1, 11780, Tempo, 4285714
1, 11784, Tempo, 4615385
1, 11790, Tempo, 5000000
1, 11794, Tempo, 5454545
1, 11798, Tempo, 6000000
1, 11802, Tempo, 6666667
1, 11808, Tempo, 7500000
1, 11812, Tempo, 7500000
1, 11816, Tempo, 7500000
1, 11820, Tempo, 7500000
1, 11820, End_track
2, 0, Start_track
2, 0, Title_t, "PianoR"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 45
2, 0, Control_c, 0, 93, 15
2, 0, Control_c, 0, 91, 21
2, 240, Note_on_c, 0, 74, 75
2, 330, Note_on_c, 0, 74, 0
2, 330, Note_on_c, 0, 76, 66
2, 360, Note_on_c, 0, 76, 0
2, 360, Note_on_c, 0, 69, 66
2, 360, Note_on_c, 0, 78, 66
2, 480, Note_on_c, 0, 78, 0
2, 480, Note_on_c, 0, 69, 0
2, 480, Note_on_c, 0, 69, 66
2, 480, Note_on_c, 0, 78, 66
2, 600, Note_on_c, 0, 78, 0
2, 600, Note_on_c, 0, 69, 0
2, 600, Note_on_c, 0, 78, 65
2, 600, Note_on_c, 0, 69, 66
2, 690, Note_on_c, 0, 78, 0
2, 690, Note_on_c, 0, 78, 66
2, 720, Note_on_c, 0, 78, 0
2, 720, Note_on_c, 0, 69, 0
2, 720, Note_on_c, 0, 78, 66
2, 720, Note_on_c, 0, 69, 66
2, 780, Note_on_c, 0, 78, 0
2, 780, Note_on_c, 0, 76, 66
2, 840, Note_on_c, 0, 76, 0
