0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 960, Tempo, 750000
1, 1800, Tempo, 759493
1, 1920, Tempo, 750000
1, 1920, Marker_t, "Rondo, Op.512 "
1, 2820, Tempo, 759493
1, 2880, Tempo, 750000
1, 3720, Tempo, 759493
1, 3840, Tempo, 750000
1, 3840, Marker_t, "Bunji Hisamori"
1, 4560, Tempo, 759493
1, 4800, Tempo, 750000
1, 5640, Tempo, 759493
1, 5760, Tempo, 750000
1, 5760, Marker_t, "Nov. 1998"
1, 6660, Tempo, 759493
1, 6720, Tempo, 750000
1, 7560, Tempo, 759493
1, 7680, Marker_t, "July 1999,  Rev.1"
1, 8040, Tempo, 789473
1, 8175, Tempo, 845070
1, 8400, Tempo, 789473
1, 8640, Tempo, 750000
1, 9480, Tempo, 759493
1, 9600, Tempo, 750000
1, 10500, Tempo, 759493
1, 10560, Tempo, 750000
1, 11400, Tempo, 759493
1, 11520, Tempo, 750000
1, 12250, Tempo, 759493
1, 12480, Tempo, 750000
1, 13320, Tempo, 759493
1, 13440, Tempo, 750000
1, 14340, Tempo, 759493
1, 14400, Tempo, 750000
1, 15240, Tempo, 769230
1, 15600, Tempo, 750000
1, 16260, Tempo, 759493
1, 16320, Tempo, 750000
1, 17160, Tempo, 759493
1, 17280, Tempo, 750000
1, 18180, Tempo, 759493
1, 18240, Tempo, 750000
1, 19080, Tempo, 759493
1, 19200, Tempo, 750000
1, 20100, Tempo, 759493
1, 20160, Tempo, 750000
1, 21000, Tempo, 759493
1, 21120, Tempo, 750000
1, 22020, Tempo, 759493
1, 22080, Tempo, 750000
1, 22920, Tempo, 769230
1, 23040, Tempo, 750000
1, 23880, Tempo, 759493
1, 24840, Tempo, 769230
1, 25680, Tempo, 789473
1, 25800, Tempo, 1224489
1, 25920, Tempo, 750000
1, 26760, Tempo, 759493
1, 26880, Tempo, 750000
1, 27780, Tempo, 759493
1, 27840, Tempo, 750000
1, 28680, Tempo, 759493
1, 28800, Tempo, 750000
1, 29520, Tempo, 759493
1, 29760, Tempo, 750000
1, 30600, Tempo, 759493
1, 30720, Tempo, 750000
1, 31620, Tempo, 759493
1, 31680, Tempo, 750000
1, 32520, Tempo, 789473
1, 32760, Tempo, 750000
1, 33540, Tempo, 759493
1, 33600, Tempo, 750000
1, 34440, Tempo, 759493
1, 34560, Tempo, 750000
1, 35460, Tempo, 759493
1, 35520, Tempo, 750000
1, 36360, Tempo, 759493
1, 36480, Tempo, 750000
1, 37380, Tempo, 759493
1, 37440, Tempo, 750000
1, 38280, Tempo, 759493
1, 38400, Tempo, 750000
1, 39300, Tempo, 759493
1, 39360, Tempo, 750000
1, 40200, Tempo, 789473
1, 40320, Tempo, 750000
1, 40740, Tempo, 759493
1, 40800, Tempo, 750000
1, 41220, Tempo, 759493
1, 41280, Tempo, 750000
1, 42120, Tempo, 759493
1, 42240, Tempo, 750000
1, 43140, Tempo, 759493
1, 43200, Tempo, 750000
1, 44040, Tempo, 759493
1, 44160, Tempo, 750000
1, 45060, Tempo, 759493
1, 45120, Tempo, 750000
1, 45540, Tempo, 759493
1, 45600, Tempo, 750000
1, 45840, Tempo, 759493
1, 45960, Tempo, 923076
1, 46080, Tempo, 789473
1, 46200, Tempo, 769230
1, 46980, Tempo, 759493
1, 47400, Tempo, 789473
1, 47760, Tempo, 821917
1, 47880, Tempo, 923076
1, 48000, Tempo, 750000
1, 49800, Tempo, 759493
1, 49920, Tempo, 750000
1, 50820, Tempo, 759493
1, 50880, Tempo, 750000
1, 51720, Tempo, 769230
1, 51840, Tempo, 750000
1, 53640, Tempo, 759493
1, 53760, Tempo, 750000
1, 54660, Tempo, 759493
1, 54720, Tempo, 750000
1, 55560, Tempo, 769230
1, 55680, Tempo, 750000
1, 57480, Tempo, 759493
1, 57600, Tempo, 750000
1, 59400, Tempo, 769230
1, 59520, Tempo, 750000
1, 61320, Tempo, 759493
1, 61440, Tempo, 750000
1, 63240, Tempo, 759493
1, 63360, Tempo, 750000
1, 64260, Tempo, 759493
1, 65040, Tempo, 769230
1, 65160, Tempo, 821917
1, 65280, Tempo, 769230
1, 65400, Tempo, 750000
1, 66180, Tempo, 759493
1, 66240, Tempo, 750000
1, 67080, Tempo, 759493
1, 67200, Tempo, 750000
1, 68100, Tempo, 759493
1, 68160, Tempo, 750000
1, 69000, Tempo, 759493
1, 69120, Tempo, 769230
1, 69240, Tempo, 750000
1, 70020, Tempo, 759493
1, 70080, Tempo, 750000
1, 70920, Tempo, 759493
1, 71040, Tempo, 750000
1, 71940, Tempo, 759493
1, 72000, Tempo, 750000
