0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 1920, Tempo, 600000
1, 1920, Marker_t, "Phantasie   Op.77"
1, 1980, Tempo, 588235
1, 2040, Tempo, 582524
1, 2467, Tempo, 588235
1, 2520, Tempo, 625000
1, 3840, Tempo, 600000
1, 3840, Marker_t, "Bunji Hisamori"
1, 3900, Tempo, 588235
1, 3960, Tempo, 582524
1, 4380, Tempo, 588235
1, 4433, Tempo, 612244
1, 4800, Tempo, 1578947
1, 5760, Tempo, 1071428
1, 5760, Marker_t, "Nov. 1998"
1, 6600, Tempo, 1111111
1, 6720, Tempo, 1071428
1, 7087, Tempo, 1111111
1, 7550, Tempo, 1176470
1, 7680, Tempo, 1132075
1, 7680, Marker_t, "Jyly 1999, Rev.1"
1, 8100, Tempo, 1276595
1, 8160, Tempo, 1276595
1, 8460, Tempo, 1935483
1, 8650, Tempo, 1818181
1, 9600, Tempo, 600000
1, 9660, Tempo, 588235
1, 9720, Tempo, 582524
1, 10140, Tempo, 588235
1, 10193, Tempo, 612244
1, 11520, Tempo, 600000
1, 11580, Tempo, 588235
1, 11640, Tempo, 582524
1, 12060, Tempo, 588235
1, 12113, Tempo, 612244
1, 12480, Tempo, 1500000
1, 13440, Tempo, 1071428
1, 14280, Tempo, 1111111
1, 14400, Tempo, 1071428
1, 14767, Tempo, 1111111
1, 15230, Tempo, 1176470
1, 15360, Tempo, 1132075
1, 15780, Tempo, 1276595
1, 15840, Tempo, 1276595
1, 16140, Tempo, 1935483
1, 16330, Tempo, 2727272
1, 17040, Tempo, 582524
1, 17220, Tempo, 588235
1, 17280, Time_signature, 2, 2, 24, 8
1, 17280, Tempo, 582524
1, 19170, Tempo, 588235
1, 19200, Tempo, 582524
1, 20400, Tempo, 600000
1, 20580, Tempo, 659340
1, 20640, Tempo, 1176470
1, 22080, Tempo, 600000
1, 22140, Tempo, 588235
1, 22200, Tempo, 582524
1, 23880, Tempo, 588235
1, 23933, Tempo, 600000
1, 24250, Tempo, 2727272
1, 24840, Tempo, 582524
1, 24900, Tempo, 588235
1, 24960, Tempo, 582524
1, 26860, Tempo, 588235
1, 26880, Tempo, 582524
1, 28260, Tempo, 689655
1, 28320, Tempo, 659340
1, 28800, Tempo, 674157
1, 29040, Tempo, 705882
1, 29240, Tempo, 1276595
1, 30240, Tempo, 769230
1, 30720, Tempo, 600000
1, 30780, Tempo, 588235
1, 30840, Tempo, 582524
1, 33120, Tempo, 588235
1, 33173, Tempo, 600000
1, 33600, Time_signature, 6, 3, 24, 8
1, 33600, Tempo, 1363636
1, 33600, Marker_t, "Allegro, ma non troppo"
1, 34560, Tempo, 500000
1, 34980, Tempo, 508474
1, 35040, Tempo, 500000
1, 36230, Tempo, 508474
1, 36540, Tempo, 500000
1, 39300, Tempo, 508474
1, 39360, Tempo, 500000
1, 40460, Tempo, 508474
1, 40560, Tempo, 560747
1, 40800, Tempo, 500000
1, 43620, Tempo, 508474
1, 43680, Tempo, 500000
1, 45090, Tempo, 508474
1, 46278, Tempo, 517241
1, 46320, Tempo, 535714
1, 46560, Tempo, 500000
1, 49380, Tempo, 508474
1, 49440, Tempo, 500000
1, 52020, Tempo, 504201
1, 52080, Tempo, 517241
1, 52320, Tempo, 526315
1, 53040, Tempo, 517241
1, 55140, Tempo, 526315
1, 55200, Tempo, 535714
1, 55280, Tempo, 550458
1, 55450, Tempo, 769230
1, 55920, Tempo, 508474
1, 58560, Tempo, 517241
1, 58800, Tempo, 508474
1, 60980, Tempo, 517241
1, 61680, Tempo, 508474
1, 62880, Tempo, 517241
1, 63120, Tempo, 508474
1, 64320, Tempo, 517241
1, 64560, Tempo, 508474
1, 66420, Tempo, 517241
1, 66480, Tempo, 582524
1, 68160, Tempo, 600000
1, 71040, Tempo, 612244
1, 71107, Tempo, 594059
1, 71388, Tempo, 588235
1, 71532, Tempo, 582524
1, 71640, Tempo, 576923
1, 71732, Tempo, 571428
1, 71816, Tempo, 566037
1, 71888, Tempo, 560747
1, 71956, Tempo, 555555
1, 72020, Tempo, 550458
1, 72080, Tempo, 545454
1, 72136, Tempo, 540540
1, 72188, Tempo, 535714
1, 72240, Tempo, 530973
1, 72288, Tempo, 526315
1, 72336, Tempo, 521739
1, 72380, Tempo, 517241
1, 72424, Tempo, 512820
1, 72468, Tempo, 508474
1, 72508, Tempo, 504201
1, 72548, Tempo, 500000
1, 72588, Tempo, 495867
1, 72624, Tempo, 491803
1, 72664, Tempo, 487804
1, 72700, Tempo, 483870
1, 72736, Tempo, 480000
1, 72768, Tempo, 476190
1, 72804, Tempo, 472440
