0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 960, Tempo, 526315
1, 1335, Tempo, 535714
1, 1440, Tempo, 526315
1, 1440, Marker_t, "11 bagatellen, Op. 119"
1, 2830, Tempo, 535714
1, 2880, Tempo, 540540
1, 2880, Marker_t, "Bunji Hisamori"
1, 3840, Tempo, 526315
1, 4200, Tempo, 535714
1, 4320, Tempo, 526315
1, 4320, Marker_t, "Oct. 1998"
1, 5720, Tempo, 535714
1, 5760, Tempo, 540540
1, 5760, Marker_t, "July 1999,  Rev.1"
1, 6750, Tempo, 526315
1, 7080, Tempo, 535714
1, 7200, Tempo, 526315
1, 8520, Tempo, 535714
1, 8640, Tempo, 526315
1, 9960, Tempo, 535714
1, 10080, Tempo, 526315
1, 11460, Tempo, 535714
1, 11520, Tempo, 550458
1, 11985, Tempo, 571428
1, 12465, Tempo, 526315
1, 12840, Tempo, 535714
1, 12960, Tempo, 526315
1, 14350, Tempo, 535714
1, 14400, Tempo, 540540
1, 15360, Tempo, 526315
1, 15440, Tempo, 530973
1, 15480, Tempo, 526315
1, 15720, Tempo, 535714
1, 15840, Tempo, 526315
1, 17240, Tempo, 535714
1, 17280, Tempo, 540540
1, 18240, Tempo, 526315
1, 18600, Tempo, 535714
1, 18720, Tempo, 526315
1, 20040, Tempo, 535714
1, 20160, Tempo, 526315
1, 21480, Tempo, 535714
1, 21600, Tempo, 526315
1, 22950, Tempo, 535714
1, 23040, Tempo, 540540
1, 23520, Tempo, 625000
1, 24000, Tempo, 571428
1, 24480, Tempo, 540540
1, 25800, Tempo, 550458
1, 25920, Tempo, 540540
1, 27240, Tempo, 550458
1, 27360, Tempo, 540540
1, 28680, Tempo, 550458
1, 29280, Tempo, 560747
1, 29760, Tempo, 571428
1, 30240, Tempo, 540540
1, 31560, Tempo, 550458
1, 31680, Tempo, 540540
1, 33000, Tempo, 550458
1, 33120, Tempo, 540540
1, 34440, Tempo, 550458
1, 35520, Tempo, 571428
1, 36000, Tempo, 540540
1, 37320, Tempo, 550458
1, 37440, Tempo, 540540
1, 38760, Tempo, 550458
1, 38880, Tempo, 540540
1, 40200, Tempo, 550458
1, 40800, Tempo, 560747
1, 41280, Tempo, 571428
1, 41760, Tempo, 540540
1, 43080, Tempo, 550458
1, 43200, Tempo, 540540
1, 44520, Tempo, 550458
1, 44640, Tempo, 540540
1, 45960, Tempo, 550458
1, 47040, Tempo, 550458
1, 47400, Tempo, 560747
1, 47520, Tempo, 540540
1, 48840, Tempo, 550458
1, 48960, Tempo, 540540
1, 50280, Tempo, 550458
1, 50400, Tempo, 540540
1, 51720, Tempo, 550458
1, 51840, Tempo, 540540
1, 52920, Tempo, 550458
1, 53055, Tempo, 612244
1, 53280, Tempo, 540540
1, 54600, Tempo, 550458
1, 54720, Tempo, 540540
1, 56040, Tempo, 550458
1, 56160, Tempo, 540540
1, 57480, Tempo, 550458
1, 58080, Tempo, 560747
1, 58560, Tempo, 550458
1, 58920, Tempo, 560747
1, 59040, Tempo, 540540
1, 60360, Tempo, 550458
1, 60480, Tempo, 540540
1, 61800, Tempo, 550458
1, 61920, Tempo, 540540
1, 63240, Tempo, 550458
1, 63360, Tempo, 540540
1, 64440, Tempo, 550458
1, 64575, Tempo, 612244
1, 64800, Tempo, 540540
1, 66120, Tempo, 550458
1, 66240, Tempo, 540540
1, 67560, Tempo, 550458
1, 67680, Tempo, 540540
1, 69000, Tempo, 550458
1, 69600, Tempo, 560747
1, 70080, Tempo, 571428
1, 70560, Tempo, 540540
1, 71880, Tempo, 550458
1, 72000, Tempo, 540540
1, 73320, Tempo, 550458
1, 73440, Tempo, 540540
1, 74650, Tempo, 560747
1, 74880, Tempo, 550458
1, 75770, Tempo, 560747
1, 75840, Tempo, 582524
1, 76050, Tempo, 722891
1, 76320, Tempo, 526315
1, 77710, Tempo, 535714
1, 77760, Tempo, 540540
1, 78720, Tempo, 526315
1, 79080, Tempo, 535714
1, 79200, Tempo, 526315
1, 80600, Tempo, 535714
1, 80640, Tempo, 540540
1, 81630, Tempo, 526315
1, 81960, Tempo, 535714
1, 82080, Tempo, 526315
1, 83400, Tempo, 535714
1, 83520, Tempo, 526315
1, 84840, Tempo, 535714
1, 84960, Tempo, 526315
1, 86340, Tempo, 535714
1, 86880, Tempo, 550458
1, 87375, Tempo, 526315
1, 87600, Tempo, 535714
1, 87840, Tempo, 526315
1, 89160, Tempo, 535714
1, 89280, Tempo, 526315
