0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 895522
1, 0, Marker_t, "Beethoven"
1, 960, Tempo, 923076
1, 1440, Tempo, 895522
1, 1440, Marker_t, "6 Bagatells"
1, 2760, Tempo, 923076
1, 2880, Tempo, 895522
1, 2880, Marker_t, "Bunji Hisamori"
1, 4200, Tempo, 923076
1, 4320, Tempo, 895522
1, 4320, Marker_t, "Nov. 1998"
1, 5160, Tempo, 923076
1, 5280, Tempo, 895522
1, 5535, Tempo, 923076
1, 5760, Tempo, 895522
1, 5760, Marker_t, "July 1999,  Rev.1"
1, 6960, Tempo, 923076
1, 7320, Tempo, 895522
1, 8520, Tempo, 923076
1, 8640, Tempo, 895522
1, 9960, Tempo, 923076
1, 10080, Tempo, 895522
1, 10920, Tempo, 923076
1, 11040, Tempo, 895522
1, 11280, Tempo, 1000000
1, 11520, Tempo, 952380
1, 12000, Tempo, 1176470
1, 12420, Tempo, 2400000
1, 12480, Tempo, 923076
1, 12960, Tempo, 895522
1, 14280, Tempo, 923076
1, 14340, Tempo, 952380
1, 14400, Tempo, 895522
1, 15720, Tempo, 923076
1, 15780, Tempo, 952380
1, 15840, Tempo, 895522
1, 16680, Tempo, 923076
1, 16800, Tempo, 895522
1, 17040, Tempo, 923076
1, 17280, Tempo, 895522
1, 18495, Tempo, 923076
1, 18825, Tempo, 895522
1, 20040, Tempo, 923076
1, 20160, Tempo, 895522
1, 21480, Tempo, 923076
1, 21600, Tempo, 895522
1, 22440, Tempo, 923076
1, 22560, Tempo, 895522
1, 22800, Tempo, 1000000
1, 23040, Tempo, 952380
1, 23505, Tempo, 1176470
1, 23880, Tempo, 1132075
1, 23940, Tempo, 1276595
1, 24045, Tempo, 923076
1, 24480, Tempo, 895522
1, 25800, Tempo, 923076
1, 25920, Tempo, 895522
1, 27240, Tempo, 923076
1, 27360, Tempo, 895522
1, 28440, Tempo, 952380
1, 28800, Tempo, 923076
1, 29940, Tempo, 952380
1, 30000, Tempo, 1000000
1, 30240, Time_signature, 2, 2, 24, 8
1, 30240, Tempo, 895522
1, 31080, Tempo, 923076
1, 31200, Tempo, 895522
1, 32040, Tempo, 923076
1, 32160, Tempo, 895522
1, 33000, Tempo, 923076
1, 33120, Tempo, 895522
1, 33960, Tempo, 923076
1, 34080, Tempo, 895522
1, 34920, Tempo, 923076
1, 35040, Tempo, 895522
1, 35880, Tempo, 952380
1, 36000, Tempo, 895522
1, 36840, Tempo, 952380
1, 36960, Tempo, 895522
1, 37320, Tempo, 923076
1, 37740, Tempo, 952380
1, 37800, Tempo, 967741
1, 38000, Tempo, 923076
1, 38070, Tempo, 895522
1, 38340, Tempo, 923076
1, 38460, Tempo, 895522
1, 38820, Tempo, 923076
1, 38940, Tempo, 895522
1, 40720, Tempo, 923076
1, 40770, Tempo, 952380
1, 40800, Tempo, 923076
1, 40980, Tempo, 895522
1, 43320, Tempo, 923076
1, 43380, Tempo, 1000000
1, 43440, Tempo, 1818181
1, 43620, Tempo, 1935483
1, 43680, Time_signature, 3, 2, 24, 8
1, 43680, Tempo, 869565
1, 43920, Tempo, 967741
1, 44160, Tempo, 1071428
1, 44640, Tempo, 895522
1, 45000, Tempo, 923076
1, 45120, Tempo, 895522
1, 45540, Tempo, 923076
1, 45840, Tempo, 1132075
1, 46080, Tempo, 895522
1, 46440, Tempo, 923076
1, 46560, Tempo, 895522
1, 47400, Tempo, 923076
1, 47520, Tempo, 895522
1, 47880, Tempo, 923076
1, 48000, Tempo, 895522
1, 48840, Tempo, 923076
1, 48960, Tempo, 895522
1, 49320, Tempo, 923076
1, 49440, Tempo, 895522
1, 50160, Tempo, 923076
1, 50400, Tempo, 895522
1, 50760, Tempo, 923076
1, 50880, Tempo, 895522
1, 52200, Tempo, 923076
1, 52320, Tempo, 895522
1, 53640, Tempo, 923076
1, 53760, Tempo, 895522
1, 55080, Tempo, 923076
1, 55540, Tempo, 952380
1, 55680, Tempo, 2727272
1, 55910, Tempo, 895522
1, 56520, Tempo, 923076
1, 56640, Tempo, 895522
1, 57840, Tempo, 923076
1, 58080, Tempo, 895522
1, 59400, Tempo, 923076
1, 59520, Tempo, 895522
1, 60840, Tempo, 923076
1, 61550, Tempo, 952380
1, 61690, Tempo, 895522
1, 62280, Tempo, 923076
1, 62400, Tempo, 895522
1, 63720, Tempo, 923076
1, 63840, Tempo, 895522
1, 65160, Tempo, 923076
1, 65280, Tempo, 895522
1, 66490, Tempo, 967741
1, 66720, Tempo, 967741
