0, 0, Header, 1, 20, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Tempo, 240000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 5760, Tempo, 1000000
1, 13440, Tempo, 909091
1, 74880, Tempo, 535714
1, 107520, Tempo, 909091
1, 109440, Tempo, 750000
1, 138240, Time_signature, 3, 2, 24, 8
1, 139672, Tempo, 975610
1, 139680, Time_signature, 1, 2, 24, 8
1, 139700, Tempo, 983607
1, 139724, Tempo, 991736
1, 139740, Tempo, 1000000
1, 139764, Tempo, 1008403
1, 139780, Tempo, 1016949
1, 139804, Tempo, 1025641
1, 139832, Tempo, 1034483
1, 139844, Tempo, 1043478
1, 139872, Tempo, 1052632
1, 139884, Tempo, 1061947
1, 139912, Tempo, 1071429
1, 139940, Tempo, 1081081
1, 139952, Tempo, 1090909
1, 139980, Tempo, 1100917
1, 139992, Tempo, 1111111
1, 140020, Tempo, 1121495
1, 140044, Tempo, 1132075
1, 140060, Tempo, 1142857
1, 140084, Tempo, 1153846
1, 140100, Tempo, 1165049
1, 140124, Tempo, 1176471
1, 140140, Tempo, 1188119
1, 140152, Tempo, 1176471
1, 140160, Time_signature, 4, 2, 24, 8
1, 140164, Tempo, 1165049
1, 140180, Tempo, 1153846
1, 140192, Tempo, 1142857
1, 140204, Tempo, 1132075
1, 140220, Tempo, 1121495
1, 140232, Tempo, 1100917
1, 140244, Tempo, 1090909
1, 140260, Tempo, 1081081
1, 140272, Tempo, 1071429
1, 140284, Tempo, 1061947
1, 140300, Tempo, 1052632
1, 140312, Tempo, 1034483
1, 140324, Tempo, 1025641
1, 140340, Tempo, 1016949
1, 140352, Tempo, 1008403
1, 140364, Tempo, 1000000
1, 140380, Tempo, 991736
1, 140392, Tempo, 975610
1, 140404, Tempo, 967742
1, 140420, Tempo, 960000
1, 140432, Tempo, 952381
1, 140444, Tempo, 944882
1, 140460, Tempo, 937500
1, 140472, Tempo, 923077
1, 140484, Tempo, 916031
1, 140500, Tempo, 909091
1, 140512, Tempo, 902256
1, 140524, Tempo, 895522
1, 140540, Tempo, 888889
1, 140552, Tempo, 875912
1, 140564, Tempo, 869565
1, 140580, Tempo, 863309
1, 140592, Tempo, 857143
1, 140604, Tempo, 851064
1, 140620, Tempo, 845070
1, 140632, Tempo, 833333
1, 147840, Tempo, 895522
1, 148320, Tempo, 909091
1, 148800, Tempo, 923077
1, 149280, Tempo, 937500
1, 149760, Tempo, 952381
1, 150240, Tempo, 967742
1, 150720, Tempo, 967742
