0, 0, Header, 1, 19, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 6, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 250000
1, 5760, Time_signature, 4, 3, 12, 8
1, 5760, Tempo, 1090909
1, 12480, Tempo, 1333333
1, 13440, Time_signature, 2, 3, 12, 8
1, 13440, Tempo, 1090909
1, 13920, Time_signature, 4, 3, 12, 8
1, 13920, Tempo, 937500
1, 20640, Time_signature, 6, 3, 12, 8
1, 22080, Time_signature, 4, 3, 12, 8
1, 22080, Tempo, 1090909
1, 28800, Time_signature, 6, 3, 12, 8
1, 30240, Time_signature, 4, 3, 12, 8
1, 30240, Tempo, 983607
1, 41760, Time_signature, 3, 3, 12, 8
1, 42480, Time_signature, 1, 3, 12, 8
1, 42480, Tempo, 1153846
1, 42720, Time_signature, 5, 3, 12, 8
1, 42720, Tempo, 1200000
1, 43920, Time_signature, 4, 3, 12, 8
1, 43920, Tempo, 1538462
1, 45840, Time_signature, 2, 2, 24, 8
1, 45840, Tempo, 312500
1, 56400, Tempo, 326087
1, 57360, Tempo, 312500
1, 114960, Tempo, 327869
1, 115920, Tempo, 375000
1, 118800, Tempo, 312500
1, 195600, Tempo, 340909
1, 197520, Tempo, 909091
1, 198480, Time_signature, 5, 3, 12, 8
1, 199680, Time_signature, 2, 2, 24, 8
1, 200640, Time_signature, 5, 3, 12, 8
1, 201840, Time_signature, 2, 2, 24, 8
1, 202800, Time_signature, 5, 3, 12, 8
1, 204000, Time_signature, 2, 2, 24, 8
1, 204000, Tempo, 750000
1, 209760, Time_signature, 2, 3, 12, 8
1, 209760, Tempo, 937500
1, 210240, Time_signature, 4, 3, 12, 8
1, 235200, Time_signature, 1, 3, 12, 8
1, 235200, Tempo, 1071429
1, 235440, Tempo, 1153846
1, 235680, Tempo, 1276596
1, 235920, Tempo, 1395349
1, 236160, Time_signature, 4, 3, 12, 8
1, 236160, Tempo, 789474
1, 237120, Tempo, 1034483
1, 238080, Time_signature, 2, 2, 24, 8
1, 238080, Tempo, 312500
1, 248640, Tempo, 326087
1, 249600, Tempo, 312500
1, 307200, Time_signature, 4, 3, 12, 8
1, 308160, Tempo, 428571
1, 309120, Tempo, 361446
1, 311040, Tempo, 312500
1, 337928, Tempo, 365854
1, 338392, Tempo, 333204
1, 338396, Tempo, 333389
1, 338400, Tempo, 333537
1, 338436, Tempo, 333352
1, 338496, Tempo, 333167
1, 338576, Tempo, 332982
1, 338624, Tempo, 332797
1, 338668, Tempo, 332613
1, 338720, Tempo, 332428
1, 338796, Tempo, 332613
1, 338808, Tempo, 332428
1, 338812, Tempo, 332613
1, 338816, Tempo, 332797
1, 338832, Tempo, 332613
1, 338836, Tempo, 332797
1, 338852, Tempo, 332982
1, 338860, Tempo, 332797
1, 338872, Tempo, 312663
1, 338880, Tempo, 312826
1, 338904, Tempo, 312663
1, 338948, Tempo, 312826
1, 338952, Tempo, 312663
1, 339048, Tempo, 312826
1, 339068, Tempo, 312663
1, 339088, Tempo, 312826
1, 339100, Tempo, 312989
1, 339104, Tempo, 312826
1, 339128, Tempo, 312989
1, 339132, Tempo, 312826
1, 339136, Tempo, 312989
1, 339160, Tempo, 313152
1, 339168, Tempo, 312989
1, 339300, Tempo, 312826
1, 339332, Tempo, 312663
1, 339368, Tempo, 312500
1, 339396, Tempo, 312337
1, 385920, Time_signature, 2, 3, 12, 8
1, 385920, Tempo, 326087
1, 386400, Tempo, 361446
1, 386880, Tempo, 405405
1, 387360, Tempo, 461538
1, 387840, Time_signature, 8, 3, 12, 8
1, 387840, Tempo, 750000
1, 389760, Tempo, 1000000
1, 391680, Time_signature, 4, 3, 12, 8
1, 391680, Tempo, 1153846
1, 395520, Time_signature, 2, 2, 24, 8
1, 395520, Tempo, 454545
1, 396480, Tempo, 375000
1, 397440, Tempo, 340909
1, 398400, Tempo, 312500
1, 399360, Tempo, 288462
1, 400320, Tempo, 267857
1, 401280, Tempo, 258732
1, 401312, Tempo, 258621
1, 401364, Tempo, 258509
1, 401412, Tempo, 258398
1, 401464, Tempo, 258287
1, 401488, Tempo, 258398
1, 401492, Tempo, 258509
1, 401500, Tempo, 258398
1, 401516, Tempo, 258621
1, 401540, Tempo, 258509
1, 458864, Tempo, 264317
1, 458868, Tempo, 264901
1, 458872, Tempo, 275862
1, 458880, Tempo, 275989
1, 458884, Tempo, 262238
1, 458888, Tempo, 274348
1, 458892, Tempo, 274600
1, 458896, Tempo, 273224
1, 458904, Tempo, 271493
1, 458908, Tempo, 272232
1, 458912, Tempo, 272356
1, 458916, Tempo, 270027
1, 475200, Time_signature, 5, 3, 12, 8
1, 476400, Time_signature, 2, 2, 24, 8
1, 479280, Time_signature, 5, 3, 12, 8
1, 480480, Time_signature, 2, 2, 24, 8
1, 493920, Time_signature, 9, 4, 6, 8
1, 497160, Time_signature, 5, 3, 12, 8
1, 498360, Time_signature, 2, 2, 24, 8
1, 498360, End_track
2, 0, Start_track
2, 0, Title_t, "Flutes              "
2, 0, Program_c, 0, 73
2, 0, Control_c, 0, 7, 90
2, 0, Control_c, 0, 10, 69
2, 2880, Control_c, 0, 91, 100
2, 11520, Note_on_c, 0, 84, 41
2, 11520, Note_on_c, 0, 72, 43
2, 13200, Note_on_c, 0, 72, 0
2, 13200, Note_on_c, 0, 84, 0
2, 13880, Note_on_c, 0, 82, 56
2, 13920, Note_on_c, 0, 82, 0
2, 13920, Note_on_c, 0, 80, 59
2, 14040, Note_on_c, 0, 80, 0
2, 14040, Note_on_c, 0, 79, 58
2, 14160, Note_on_c, 0, 80, 50
2, 14174, Note_on_c, 0, 79, 0
2, 14624, Note_on_c, 0, 80, 0
2, 14840, Note_on_c, 0, 82, 56
2, 14872, Note_on_c, 0, 82, 0
2, 14880, Note_on_c, 0, 80, 62
2, 15000, Note_on_c, 0, 80, 0
2, 15000, Note_on_c, 0, 79, 56
2, 15120, Note_on_c, 0, 80, 61
2, 15142, Note_on_c, 0, 79, 0
2, 15416, Note_on_c, 0, 80, 0
2, 15480, Note_on_c, 0, 75, 61
2, 15530, Note_on_c, 0, 75, 0
2, 15600, Note_on_c, 0, 77, 64
2, 15660, Note_on_c, 0, 77, 0
2, 15720, Note_on_c, 0, 79, 70
2, 15766, Note_on_c, 0, 79, 0
2, 15840, Note_on_c, 0, 80, 75
2, 15886, Note_on_c, 0, 80, 0
2, 15960, Note_on_c, 0, 82, 66
2, 16006, Note_on_c, 0, 82, 0
2, 16080, Note_on_c, 0, 84, 60
2, 16132, Note_on_c, 0, 84, 0
2, 16200, Note_on_c, 0, 85, 60
2, 16250, Note_on_c, 0, 85, 0
2, 16320, Note_on_c, 0, 87, 58
2, 16560, Note_on_c, 0, 87, 0
2, 16560, Note_on_c, 0, 85, 62
2, 16680, Note_on_c, 0, 85, 0
2, 16680, Note_on_c, 0, 84, 59
2, 16770, Note_on_c, 0, 84, 0
2, 16800, Note_on_c, 0, 84, 66
2, 17040, Note_on_c, 0, 85, 41
2, 17066, Note_on_c, 0, 84, 0
2, 17610, Note_on_c, 0, 85, 0
2, 17760, Note_on_c, 0, 85, 67
2, 17880, Note_on_c, 0, 84, 52
2, 17884, Note_on_c, 0, 85, 0
2, 18000, Note_on_c, 0, 82, 67
2, 18014, Note_on_c, 0, 84, 0
2, 18114, Note_on_c, 0, 82, 0
2, 18180, Note_on_c, 0, 84, 56
2, 18240, Note_on_c, 0, 84, 0
2, 18240, Note_on_c, 0, 82, 64
2, 18360, Note_on_c, 0, 80, 58
2, 18384, Note_on_c, 0, 82, 0
2, 18480, Note_on_c, 0, 82, 53
2, 18482, Note_on_c, 0, 80, 0
2, 18682, Note_on_c, 0, 82, 0
2, 18720, Note_on_c, 0, 84, 68
2, 18836, Note_on_c, 0, 84, 0
2, 18840, Note_on_c, 0, 82, 56
2, 18960, Note_on_c, 0, 80, 50
2, 18984, Note_on_c, 0, 82, 0
2, 19380, Note_on_c, 0, 80, 0
2, 19440, Note_on_c, 0, 80, 61
2, 19920, Note_on_c, 0, 79, 61
2, 19924, Note_on_c, 0, 80, 0
2, 20040, Note_on_c, 0, 80, 56
2, 20056, Note_on_c, 0, 79, 0
2, 20160, Note_on_c, 0, 82, 61
2, 20206, Note_on_c, 0, 80, 0
2, 20266, Note_on_c, 0, 82, 0
2, 20280, Note_on_c, 0, 75, 67
2, 20330, Note_on_c, 0, 75, 0
2, 20400, Note_on_c, 0, 77, 42
2, 20460, Note_on_c, 0, 77, 0
2, 20520, Note_on_c, 0, 79, 77
2, 20566, Note_on_c, 0, 79, 0
2, 20640, Note_on_c, 0, 79, 65
2, 20880, Note_on_c, 0, 80, 40
2, 20914, Note_on_c, 0, 79, 0
2, 21396, Note_on_c, 0, 80, 0
2, 27840, Note_on_c, 0, 89, 54
2, 27840, Note_on_c, 0, 92, 57
