0, 0, Header, 1, 18, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 594059
1, 0, Marker_t, "Allegro moderato"
1, 855, Tempo, 659341
1, 865, Tempo, 666667
1, 870, Tempo, 674157
1, 875, Tempo, 689655
1, 950, Tempo, 681818
1, 965, Tempo, 674157
1, 980, Tempo, 666667
1, 995, Tempo, 659341
1, 1010, Tempo, 652174
1, 1025, Tempo, 645161
1, 1040, Tempo, 638298
1, 1055, Tempo, 631579
1, 1445, Tempo, 652174
1, 1455, Tempo, 681818
1, 1465, Tempo, 697674
1, 1470, Tempo, 705882
1, 1485, Tempo, 714286
1, 1495, Tempo, 731707
1, 1505, Tempo, 759494
1, 1520, Tempo, 750000
1, 1525, Tempo, 750000
1, 1535, Tempo, 750000
1, 1625, Tempo, 1276596
1, 1635, Tempo, 1250000
1, 1640, Tempo, 1224490
1, 1645, Tempo, 1200000
1, 1650, Tempo, 1176471
1, 1655, Tempo, 1153846
1, 1660, Tempo, 1132075
1, 1665, Tempo, 1111111
1, 1670, Tempo, 1090909
1, 1675, Tempo, 1071429
1, 1680, Tempo, 1052632
1, 1685, Tempo, 659341
1, 1690, Tempo, 645161
1, 2400, Tempo, 576923
1, 2893, Tempo, 571429
1, 3140, Tempo, 566038
1, 3940, Tempo, 571429
1, 21153, Tempo, 582524
1, 21160, Tempo, 576923
1, 21860, Tempo, 571429
1, 22560, Tempo, 566038
1, 23040, Tempo, 576923
1, 26066, Tempo, 582524
1, 35540, Tempo, 582524
1, 35586, Tempo, 576923
1, 35626, Tempo, 571429
1, 35660, Tempo, 566038
1, 35700, Tempo, 560748
1, 35740, Tempo, 555556
1, 35773, Tempo, 550459
1, 37445, Tempo, 555556
1, 37485, Tempo, 550459
1, 37515, Tempo, 540541
1, 37525, Tempo, 530973
1, 37540, Tempo, 526316
1, 37545, Tempo, 521739
1, 37575, Tempo, 517241
1, 37585, Tempo, 512821
1, 37610, Tempo, 508475
1, 37620, Tempo, 504202
1, 37640, Tempo, 500000
1, 37645, Tempo, 495868
1, 37670, Tempo, 491803
1, 37685, Tempo, 487805
1, 37865, Tempo, 483871
1, 37905, Tempo, 480000
1, 38110, Tempo, 483871
1, 38120, Tempo, 487805
1, 38135, Tempo, 491803
1, 38165, Tempo, 500000
1, 38195, Tempo, 508475
1, 38215, Tempo, 512821
1, 38250, Tempo, 517241
1, 38255, Tempo, 521739
1, 38275, Tempo, 526316
1, 38285, Tempo, 530973
1, 38305, Tempo, 535714
1, 38360, Tempo, 540541
1, 38375, Tempo, 545455
1, 38390, Tempo, 555556
1, 39595, Tempo, 560748
1, 39600, Tempo, 566038
1, 39605, Tempo, 576923
1, 39615, Tempo, 582524
1, 39625, Tempo, 594059
1, 39630, Tempo, 600000
1, 39645, Tempo, 612245
1, 39660, Tempo, 625000
1, 39665, Tempo, 631579
1, 39670, Tempo, 638298
1, 39675, Tempo, 645161
1, 39680, Tempo, 652174
1, 39685, Tempo, 666667
1, 39725, Tempo, 674157
1, 39800, Tempo, 666667
1, 39820, Tempo, 652174
1, 39825, Tempo, 600000
1, 39830, Tempo, 588235
1, 39835, Tempo, 576923
1, 39840, Tempo, 555556
1, 40440, Tempo, 555556
1, 40535, Tempo, 560748
1, 40625, Tempo, 566038
1, 40715, Tempo, 571429
1, 40800, Tempo, 571429
1, 49440, Tempo, 555556
1, 49490, Tempo, 560748
1, 49535, Tempo, 566038
1, 49585, Tempo, 571429
1, 49630, Tempo, 576923
1, 49675, Tempo, 582524
1, 49725, Tempo, 588235
1, 49770, Tempo, 594059
1, 49820, Tempo, 600000
1, 49860, Tempo, 652174
1, 49865, Tempo, 666667
1, 49870, Tempo, 697674
1, 49875, Tempo, 750000
1, 49880, Tempo, 810811
1, 49885, Tempo, 833333
1, 49890, Tempo, 909091
1, 49905, Tempo, 869565
1, 49910, Tempo, 857143
1, 49920, Tempo, 606061
1, 52795, Tempo, 612245
1, 52810, Tempo, 606061
1, 52820, Tempo, 600000
1, 52830, Tempo, 594059
1, 52840, Tempo, 588235
1, 53040, Tempo, 588235
1, 53050, Tempo, 582524
1, 53055, Tempo, 576923
1, 53060, Tempo, 571429
1, 53760, Tempo, 571429
1, 53770, Tempo, 566038
1, 53780, Tempo, 560748
1, 53790, Tempo, 555556
1, 54805, Tempo, 555556
1, 54850, Tempo, 560748
1, 54890, Tempo, 566038
1, 54935, Tempo, 571429
1, 54975, Tempo, 576923
1, 55020, Tempo, 582524
1, 55060, Tempo, 588235
1, 55105, Tempo, 594059
1, 55145, Tempo, 600000
1, 55185, Tempo, 606061
1, 55200, Tempo, 540541
1, 55310, Tempo, 540541
1, 55320, Tempo, 545455
