0, 0, Header, 1, 18, 120
1, 0, Start_track
1, 0, Title_t, "Concerto pour piano et orchestre en Mi b majeur opus 73"
1, 0, Title_t, "Premier mouvement : Allegro"
1, 0, Text_t, "L. Van Beethoven (1770 - 1827)"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 485830
1, 0, Marker_t, "L. Van Beethoven : piano concert in Es - 1st mvt"
1, 480, Tempo, 600000
1, 510, Tempo, 441176
1, 690, Tempo, 600000
1, 714, Tempo, 441176
1, 780, Tempo, 600000
1, 810, Tempo, 441176
1, 1080, Tempo, 508475
1, 1110, Tempo, 441176
1, 1200, Tempo, 701754
1, 1320, Tempo, 502092
1, 1440, Tempo, 545455
1, 1470, Tempo, 483871
1, 1560, Tempo, 521739
1, 1590, Tempo, 474308
1, 1680, Tempo, 512821
1, 1710, Tempo, 461538
1, 1800, Tempo, 500000
1, 1830, Tempo, 454545
1, 1920, Tempo, 555556
1, 1950, Tempo, 454545
1, 2040, Tempo, 552995
1, 2070, Tempo, 454545
1, 2160, Tempo, 558140
1, 2190, Tempo, 454545
1, 2280, Tempo, 555556
1, 2310, Tempo, 454545
1, 2400, Tempo, 568720
1, 2430, Tempo, 454545
1, 2520, Tempo, 535714
1, 2550, Tempo, 454545
1, 2638, Tempo, 857143
1, 2658, Tempo, 558140
1, 2660, Tempo, 555556
1, 2661, Tempo, 550459
1, 2663, Tempo, 547945
1, 2665, Tempo, 545455
1, 2666, Tempo, 540541
1, 2668, Tempo, 538117
1, 2670, Tempo, 533333
1, 2671, Tempo, 530973
1, 2673, Tempo, 528634
1, 2675, Tempo, 524017
1, 2676, Tempo, 521739
1, 2678, Tempo, 519481
1, 2680, Tempo, 515021
1, 2681, Tempo, 512821
1, 2683, Tempo, 508475
1, 2685, Tempo, 506329
1, 2686, Tempo, 504202
1, 2688, Tempo, 500000
1, 2690, Tempo, 497925
1, 2691, Tempo, 493827
1, 2693, Tempo, 491803
1, 2695, Tempo, 489796
1, 2696, Tempo, 485830
1, 2698, Tempo, 483871
1, 2700, Tempo, 480000
1, 2701, Tempo, 478088
1, 2703, Tempo, 476190
1, 2705, Tempo, 472441
1, 2706, Tempo, 470588
1, 2708, Tempo, 468750
1, 2710, Tempo, 465116
1, 2711, Tempo, 463320
1, 2713, Tempo, 459770
1, 2715, Tempo, 458015
1, 2716, Tempo, 456274
1, 2718, Tempo, 452830
1, 2720, Tempo, 451128
1, 2721, Tempo, 447761
1, 2723, Tempo, 446097
1, 2725, Tempo, 444444
1, 2726, Tempo, 441176
1, 2728, Tempo, 439560
1, 2730, Tempo, 436364
1, 2731, Tempo, 434783
1, 2733, Tempo, 433213
1, 2735, Tempo, 430108
1, 2736, Tempo, 428571
1, 2738, Tempo, 427046
1, 2740, Tempo, 424028
1, 2741, Tempo, 422535
1, 2743, Tempo, 419580
1, 2745, Tempo, 418118
1, 2746, Tempo, 416667
1, 2748, Tempo, 413793
1, 2750, Tempo, 412371
1, 2751, Tempo, 409556
1, 2753, Tempo, 408163
1, 2755, Tempo, 406780
1, 2756, Tempo, 404040
1, 2758, Tempo, 402685
1, 2760, Tempo, 400000
1, 3360, Tempo, 454201
1, 3365, Tempo, 454545
1, 3370, Tempo, 454890
1, 3375, Tempo, 455235
1, 3380, Tempo, 455581
1, 3383, Tempo, 455927
1, 3388, Tempo, 456274
1, 3393, Tempo, 456621
1, 3398, Tempo, 456969
1, 3403, Tempo, 457317
1, 3406, Tempo, 457666
1, 3411, Tempo, 458015
1, 3416, Tempo, 458365
1, 3421, Tempo, 458716
1, 3426, Tempo, 459067
1, 3430, Tempo, 459418
1, 3435, Tempo, 459770
1, 3440, Tempo, 460123
1, 3445, Tempo, 460476
1, 3450, Tempo, 460829
1, 3453, Tempo, 461184
1, 3458, Tempo, 461538
1, 3463, Tempo, 461894
1, 3468, Tempo, 462250
1, 3473, Tempo, 462606
1, 3476, Tempo, 462963
1, 3481, Tempo, 463320
1, 3486, Tempo, 463679
1, 3491, Tempo, 464037
1, 3496, Tempo, 464396
1, 3500, Tempo, 464756
1, 3505, Tempo, 465116
1, 3510, Tempo, 465477
