0, 0, Header, 1, 20, 120
1, 0, Start_track
1, 0, Title_t, "Concerto pour piano et orchestre en Mi b majeur opus 73"
1, 0, Title_t, "Second mouvement : Adagio un poco mosso - troisi\350me mouvement : Rondo - Allegro"
1, 0, Text_t, "L. Van Beethoven (1770 - 1827)"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 1411765
1, 0, Marker_t, "L. Van Beethoven : piano concert in Es - 2nd mvt"
1, 2820, Tempo, 1621622
1, 2880, Tempo, 1395349
1, 4260, Tempo, 1600000
1, 4320, Tempo, 1621622
1, 4800, Tempo, 1411765
1, 5220, Tempo, 1621622
1, 5280, Tempo, 1395349
1, 5640, Tempo, 1846154
1, 5760, Tempo, 1395349
1, 6960, Tempo, 1621622
1, 7080, Tempo, 2000000
1, 7200, Tempo, 2553191
1, 7240, Tempo, 1363636
1, 7320, Tempo, 1600000
1, 7360, Tempo, 1363636
1, 7440, Tempo, 1600000
1, 7480, Tempo, 1363636
1, 7560, Tempo, 1600000
1, 7600, Tempo, 1363636
1, 7680, Tempo, 1600000
1, 7720, Tempo, 1363636
1, 7800, Tempo, 1621622
1, 7840, Tempo, 1363636
1, 7920, Tempo, 1600000
1, 7960, Tempo, 1363636
1, 8040, Tempo, 1600000
1, 8080, Tempo, 1363636
1, 8120, Tempo, 1621622
1, 8160, Tempo, 1666667
1, 8200, Tempo, 1363636
1, 8260, Tempo, 4000000
1, 8280, Tempo, 1600000
1, 8320, Tempo, 1363636
1, 8400, Tempo, 1600000
1, 8440, Tempo, 1363636
1, 8520, Tempo, 1600000
1, 8560, Tempo, 1363636
1, 8640, Tempo, 1600000
1, 8680, Tempo, 1330377
1, 8760, Tempo, 1600000
1, 8800, Tempo, 1304348
1, 8880, Tempo, 1538462
1, 8920, Tempo, 1271186
1, 9000, Tempo, 1538462
1, 9040, Tempo, 1363636
1, 9080, Tempo, 1621622
1, 9120, Tempo, 2352941
1, 9160, Tempo, 1363636
1, 9220, Tempo, 2142857
1, 9240, Tempo, 1600000
1, 9280, Tempo, 1363636
1, 9360, Tempo, 1600000
1, 9400, Tempo, 1363636
1, 9480, Tempo, 1600000
1, 9520, Tempo, 1363636
1, 9600, Tempo, 1600000
1, 9640, Tempo, 1363636
1, 9720, Tempo, 1600000
1, 9760, Tempo, 1363636
1, 9840, Tempo, 1600000
1, 9880, Tempo, 1363636
1, 9960, Tempo, 1600000
1, 10000, Tempo, 1363636
1, 10080, Tempo, 1600000
1, 10120, Tempo, 1363636
1, 10200, Tempo, 1600000
1, 10240, Tempo, 1363636
1, 10320, Tempo, 1600000
1, 10360, Tempo, 1363636
1, 10440, Tempo, 1600000
1, 10480, Tempo, 1363636
1, 10560, Tempo, 1538462
1, 10600, Tempo, 1363636
1, 10680, Tempo, 1538462
1, 10720, Tempo, 1363636
1, 10800, Tempo, 1538462
1, 10840, Tempo, 1363636
1, 10920, Tempo, 1538462
1, 10960, Tempo, 1363636
1, 11040, Tempo, 1818182
1, 11070, Tempo, 1398601
1, 11160, Tempo, 1749271
1, 11190, Tempo, 1481481
1, 11280, Tempo, 1818182
1, 11310, Tempo, 1578947
1, 11400, Tempo, 1904762
1, 11420, Tempo, 1515152
1, 11422, Tempo, 1526718
1, 11425, Tempo, 1538462
1, 11427, Tempo, 1554404
1, 11430, Tempo, 1566580
1, 11432, Tempo, 1578947
1, 11435, Tempo, 1595745
1, 11437, Tempo, 1608579
1, 11440, Tempo, 1621622
1, 11442, Tempo, 1639344
1, 11445, Tempo, 1652893
1, 11447, Tempo, 1666667
1, 11450, Tempo, 1685393
1, 11452, Tempo, 1699717
1, 11455, Tempo, 1714286
1, 11457, Tempo, 1734104
1, 11460, Tempo, 1749271
1, 11462, Tempo, 1769912
1, 11465, Tempo, 1785714
1, 11467, Tempo, 1801802
1, 11470, Tempo, 1823708
1, 11472, Tempo, 1840491
1, 11475, Tempo, 1857585
1, 11477, Tempo, 1880878
1, 11480, Tempo, 1898734
1, 11482, Tempo, 1916933
1, 11485, Tempo, 1941748
1, 11487, Tempo, 1960784
1, 11490, Tempo, 1980198
1, 11492, Tempo, 2006689
1, 11495, Tempo, 2027027
1, 11497, Tempo, 2047782
1, 11500, Tempo, 2076125
1, 11502, Tempo, 2097902
1, 11505, Tempo, 2120141
1, 11507, Tempo, 2150538
1, 11510, Tempo, 2173913
1, 11512, Tempo, 2197802
1, 11515, Tempo, 2230483
1, 11517, Tempo, 2255639
1, 11520, Tempo, 1132075
1, 11760, Tempo, 3157895
1, 11770, Tempo, 1578947
1, 11771, Tempo, 1538462
1, 11773, Tempo, 1518987
1, 11775, Tempo, 1500000
1, 11776, Tempo, 1463415
1, 11778, Tempo, 1445783
1, 11780, Tempo, 1428571
1, 11781, Tempo, 1411765
1, 11783, Tempo, 1379310
