0, 0, Header, 1, 6, 48
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Title_t, "               [GS] Beethoven: ROMANCE  Op.50"
1, 0, Text_t, "CVS Ver5.03 Created"
1, 0, Text_t, "\202kudwig van \202aEETHOVEN"
1, 0, Text_t, "\201u\203\215\203}\203\223\203X\201v"
1, 0, Text_t, "Op.50"
1, 0, Text_t, "for piano solo"
1, 0, Text_t, "----------------------------"
1, 0, Text_t, "Roland GS"
1, 0, Text_t, "by MOCLIN(GBA02512)"
1, 0, Tempo, 1250000
1, 0, Tempo, 625000
1, 144, Tempo, 1250000
1, 192, Tempo, 1304347
1, 216, Tempo, 1250000
1, 264, Tempo, 1333333
1, 288, Tempo, 1304347
1, 312, Tempo, 1250000
1, 360, Tempo, 1333333
1, 384, Tempo, 1304347
1, 408, Tempo, 1250000
1, 456, Tempo, 1333333
1, 480, Tempo, 1304347
1, 504, Tempo, 1250000
1, 552, Tempo, 1333333
1, 576, Tempo, 1304347
1, 600, Tempo, 1250000
1, 648, Tempo, 1333333
1, 672, Tempo, 1304347
1, 696, Tempo, 1250000
1, 744, Tempo, 1333333
1, 768, Tempo, 1304347
1, 792, Tempo, 1250000
1, 840, Tempo, 1333333
1, 852, Tempo, 1463414
1, 864, Tempo, 1333333
1, 888, Tempo, 1250000
1, 936, Tempo, 1333333
1, 960, Tempo, 1304347
1, 984, Tempo, 1250000
1, 1032, Tempo, 1333333
1, 1056, Tempo, 1304347
1, 1080, Tempo, 1250000
1, 1128, Tempo, 1333333
1, 1152, Tempo, 1304347
1, 1176, Tempo, 1250000
1, 1224, Tempo, 1333333
1, 1248, Tempo, 1304347
1, 1272, Tempo, 1250000
1, 1320, Tempo, 1333333
1, 1344, Tempo, 1304347
1, 1368, Tempo, 1250000
1, 1416, Tempo, 1333333
1, 1440, Tempo, 1304347
1, 1464, Tempo, 1250000
1, 1512, Tempo, 1333333
1, 1536, Tempo, 1304347
1, 1560, Tempo, 1250000
1, 1608, Tempo, 1333333
1, 1620, Tempo, 1463414
1, 1632, Tempo, 1395348
1, 1644, Tempo, 1333333
1, 1656, Tempo, 1304347
1, 1668, Tempo, 1333333
1, 1680, Tempo, 1250000
1, 1692, Tempo, 1333333
1, 1704, Tempo, 1304347
1, 1716, Tempo, 1395348
1, 1728, Tempo, 1304347
1, 1752, Tempo, 1250000
1, 1800, Tempo, 1333333
1, 1824, Tempo, 1304347
1, 1848, Tempo, 1250000
1, 1896, Tempo, 1333333
1, 1920, Tempo, 1304347
1, 1944, Tempo, 1250000
1, 1992, Tempo, 1304347
1, 2016, Tempo, 1276595
1, 2040, Tempo, 1250000
1, 2088, Tempo, 1304347
1, 2112, Tempo, 1276595
1, 2136, Tempo, 1250000
