0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 480, Tempo, 600000
1, 960, Marker_t, "Piano Sonata No.10"
1, 1440, Tempo, 612244
1, 1560, Tempo, 600000
1, 1920, Marker_t, "Bunji Hisamori"
1, 2400, Tempo, 612244
1, 2530, Tempo, 600000
1, 2880, Marker_t, "Dec. '97,   Ver.2 "
1, 3360, Tempo, 612244
1, 3480, Tempo, 600000
1, 3840, Marker_t, "June 1999, Rev.1"
1, 4330, Tempo, 612244
1, 4620, Tempo, 625000
1, 4680, Tempo, 638297
1, 4860, Tempo, 600000
1, 6000, Tempo, 612244
1, 6600, Tempo, 625000
1, 7080, Tempo, 638297
1, 7507, Tempo, 652173
1, 7720, Tempo, 612244
1, 8280, Tempo, 625000
1, 8400, Tempo, 612244
1, 8512, Tempo, 625000
1, 8710, Tempo, 612244
1, 9240, Tempo, 625000
1, 9540, Tempo, 652173
1, 9670, Tempo, 612244
1, 10500, Tempo, 625000
1, 10560, Tempo, 612244
1, 11470, Tempo, 625000
1, 11590, Tempo, 612244
1, 12420, Tempo, 625000
1, 12480, Tempo, 612244
1, 13390, Tempo, 625000
1, 13510, Tempo, 612244
1, 14350, Tempo, 625000
1, 14470, Tempo, 612244
1, 15310, Tempo, 638297
1, 15430, Tempo, 612244
1, 16270, Tempo, 625000
1, 16390, Tempo, 612244
1, 17182, Tempo, 638297
1, 17350, Tempo, 612244
1, 18190, Tempo, 625000
1, 18310, Tempo, 612244
1, 19150, Tempo, 625000
1, 19270, Tempo, 612244
1, 20110, Tempo, 625000
1, 20230, Tempo, 612244
1, 21070, Tempo, 625000
1, 22030, Tempo, 638297
1, 22990, Tempo, 652173
1, 23880, Tempo, 659340
1, 23985, Tempo, 674157
1, 24640, Tempo, 689655
1, 24840, Tempo, 810810
1, 24960, Tempo, 612244
1, 25380, Tempo, 625000
1, 25440, Tempo, 612244
1, 25860, Tempo, 625000
1, 25920, Tempo, 612244
1, 27780, Tempo, 638297
1, 28560, Tempo, 659340
1, 28800, Tempo, 612244
1, 29220, Tempo, 625000
1, 29280, Tempo, 612244
1, 29700, Tempo, 625000
1, 29760, Tempo, 612244
1, 31570, Tempo, 625000
1, 31680, Tempo, 625000
1, 32590, Tempo, 638297
1, 32640, Tempo, 625000
1, 33540, Tempo, 638297
1, 34550, Tempo, 652173
1, 34560, Tempo, 625000
1, 35280, Tempo, 638297
1, 35400, Tempo, 659340
1, 35520, Tempo, 625000
1, 36420, Tempo, 638297
1, 36480, Tempo, 625000
1, 37380, Tempo, 638297
1, 37440, Tempo, 625000
1, 38340, Tempo, 638297
1, 38400, Tempo, 625000
1, 39180, Tempo, 638297
1, 39240, Tempo, 659340
1, 39360, Tempo, 600000
1, 39780, Tempo, 612244
1, 39840, Tempo, 600000
1, 40260, Tempo, 612244
1, 40320, Tempo, 600000
1, 40740, Tempo, 612244
1, 40800, Tempo, 600000
1, 41220, Tempo, 625000
1, 41280, Tempo, 600000
1, 42180, Tempo, 659340
1, 42727, Tempo, 689655
1, 43200, Tempo, 600000
1, 44100, Tempo, 659340
1, 44640, Tempo, 689655
1, 45120, Tempo, 638297
1, 45240, Tempo, 625000
1, 46020, Tempo, 638297
1, 46140, Tempo, 625000
1, 46980, Tempo, 638297
1, 47100, Tempo, 625000
1, 47940, Tempo, 638297
1, 48060, Tempo, 625000
1, 48900, Tempo, 638297
1, 49020, Tempo, 625000
1, 49860, Tempo, 638297
1, 49980, Tempo, 625000
1, 50820, Tempo, 638297
1, 50940, Tempo, 625000
1, 51780, Tempo, 638297
1, 51900, Tempo, 625000
1, 52740, Tempo, 638297
1, 52860, Tempo, 625000
1, 53700, Tempo, 638297
1, 53820, Tempo, 625000
1, 54660, Tempo, 638297
1, 54780, Tempo, 625000
1, 55620, Tempo, 638297
1, 55680, Tempo, 625000
1, 56580, Tempo, 638297
1, 57540, Tempo, 652173
1, 58500, Tempo, 659340
1, 58920, Tempo, 674157
1, 59220, Tempo, 689655
1, 59400, Tempo, 722891
1, 59460, Tempo, 750000
1, 60480, Tempo, 1071428
1, 60720, Tempo, 1276595
1, 60960, Tempo, 600000
1, 61920, Tempo, 612244
1, 62040, Tempo, 600000
1, 62880, Tempo, 612244
1, 63010, Tempo, 600000
1, 63840, Tempo, 612244
1, 63960, Tempo, 600000
1, 64810, Tempo, 612244
1, 65100, Tempo, 625000
1, 65160, Tempo, 638297
1, 65340, Tempo, 600000
1, 66480, Tempo, 612244
1, 67080, Tempo, 625000
1, 67560, Tempo, 638297
1, 67987, Tempo, 652173
1, 68200, Tempo, 612244
1, 68760, Tempo, 625000
1, 68880, Tempo, 612244
1, 68992, Tempo, 625000
1, 69190, Tempo, 612244
1, 69720, Tempo, 625000
1, 70020, Tempo, 652173
1, 70150, Tempo, 612244
1, 70980, Tempo, 625000
1, 71040, Tempo, 612244
1, 71950, Tempo, 625000
1, 72070, Tempo, 612244
1, 72900, Tempo, 625000
1, 72960, Tempo, 612244
1, 73870, Tempo, 625000
1, 73990, Tempo, 612244
1, 74830, Tempo, 625000
1, 74950, Tempo, 612244
1, 75790, Tempo, 638297
1, 75910, Tempo, 612244
1, 76750, Tempo, 625000
1, 76870, Tempo, 612244
1, 77662, Tempo, 638297
1, 77830, Tempo, 612244
1, 78670, Tempo, 625000
1, 78790, Tempo, 612244
1, 79630, Tempo, 625000
1, 79750, Tempo, 612244
1, 80590, Tempo, 625000
1, 80710, Tempo, 612244
1, 81550, Tempo, 625000
1, 82510, Tempo, 638297
1, 83470, Tempo, 652173
1, 84360, Tempo, 659340
1, 84465, Tempo, 674157
1, 85120, Tempo, 689655
1, 85320, Tempo, 810810
1, 85440, Tempo, 612244
1, 85860, Tempo, 625000
1, 85920, Tempo, 612244
1, 86340, Tempo, 625000
1, 86400, Tempo, 612244
