0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 30, 03, 0C, F7
1, 0, MIDI_port, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 810811
1, 0, Marker_t, "Our great composer : Ludwig van Beethoven's Piano Sonata No. 10,  1st movement"
1, 180, Tempo, 789474
1, 210, Tempo, 750000
1, 240, Tempo, 674157
1, 1920, Tempo, 740741
1, 2160, Tempo, 705882
1, 2280, Tempo, 689655
1, 2400, Tempo, 674157
1, 4320, Tempo, 666667
1, 4560, Tempo, 659341
1, 4800, Tempo, 652174
1, 5760, Tempo, 645161
1, 5880, Tempo, 631579
1, 5940, Tempo, 612245
1, 6000, Tempo, 800000
1, 6060, Tempo, 821918
1, 6120, Tempo, 857143
1, 6180, Tempo, 895522
1, 6240, Tempo, 750000
1, 6360, Tempo, 689655
1, 6480, Tempo, 666667
1, 6960, Tempo, 681818
1, 7020, Tempo, 705882
1, 7080, Tempo, 731707
1, 7140, Tempo, 759494
1, 7200, Tempo, 722892
1, 7320, Tempo, 689655
1, 7440, Tempo, 666667
1, 8640, Tempo, 697674
1, 8880, Tempo, 674157
1, 9670, Tempo, 689655
1, 9720, Tempo, 705882
1, 9780, Tempo, 722892
1, 9840, Tempo, 674157
1, 10320, Tempo, 652174
1, 10560, Tempo, 705882
1, 10800, Tempo, 652174
1, 11010, Tempo, 714286
1, 11040, Tempo, 833333
1, 11160, Tempo, 869565
1, 11280, Tempo, 845070
1, 11340, Tempo, 821918
1, 11400, Tempo, 789474
1, 11460, Tempo, 750000
1, 11520, Tempo, 714286
1, 13800, Tempo, 740741
1, 13860, Tempo, 789474
1, 13920, Tempo, 821918
1, 14040, Tempo, 759494
1, 14160, Tempo, 722892
1, 14820, Tempo, 800000
1, 14880, Tempo, 714286
1, 15240, Tempo, 731707
1, 15360, Tempo, 652174
1, 17040, Tempo, 705882
1, 17160, Tempo, 666667
1, 17280, Tempo, 645161
1, 21120, Tempo, 722892
1, 21180, Tempo, 759494
1, 21240, Tempo, 789474
1, 21300, Tempo, 821918
1, 21360, Tempo, 689655
1, 21490, Tempo, 674157
