0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Beethoven Sonata No. 21 in C major"
1, 0, Title_t, "3. Movement"
1, 0, Copyright_t, "Copyright \251 2003 by Bernd Krueger "
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Rondo: Allegretto moderato"
1, 0, Text_t, "Fertiggestellt am  29.11.2003\012"
1, 0, Text_t, "Dauer: 9:42 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 653880
1, 40, Tempo, 659341
1, 120, Tempo, 655738
1, 200, Tempo, 652174
1, 240, Tempo, 648649
1, 320, Tempo, 645161
1, 360, Tempo, 641711
1, 440, Tempo, 638298
1, 480, Tempo, 634921
1, 960, Tempo, 609137
1, 1920, Tempo, 574163
1, 2400, Tempo, 597015
1, 2880, Tempo, 617920
1, 3720, Tempo, 605816
1, 3800, Tempo, 624155
1, 3880, Tempo, 621054
1, 3960, Tempo, 617920
1, 4000, Tempo, 614880
1, 4080, Tempo, 611808
1, 4160, Tempo, 608828
1, 4200, Tempo, 605816
1, 4280, Tempo, 602833
1, 4320, Tempo, 599940
1, 4800, Tempo, 585709
1, 5760, Tempo, 561745
1, 6240, Tempo, 585709
1, 6720, Tempo, 599940
1, 7560, Tempo, 602833
1, 7680, Tempo, 630517
1, 7800, Tempo, 611808
1, 7880, Tempo, 608828
1, 7920, Tempo, 605816
1, 7960, Tempo, 602833
1, 8000, Tempo, 599940
1, 8040, Tempo, 597015
1, 8080, Tempo, 594177
1, 8120, Tempo, 591308
1, 8160, Tempo, 591308
1, 8640, Tempo, 574823
1, 9600, Tempo, 551724
1, 10080, Tempo, 574823
1, 10560, Tempo, 582977
1, 11400, Tempo, 602833
1, 11520, Tempo, 630517
1, 11640, Tempo, 611808
1, 11720, Tempo, 608828
1, 11760, Tempo, 605816
1, 11800, Tempo, 602833
1, 11840, Tempo, 599940
1, 11880, Tempo, 597015
1, 11920, Tempo, 594177
1, 11960, Tempo, 591308
1, 12000, Tempo, 591308
1, 12480, Tempo, 559232
1, 13440, Tempo, 544415
1, 13920, Tempo, 556690
1, 14400, Tempo, 582977
1, 15360, Tempo, 544415
1, 15840, Tempo, 556690
1, 16320, Tempo, 582977
