0, 0, Header, 1, 5, 48
1, 0, Start_track
1, 0, Title_t, "\203s\203A\203m\203\\\203i\203^ \221\346\202Q\202X\224\324 \201u\203n\203\223\203}\201[\203N\203\211\203\224\203B\203A\201v \221\346\202Q\212y\217\315"
1, 0, Text_t, "CVS Ver5.05 Created\012"
1, 0, Text_t, "\351a\351d\351d\351s\351g\351n\351u\351d\351m\012"
1, 0, Text_t, "\351j\351k\351`\351u\351h\351d\351q \351r\351n\351m\351`\351s\351d\012"
1, 0, Text_t, "\351a-\351\344\351\362\351\306\374@\351n\351\311.\351P\351O\351U\012"
1, 0, Text_t, "<\351g\351\374\351\354\351\354\351\374\351\306\351\357\351\356\351\374\351\373\351\353\351\340\351\306>\012"
1, 0, Text_t, "\374m\347U\374n\012"
1, 0, Text_t, "Ver.2 ^^;\012"
1, 0, Text_t, "by \342p\342p\351\246\351-\351\246\012"
1, 0, Text_t, "(MXH00403)\012"
1, 0, Text_t, "[Scherzo]\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 04, 7F, 3D, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 30, 03, 0C, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 31, 03, 0B, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 33, 40, 4C, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 34, 48, 43, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 38, 02, 05, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 3A, 40, 45, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 3E, 13, 6E, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 3D, 03, 7F, F7
1, 0, MIDI_port, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 500000
1, 288, Time_signature, 3, 3, 12, 8
1, 306, Tempo, 535714
1, 312, Tempo, 500000
1, 336, Tempo, 508475
1, 378, Tempo, 535714
1, 384, Tempo, 500000
1, 408, Tempo, 508475
1, 420, Tempo, 517241
1, 450, Tempo, 535714
1, 456, Tempo, 500000
1, 480, Tempo, 508475
1, 492, Tempo, 517241
1, 522, Tempo, 535714
1, 528, Tempo, 500000
1, 552, Tempo, 508475
1, 564, Tempo, 535714
1, 600, Tempo, 500000
1, 624, Tempo, 508475
1, 636, Tempo, 517241
1, 666, Tempo, 500000
1, 696, Tempo, 526316
1, 720, Tempo, 508475
1, 744, Tempo, 566038
1, 768, Tempo, 666667
1, 792, Tempo, 500000
1, 810, Tempo, 535714
1, 816, Tempo, 500000
1, 840, Tempo, 508475
1, 852, Tempo, 517241
1, 882, Tempo, 535714
1, 888, Tempo, 500000
1, 912, Tempo, 508475
