0, 0, Header, 1, 5, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 495, Tempo, 526315
1, 1920, Tempo, 689655
1, 1920, Marker_t, "2 preludes "
1, 1980, Tempo, 674157
1, 3780, Tempo, 689655
1, 3840, Marker_t, "Bunji Hisamori"
1, 3900, Tempo, 674157
1, 5700, Tempo, 689655
1, 5760, Marker_t, "Oct. 1998"
1, 5820, Tempo, 674157
1, 7620, Tempo, 689655
1, 7680, Marker_t, "July 1999,  Rev.1"
1, 7740, Tempo, 674157
1, 9540, Tempo, 689655
1, 9660, Tempo, 674157
1, 11460, Tempo, 689655
1, 11580, Tempo, 674157
1, 13380, Tempo, 689655
1, 13500, Tempo, 674157
1, 15300, Tempo, 689655
1, 15420, Tempo, 674157
1, 17220, Tempo, 705882
1, 17505, Tempo, 674157
1, 19140, Tempo, 689655
1, 19260, Tempo, 674157
1, 21060, Tempo, 689655
1, 21180, Tempo, 674157
1, 22980, Tempo, 689655
1, 23100, Tempo, 674157
1, 24900, Tempo, 689655
1, 25020, Tempo, 674157
1, 26820, Tempo, 689655
1, 26940, Tempo, 674157
1, 28740, Tempo, 689655
1, 28860, Tempo, 674157
1, 30660, Tempo, 689655
1, 30780, Tempo, 674157
1, 32580, Tempo, 689655
1, 32700, Tempo, 674157
1, 34500, Tempo, 689655
1, 34620, Tempo, 674157
1, 36420, Tempo, 705882
1, 36720, Tempo, 674157
1, 38340, Tempo, 689655
1, 38460, Tempo, 674157
1, 40260, Tempo, 689655
1, 40380, Tempo, 674157
1, 42180, Tempo, 689655
1, 42300, Tempo, 674157
1, 44100, Tempo, 689655
1, 44220, Tempo, 674157
1, 46020, Tempo, 689655
1, 46140, Tempo, 674157
1, 47940, Tempo, 689655
1, 48060, Tempo, 674157
1, 49860, Tempo, 689655
1, 49980, Tempo, 674157
1, 51780, Tempo, 689655
1, 51900, Tempo, 674157
1, 53700, Tempo, 705882
1, 53985, Tempo, 674157
1, 55620, Tempo, 705882
1, 55935, Tempo, 674157
1, 57540, Tempo, 689655
1, 57660, Tempo, 674157
1, 59460, Tempo, 705882
1, 59745, Tempo, 674157
1, 61380, Tempo, 689655
1, 61500, Tempo, 674157
1, 63300, Tempo, 689655
1, 63420, Tempo, 674157
1, 65220, Tempo, 705882
1, 65520, Tempo, 674157
1, 67140, Tempo, 689655
1, 67260, Tempo, 674157
1, 69060, Tempo, 705882
1, 69390, Tempo, 674157
1, 70980, Tempo, 689655
1, 71100, Tempo, 674157
1, 72900, Tempo, 705882
1, 73185, Tempo, 674157
1, 74820, Tempo, 689655
1, 74940, Tempo, 674157
1, 76740, Tempo, 689655
1, 76860, Tempo, 674157
1, 78660, Tempo, 689655
1, 78780, Tempo, 674157
1, 80580, Tempo, 705882
1, 80880, Tempo, 674157
1, 82500, Tempo, 689655
1, 82620, Tempo, 674157
1, 84420, Tempo, 689655
1, 84540, Tempo, 674157
1, 86340, Tempo, 689655
1, 86460, Tempo, 674157
1, 88260, Tempo, 689655
1, 88380, Tempo, 674157
1, 90180, Tempo, 689655
1, 90300, Tempo, 674157
1, 92100, Tempo, 689655
1, 92220, Tempo, 674157
1, 94020, Tempo, 689655
1, 94140, Tempo, 674157
1, 95940, Tempo, 689655
1, 96060, Tempo, 674157
1, 97860, Tempo, 689655
1, 97980, Tempo, 674157
1, 99780, Tempo, 689655
1, 99900, Tempo, 674157
1, 101700, Tempo, 689655
1, 101820, Tempo, 674157
1, 103620, Tempo, 689655
1, 103740, Tempo, 674157
1, 105540, Tempo, 689655
1, 105660, Tempo, 674157
1, 107460, Tempo, 689655
1, 107580, Tempo, 674157
1, 109380, Tempo, 689655
1, 109500, Tempo, 674157
1, 111220, Tempo, 705882
1, 111570, Tempo, 674157
1, 113220, Tempo, 689655
1, 113340, Tempo, 674157
1, 115140, Tempo, 689655
1, 115260, Tempo, 674157
1, 117060, Tempo, 689655
1, 117180, Tempo, 674157
1, 118980, Tempo, 689655
1, 119100, Tempo, 674157
1, 120900, Tempo, 689655
1, 121020, Tempo, 674157
1, 122820, Tempo, 689655
1, 122940, Tempo, 674157
1, 124740, Tempo, 689655
1, 124860, Tempo, 674157
1, 126660, Tempo, 689655
1, 126780, Tempo, 674157
1, 128580, Tempo, 689655
1, 128700, Tempo, 674157
1, 130500, Tempo, 705882
1, 130815, Tempo, 674157
1, 132420, Tempo, 689655
1, 132540, Tempo, 674157
1, 134340, Tempo, 689655
1, 134460, Tempo, 674157
1, 136260, Tempo, 689655
1, 136380, Tempo, 674157
1, 138180, Tempo, 689655
1, 138300, Tempo, 674157
1, 140100, Tempo, 689655
