0, 0, Header, 1, 3, 120
1, 0, Start_track
1, 0, Title_t, "Piano piece in C Major, uncatalogued (1793)"
1, 0, Title_t, "London, British Library, Kafka, folio 119 versus 2-5"
1, 0, Copyright_t, "Copyright \251 2001 di FIORELLA E ARMANDO ORLANDI"
1, 0, Text_t, "FIORELLA E ARMANDO ORLANDI\012"
1, 0, Sequencer_specific, 03, 00, 00, 41
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 731707
1, 1852, Tempo, 731707
1, 1860, Tempo, 740741
1, 1866, Tempo, 750000
1, 1874, Tempo, 759494
1, 1880, Tempo, 769231
1, 1888, Tempo, 779221
1, 1894, Tempo, 789474
1, 1902, Tempo, 800000
1, 1908, Tempo, 810811
1, 1916, Tempo, 821918
1, 1922, Tempo, 833333
1, 1930, Tempo, 845070
1, 1936, Tempo, 857143
1, 1944, Tempo, 869565
1, 1950, Tempo, 882353
1, 1958, Tempo, 895522
1, 1964, Tempo, 909091
1, 1972, Tempo, 923077
1, 1978, Tempo, 937500
1, 1986, Tempo, 952381
1, 1992, Tempo, 967742
1, 2000, Tempo, 983607
1, 2006, Tempo, 1000000
1, 2014, Tempo, 1016949
1, 2020, Tempo, 1034483
1, 2028, Tempo, 1052632
1, 2034, Tempo, 1071429
1, 2036, Tempo, 1071429
1, 2044, Tempo, 731707
1, 3836, Tempo, 740741
1, 3840, Tempo, 750000
1, 3844, Tempo, 759494
1, 3848, Tempo, 769231
1, 3852, Tempo, 779221
1, 3856, Tempo, 789474
1, 3860, Tempo, 800000
1, 3864, Tempo, 810811
1, 3868, Tempo, 821918
1, 3872, Tempo, 833333
1, 3876, Tempo, 845070
1, 3880, Tempo, 857143
1, 3884, Tempo, 869565
1, 3888, Tempo, 882353
1, 3892, Tempo, 895522
1, 3896, Tempo, 909091
1, 3900, Tempo, 923077
1, 3904, Tempo, 937500
1, 3908, Tempo, 952381
1, 3912, Tempo, 967742
1, 3916, Tempo, 983607
1, 3920, Tempo, 1000000
1, 3924, Tempo, 1016949
1, 3928, Tempo, 1034483
1, 3932, Tempo, 1052632
1, 3936, Tempo, 1071429
1, 3940, Tempo, 1090909
1, 3944, Tempo, 1111111
1, 3948, Tempo, 1132075
1, 3952, Tempo, 1153846
1, 3956, Tempo, 1176471
1, 3960, Tempo, 1200000
1, 3964, Tempo, 1224490
1, 3968, Tempo, 1250000
1, 3972, Tempo, 1276596
1, 3976, Tempo, 1304348
1, 3980, Tempo, 1333333
1, 3984, Tempo, 1363636
1, 3988, Tempo, 1395349
1, 3992, Tempo, 1428571
1, 3996, Tempo, 1463415
1, 4000, Tempo, 1500000
1, 4004, Tempo, 1538462
1, 4008, Tempo, 1578947
1, 4012, Tempo, 1621622
1, 4016, Tempo, 1666667
1, 4020, Tempo, 1714286
1, 4024, Tempo, 1764706
1, 4028, Tempo, 1818182
1, 4032, Tempo, 1875000
1, 4036, Tempo, 1935484
1, 4040, Tempo, 2000000
1, 4044, Tempo, 2068966
1, 4048, Tempo, 2142857
1, 4052, Tempo, 2222222
1, 4056, Tempo, 2307692
1, 4060, Tempo, 2400000
1, 4064, Tempo, 2500000
1, 4068, Tempo, 2608696
1, 4072, Tempo, 2727273
1, 4076, Tempo, 2857143
1, 4080, Tempo, 3000000
1, 4084, Tempo, 3157895
1, 4088, Tempo, 3333333
1, 4092, Tempo, 3529412
1, 4094, Tempo, 3750000
1, 4094, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "PianoR"
2, 0, Program_c, 0, 0
2, 180, Note_on_c, 0, 67, 55
2, 180, Note_on_c, 0, 72, 55
2, 210, Note_on_c, 0, 72, 0
2, 210, Note_on_c, 0, 67, 0
2, 210, Note_on_c, 0, 67, 56
2, 210, Note_on_c, 0, 72, 56
2, 240, Note_on_c, 0, 72, 0
2, 240, Note_on_c, 0, 67, 0
2, 240, Note_on_c, 0, 67, 57
2, 240, Note_on_c, 0, 72, 57
2, 300, Note_on_c, 0, 72, 0
2, 300, Note_on_c, 0, 67, 0
2, 300, Note_on_c, 0, 67, 59
2, 300, Note_on_c, 0, 74, 59
2, 360, Note_on_c, 0, 74, 0
2, 360, Note_on_c, 0, 67, 0
2, 360, Note_on_c, 0, 67, 60
2, 360, Note_on_c, 0, 74, 60
2, 420, Note_on_c, 0, 74, 0
2, 420, Note_on_c, 0, 67, 0
2, 420, Note_on_c, 0, 67, 61
2, 420, Note_on_c, 0, 76, 61
2, 480, Note_on_c, 0, 76, 0
2, 480, Note_on_c, 0, 67, 0
2, 480, Note_on_c, 0, 74, 62
2, 480, Note_on_c, 0, 77, 62
2, 510, Note_on_c, 0, 77, 0
