0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 960, Tempo, 487804
1, 960, Marker_t, "Sonatine F dur "
1, 1800, Tempo, 500000
1, 1920, Tempo, 487804
1, 1920, Marker_t, "Bunji Hisamori"
1, 2760, Tempo, 495867
1, 2880, Tempo, 487804
1, 2880, Marker_t, "Nov.1998"
1, 3730, Tempo, 588235
1, 3840, Tempo, 535714
1, 3840, Marker_t, "June  1999,   Rev.1"
1, 4560, Tempo, 550458
1, 4800, Tempo, 487804
1, 5640, Tempo, 500000
1, 5760, Tempo, 487804
1, 6610, Tempo, 495867
1, 6720, Tempo, 487804
1, 7560, Tempo, 540540
1, 7680, Tempo, 540540
1, 8160, Tempo, 495867
1, 8580, Tempo, 508474
1, 8640, Tempo, 487804
1, 9080, Tempo, 495867
1, 9120, Tempo, 487804
1, 9560, Tempo, 495867
1, 9600, Tempo, 487804
1, 9960, Tempo, 508474
1, 10080, Tempo, 487804
1, 10500, Tempo, 495867
1, 10560, Tempo, 487804
1, 11000, Tempo, 495867
1, 11040, Tempo, 487804
1, 11480, Tempo, 495867
1, 11520, Tempo, 487804
1, 11880, Tempo, 508474
1, 12000, Tempo, 487804
1, 12420, Tempo, 495867
1, 12480, Tempo, 487804
1, 12920, Tempo, 495867
1, 12960, Tempo, 487804
1, 13380, Tempo, 495867
1, 13440, Tempo, 487804
1, 13880, Tempo, 495867
1, 13920, Tempo, 487804
1, 14280, Tempo, 500000
1, 14400, Tempo, 487804
1, 15300, Tempo, 495867
1, 15360, Tempo, 487804
1, 16200, Tempo, 500000
1, 16320, Tempo, 487804
1, 16740, Tempo, 495867
1, 16980, Tempo, 500000
1, 17160, Tempo, 517241
1, 17280, Tempo, 508474
1, 17400, Tempo, 500000
1, 18060, Tempo, 495867
1, 18120, Tempo, 500000
1, 18240, Tempo, 487804
1, 19080, Tempo, 500000
1, 19200, Tempo, 487804
1, 20040, Tempo, 495867
1, 20160, Tempo, 487804
1, 21010, Tempo, 588235
1, 21120, Tempo, 535714
1, 21840, Tempo, 550458
1, 22080, Tempo, 487804
1, 22920, Tempo, 500000
1, 23040, Tempo, 487804
1, 23890, Tempo, 495867
1, 24000, Tempo, 487804
1, 24840, Tempo, 540540
1, 24960, Tempo, 540540
1, 25440, Tempo, 495867
1, 25860, Tempo, 508474
1, 25920, Tempo, 487804
1, 26360, Tempo, 495867
1, 26400, Tempo, 487804
1, 26840, Tempo, 495867
1, 26880, Tempo, 487804
1, 27240, Tempo, 508474
1, 27360, Tempo, 487804
1, 27780, Tempo, 495867
1, 27840, Tempo, 487804
1, 28280, Tempo, 495867
1, 28320, Tempo, 487804
1, 28760, Tempo, 495867
1, 28800, Tempo, 487804
1, 29160, Tempo, 508474
1, 29280, Tempo, 487804
1, 29700, Tempo, 495867
1, 29760, Tempo, 487804
1, 30200, Tempo, 495867
1, 30240, Tempo, 487804
1, 30660, Tempo, 495867
1, 30720, Tempo, 487804
1, 31160, Tempo, 495867
1, 31200, Tempo, 487804
1, 31560, Tempo, 500000
1, 31680, Tempo, 487804
1, 32580, Tempo, 495867
1, 32640, Tempo, 487804
1, 33480, Tempo, 500000
1, 33600, Tempo, 487804
1, 34020, Tempo, 495867
1, 34260, Tempo, 500000
1, 34440, Tempo, 517241
1, 34560, Tempo, 508474
1, 34680, Tempo, 500000
1, 35340, Tempo, 495867
1, 35400, Tempo, 500000
1, 35520, Tempo, 487804
1, 36360, Tempo, 500000
1, 36480, Tempo, 487804
1, 37320, Tempo, 495867
1, 37440, Tempo, 487804
1, 38290, Tempo, 560747
1, 38400, Tempo, 535714
1, 39120, Tempo, 550458
1, 39360, Tempo, 487804
1, 40200, Tempo, 500000
1, 40320, Tempo, 487804
1, 41160, Tempo, 495867
1, 41280, Tempo, 487804
1, 42130, Tempo, 560747
1, 42240, Tempo, 535714
1, 42960, Tempo, 550458
1, 43200, Tempo, 500000
1, 44100, Tempo, 508474
1, 44280, Tempo, 500000
1, 45060, Tempo, 508474
1, 45120, Tempo, 500000
1, 46020, Tempo, 508474
1, 46200, Tempo, 508474
1, 46920, Tempo, 517241
1, 47040, Tempo, 500000
1, 47940, Tempo, 508474
1, 48120, Tempo, 500000
1, 48900, Tempo, 508474
1, 48960, Tempo, 500000
1, 49860, Tempo, 508474
1, 50020, Tempo, 508474
1, 50760, Tempo, 517241
1, 50990, Tempo, 500000
1, 51730, Tempo, 508474
1, 51960, Tempo, 500000
1, 52674, Tempo, 508474
1, 52910, Tempo, 500000
1, 53650, Tempo, 508474
1, 53870, Tempo, 500000
1, 54600, Tempo, 508474
1, 54720, Tempo, 526315
1, 54840, Tempo, 508474
1, 57000, Tempo, 517241
1, 57127, Tempo, 508474
1, 57435, Tempo, 517241
1, 58200, Tempo, 526315
1, 58320, Tempo, 550458
1, 58560, Tempo, 500000
1, 62100, Tempo, 508474
1, 62280, Tempo, 526315
1, 62880, Tempo, 508474
1, 63240, Tempo, 517241
1, 64200, Tempo, 526315
1, 64320, Tempo, 535714
1, 65030, Tempo, 540540
1, 65152, Tempo, 659340
1, 65280, Tempo, 1818181
1, 65640, Tempo, 2068965
1, 65760, Tempo, 495867
1, 66120, Tempo, 508474
1, 66240, Tempo, 487804
1, 66660, Tempo, 495867
1, 66714, Tempo, 487804
1, 67140, Tempo, 495867
1, 67200, Tempo, 487804
1, 67560, Tempo, 508474
1, 67680, Tempo, 487804
1, 68100, Tempo, 495867
1, 68160, Tempo, 487804
1, 68600, Tempo, 495867
1, 68640, Tempo, 487804
1, 69080, Tempo, 495867
1, 69120, Tempo, 487804
1, 69480, Tempo, 508474
1, 69600, Tempo, 487804
1, 70020, Tempo, 495867
1, 70080, Tempo, 487804
1, 70520, Tempo, 495867
1, 70560, Tempo, 487804
1, 70980, Tempo, 495867
