0, 0, Header, 1, 5, 192
1, 0, Start_track
1, 0, Title_t, "String Quartet No.16 - IV"
1, 0, Text_t, "By Ludwig van Beethoven"
1, 0, Copyright_t, "Copyright \251 2001 by S.E.Edwards"
1, 0, Copyright_t, "All Rights Reserved"
1, 0, Text_t, "Generated by NoteWorthy Composer"
1, 0, Tempo, 1200000
1, 0, Key_signature, -4, "major"
1, 0, Time_signature, 3, 1, 24, 8
1, 12672, Tempo, 2000000
1, 13824, Tempo, 206896
1, 13824, Key_signature, -1, "major"
1, 13824, Time_signature, 2, 1, 24, 8
1, 38592, Key_signature, 3, "major"
1, 68544, Key_signature, -1, "major"
1, 92352, Key_signature, 3, "major"
1, 120768, Key_signature, 0, "major"
1, 143040, Key_signature, 2, "major"
1, 159936, Key_signature, -1, "major"
1, 167616, Key_signature, -4, "major"
1, 175304, Tempo, 207612
1, 175312, Tempo, 208333
1, 175320, Tempo, 209059
1, 175328, Tempo, 209790
1, 175336, Tempo, 210526
1, 175344, Tempo, 211267
1, 175352, Tempo, 212014
1, 175360, Tempo, 212765
1, 175368, Tempo, 213523
1, 175376, Tempo, 214285
1, 175384, Tempo, 215053
1, 175393, Tempo, 215827
1, 175401, Tempo, 216606
1, 175409, Tempo, 217391
1, 175417, Tempo, 218181
1, 175425, Tempo, 218978
1, 175433, Tempo, 219780
1, 175441, Tempo, 220588
1, 175449, Tempo, 221402
1, 175457, Tempo, 222222
1, 175465, Tempo, 223048
1, 175473, Tempo, 223880
1, 175481, Tempo, 224719
1, 175490, Tempo, 225563
1, 175498, Tempo, 226415
1, 175506, Tempo, 227272
1, 175514, Tempo, 228136
1, 175522, Tempo, 229007
1, 175530, Tempo, 229885
1, 175538, Tempo, 230769
1, 175546, Tempo, 231660
1, 175554, Tempo, 232558
1, 175562, Tempo, 233463
1, 175570, Tempo, 234375
1, 175578, Tempo, 235294
1, 175587, Tempo, 236220
1, 175595, Tempo, 237154
1, 175603, Tempo, 238095
1, 175611, Tempo, 239043
1, 175619, Tempo, 240000
1, 175627, Tempo, 240963
1, 175635, Tempo, 241935
1, 175643, Tempo, 242914
1, 175651, Tempo, 243902
1, 175659, Tempo, 244897
1, 175667, Tempo, 245901
1, 175675, Tempo, 246913
1, 175684, Tempo, 247933
1, 175692, Tempo, 248962
1, 175700, Tempo, 250000
1, 175708, Tempo, 251046
1, 175716, Tempo, 252100
1, 175724, Tempo, 253164
1, 175732, Tempo, 254237
1, 175740, Tempo, 255319
1, 175748, Tempo, 256410
1, 175756, Tempo, 257510
1, 175764, Tempo, 258620
1, 175772, Tempo, 259740
1, 175781, Tempo, 260869
1, 175789, Tempo, 262008
1, 175797, Tempo, 263157
1, 175805, Tempo, 264317
1, 175813, Tempo, 265486
1, 175821, Tempo, 266666
1, 175829, Tempo, 267857
1, 175837, Tempo, 269058
1, 175845, Tempo, 270270
1, 175853, Tempo, 271493
1, 175861, Tempo, 272727
1, 175869, Tempo, 273972
1, 175878, Tempo, 275229
1, 175886, Tempo, 276497
1, 175894, Tempo, 277777
1, 175902, Tempo, 279069
1, 175910, Tempo, 280373
1, 175918, Tempo, 281690
1, 175926, Tempo, 283018
1, 175934, Tempo, 284360
1, 175942, Tempo, 285714
1, 175950, Tempo, 287081
1, 175958, Tempo, 288461
1, 175966, Tempo, 289855
1, 175975, Tempo, 291262
1, 175983, Tempo, 292682
1, 175991, Tempo, 294117
1, 175999, Tempo, 295566
1, 176007, Tempo, 297029
1, 176015, Tempo, 298507
1, 176023, Tempo, 300000
1, 176031, Tempo, 301507
1, 176039, Tempo, 303030
1, 176047, Tempo, 304568
1, 176055, Tempo, 306122
1, 176063, Tempo, 307692
1, 176072, Tempo, 309278
1, 176080, Tempo, 310880
1, 176088, Tempo, 312500
1, 176096, Tempo, 314136
1, 176104, Tempo, 315789
1, 176112, Tempo, 317460
1, 176120, Tempo, 319148
1, 176128, Tempo, 320855
1, 176136, Tempo, 322580
1, 176144, Tempo, 324324
1, 176152, Tempo, 326086
1, 176161, Tempo, 327868
1, 176169, Tempo, 329670
1, 176177, Tempo, 331491
1, 176185, Tempo, 333333
1, 176193, Tempo, 335195
1, 176201, Tempo, 337078
1, 176209, Tempo, 338983
1, 176217, Tempo, 340909
1, 176225, Tempo, 342857
1, 176233, Tempo, 344827
1, 176241, Tempo, 346820
1, 176249, Tempo, 348837
1, 176258, Tempo, 350877
1, 176266, Tempo, 352941
1, 176274, Tempo, 355029
1, 176282, Tempo, 357142
1, 176290, Tempo, 359281
1, 176298, Tempo, 361445
1, 176306, Tempo, 363636
1, 176314, Tempo, 365853
1, 176322, Tempo, 368098
1, 176330, Tempo, 370370
