0, 0, Header, 1, 19, 120
1, 0, Start_track
1, 0, Title_t, "Symphony n\260 1 in C major"
1, 0, Title_t, "I - Adagio molto - Allegro con brio"
1, 0, Copyright_t, "Copyright \251 2001 by J.F. Lucarelli - j-f.lucarelli@infonie.be  --  http://perso.infonie.fr/espace-midi"
1, 0, Text_t, "L. Van Beethoven (1770-1827)"
1, 0, Text_t, "Partition compl\350te - dur\351e : 00:08:51\012"
1, 0, Text_t, "D\351but du travail : 9 septembre 2000\012"
1, 0, Text_t, "Fin de la version 0 : 24 octobre 2000\012"
1, 0, Text_t, "Version 1.0 : 31 janvier 2001\012"
1, 0, Text_t, "Version 1.01 : 2 juin 2001 : r\351vision avant publication\012"
1, 0, Text_t, "Version 1.02 : 4 juin 2001 : balance des bois\012"
1, 0, Text_t, "Dur\351e d'\351dition et d'audition : 25 h\012"
1, 0, Text_t, "-----\012"
1, 0, Text_t, "Full score - length : 00:08:51\012"
1, 0, Text_t, "Beginning of writing : 9 september 2000\012"
1, 0, Text_t, "End of version 0 : 24 october 2000\012"
1, 0, Text_t, "Version 1.0 : 31 january 2001\012"
1, 0, Text_t, "Version 1.01 : 2 juni 2001 : revision before publication\012"
1, 0, Text_t, "Version 1.02 : 4 juni 2001 : balance of woodwinds\012"
1, 0, Text_t, "Editing and audition time : 25 h\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "L. Van Beethoven : Symphony n\260 1 in C"
1, 480, Tempo, 1500000
1, 480, Marker_t, "I : Adagio molto - Allegro con brio"
1, 2100, Tempo, 1714286
1, 2280, Tempo, 1600000
1, 2400, Tempo, 1481481
1, 2490, Tempo, 1666667
1, 2520, Tempo, 1481481
1, 2850, Tempo, 1739130
1, 2880, Tempo, 1463415
1, 3330, Tempo, 1714286
1, 3360, Tempo, 1411765
1, 3720, Tempo, 1445783
1, 3780, Tempo, 1518987
1, 3810, Tempo, 1690141
1, 3840, Tempo, 1739130
1, 3960, Tempo, 1578947
1, 4080, Tempo, 1739130
1, 4200, Tempo, 1578947
1, 4305, Tempo, 1904762
1, 4320, Tempo, 1481481
1, 4770, Tempo, 1739130
1, 4800, Tempo, 1846154
1, 4920, Tempo, 1643836
1, 5040, Tempo, 1818182
1, 5160, Tempo, 1621622
1, 5265, Tempo, 2033898
1, 5280, Tempo, 1518987
1, 5520, Tempo, 1538462
1, 5640, Tempo, 1643836
1, 5760, Tempo, 1411765
1, 5940, Tempo, 1600000
1, 5965, Tempo, 1875000
1, 6000, Tempo, 1318681
1, 6120, Tempo, 1643836
1, 6180, Tempo, 750000
1, 6225, Tempo, 1538462
1, 6240, Tempo, 402685
1, 6240, Marker_t, "Allegro con brio"
1, 6360, Tempo, 330579
1, 6480, Tempo, 291971
1, 6720, Tempo, 303030
1, 6960, Tempo, 281690
1, 7200, Tempo, 303030
1, 7440, Tempo, 281690
1, 7680, Tempo, 303030
1, 7920, Tempo, 281690
1, 8160, Tempo, 303030
1, 8400, Tempo, 281690
1, 8640, Tempo, 303030
1, 8880, Tempo, 281690
1, 9120, Tempo, 303030
1, 9360, Tempo, 281690
1, 9600, Tempo, 303030
1, 9840, Tempo, 281690
1, 10080, Tempo, 303030
1, 10320, Tempo, 281690
1, 10560, Tempo, 303030
1, 10800, Tempo, 281690
1, 11040, Tempo, 303030
1, 11280, Tempo, 281690
1, 11520, Tempo, 303030
1, 11760, Tempo, 281690
1, 12000, Tempo, 303030
1, 12240, Tempo, 281690
1, 12480, Tempo, 303030
1, 12720, Tempo, 281690
1, 12960, Tempo, 303030
1, 13200, Tempo, 281690
1, 13440, Tempo, 303030
1, 13680, Tempo, 281690
1, 13920, Tempo, 303030
1, 14160, Tempo, 281690
1, 14400, Tempo, 303030
1, 14640, Tempo, 281690
1, 14880, Tempo, 303030
1, 15120, Tempo, 281690
1, 15360, Tempo, 303030
1, 15600, Tempo, 281690
1, 15780, Tempo, 326975
1, 15840, Tempo, 303030
1, 16080, Tempo, 281690
1, 16320, Tempo, 303030
1, 16560, Tempo, 281690
1, 16800, Tempo, 303030
1, 17040, Tempo, 281690
1, 17280, Tempo, 303030
1, 17520, Tempo, 281690
1, 17760, Tempo, 303030
1, 18000, Tempo, 281690
1, 18240, Tempo, 303030
1, 18480, Tempo, 281690
1, 18720, Tempo, 303030
1, 18960, Tempo, 281690
1, 19200, Tempo, 303030
1, 19440, Tempo, 281690
1, 19680, Tempo, 303030
1, 19920, Tempo, 281690
1, 21600, Tempo, 303030
1, 21840, Tempo, 281690
1, 22080, Tempo, 303030
1, 22320, Tempo, 281690
1, 22560, Tempo, 303030
1, 22800, Tempo, 281690
1, 23040, Tempo, 303030
1, 23280, Tempo, 281690
1, 23520, Tempo, 303030
1, 23760, Tempo, 281690
1, 24000, Tempo, 303030
1, 24240, Tempo, 281690
1, 24480, Tempo, 303030
1, 24720, Tempo, 281690
1, 24960, Tempo, 303030
1, 25200, Tempo, 352941
1, 25440, Tempo, 319149
1, 25680, Tempo, 302267
1, 25920, Tempo, 310881
1, 26160, Tempo, 295567
1, 26400, Tempo, 310881
1, 26640, Tempo, 295567
1, 26880, Tempo, 310881
1, 27120, Tempo, 295567
1, 27360, Tempo, 310881
1, 27600, Tempo, 295567
1, 27840, Tempo, 310881
1, 28080, Tempo, 295567
1, 28320, Tempo, 310881
1, 28560, Tempo, 295567
1, 28800, Tempo, 310881
1, 28920, Tempo, 316623
1, 29040, Tempo, 303797
1, 29280, Tempo, 310881
1, 29520, Tempo, 295567
1, 29760, Tempo, 310881
1, 30000, Tempo, 295567
1, 30240, Tempo, 310881
1, 30480, Tempo, 295567
1, 30720, Tempo, 310881
1, 30960, Tempo, 295567
1, 31200, Tempo, 307692
1, 31440, Tempo, 292683
1, 31680, Tempo, 306122
1, 31920, Tempo, 291971
1, 32160, Tempo, 303030
1, 32400, Tempo, 289157
1, 32640, Tempo, 300000
1, 32880, Tempo, 285714
1, 33120, Tempo, 303030
1, 33360, Tempo, 281690
1, 33600, Tempo, 303030
1, 33840, Tempo, 281690
1, 34080, Tempo, 303030
1, 34320, Tempo, 281690
1, 34560, Tempo, 303030
1, 34800, Tempo, 281690
1, 35040, Tempo, 303030
1, 35280, Tempo, 281690
1, 35520, Tempo, 303030
1, 35760, Tempo, 281690
1, 36480, Tempo, 303030
1, 36720, Tempo, 291971
1, 36900, Tempo, 375000
1, 36960, Tempo, 321716
1, 37200, Tempo, 306122
1, 37440, Tempo, 310881
1, 37680, Tempo, 295567
1, 37920, Tempo, 310881
1, 38160, Tempo, 295567
1, 38400, Tempo, 310881
1, 38640, Tempo, 295567
1, 38880, Tempo, 310881
1, 39120, Tempo, 300752
1, 39300, Tempo, 352941
1, 39360, Tempo, 314961
1, 39600, Tempo, 301508
1, 39840, Tempo, 315789
1, 40080, Tempo, 301508
1, 40320, Tempo, 315789
1, 40560, Tempo, 300000
1, 40740, Tempo, 347826
1, 40800, Tempo, 310881
1, 41040, Tempo, 292683
1, 41280, Tempo, 305344
1, 41520, Tempo, 289855
1, 41760, Tempo, 302267
1, 42000, Tempo, 285714
1, 42180, Tempo, 338028
1, 42240, Tempo, 303030
1, 42480, Tempo, 281690
1, 42720, Tempo, 303030
1, 42960, Tempo, 281690
1, 43200, Tempo, 303030
1, 43440, Tempo, 281690
1, 43680, Tempo, 303030
1, 43920, Tempo, 281690
1, 44160, Tempo, 303030
1, 44400, Tempo, 281690
1, 44640, Tempo, 303030
1, 44880, Tempo, 281690
1, 45120, Tempo, 303030
1, 45360, Tempo, 281690
1, 45600, Tempo, 303030
1, 45840, Tempo, 281690
1, 46080, Tempo, 303030
1, 46320, Tempo, 281690
1, 46560, Tempo, 303030
1, 46800, Tempo, 281690
1, 47040, Tempo, 303030
1, 47280, Tempo, 281690
1, 47520, Tempo, 303030
1, 47760, Tempo, 281690
1, 48000, Tempo, 303030
1, 48240, Tempo, 291262
1, 48480, Tempo, 303030
1, 48720, Tempo, 292683
1, 48960, Tempo, 303030
1, 49200, Tempo, 292683
1, 49440, Tempo, 303030
1, 49680, Tempo, 292683
1, 49920, Tempo, 301508
1, 50160, Tempo, 291971
1, 50400, Tempo, 301508
1, 50640, Tempo, 291971
1, 50880, Tempo, 301508
1, 51120, Tempo, 316623
1, 51360, Tempo, 324324
1, 51840, Tempo, 331492
1, 52320, Tempo, 318302
1, 52680, Tempo, 355030
1, 52800, Tempo, 402685
1, 52920, Tempo, 330579
1, 53040, Tempo, 291971
1, 53280, Tempo, 303030
1, 53520, Tempo, 281690
1, 53760, Tempo, 303030
1, 54000, Tempo, 281690
1, 54240, Tempo, 303030
1, 54480, Tempo, 281690
1, 54720, Tempo, 303030
1, 54960, Tempo, 281690
1, 55200, Tempo, 303030
1, 55440, Tempo, 281690
1, 55680, Tempo, 303030
1, 55920, Tempo, 281690
1, 56160, Tempo, 303030
1, 56400, Tempo, 281690
1, 56640, Tempo, 303030
1, 56880, Tempo, 281690
1, 57120, Tempo, 303030
1, 57360, Tempo, 281690
1, 57600, Tempo, 303030
1, 57840, Tempo, 281690
1, 58080, Tempo, 303030
1, 58320, Tempo, 281690
1, 58560, Tempo, 303030
1, 58800, Tempo, 281690
1, 59040, Tempo, 303030
1, 59280, Tempo, 281690
1, 59520, Tempo, 303030
1, 59760, Tempo, 281690
1, 60000, Tempo, 303030
1, 60240, Tempo, 281690
1, 60480, Tempo, 303030
1, 60720, Tempo, 281690
1, 60960, Tempo, 303030
1, 61200, Tempo, 281690
1, 61440, Tempo, 303030
1, 61680, Tempo, 281690
1, 61920, Tempo, 303030
1, 62160, Tempo, 281690
1, 62340, Tempo, 326975
1, 62400, Tempo, 303030
1, 62640, Tempo, 281690
1, 62880, Tempo, 303030
1, 63120, Tempo, 281690
1, 63360, Tempo, 303030
1, 63600, Tempo, 281690
1, 63840, Tempo, 303030
1, 64080, Tempo, 281690
1, 64320, Tempo, 303030
1, 64560, Tempo, 281690
1, 64800, Tempo, 303030
1, 65040, Tempo, 281690
1, 65280, Tempo, 303030
1, 65520, Tempo, 281690
1, 65760, Tempo, 303030
1, 66000, Tempo, 281690
1, 66240, Tempo, 303030
1, 66480, Tempo, 281690
1, 68160, Tempo, 303030
1, 68400, Tempo, 281690
1, 68640, Tempo, 303030
1, 68880, Tempo, 281690
1, 69120, Tempo, 303030
1, 69360, Tempo, 281690
1, 69600, Tempo, 303030
1, 69840, Tempo, 281690
1, 70080, Tempo, 303030
1, 70320, Tempo, 281690
1, 70560, Tempo, 303030
1, 70800, Tempo, 281690
1, 71040, Tempo, 303030
1, 71280, Tempo, 281690
1, 71520, Tempo, 303030
1, 71760, Tempo, 352941
1, 72000, Tempo, 319149
1, 72240, Tempo, 302267
1, 72480, Tempo, 310881
1, 72720, Tempo, 295567
1, 72960, Tempo, 310881
1, 73200, Tempo, 295567
1, 73440, Tempo, 310881
1, 73680, Tempo, 295567
1, 73920, Tempo, 310881
1, 74160, Tempo, 295567
1, 74400, Tempo, 310881
1, 74640, Tempo, 295567
1, 74880, Tempo, 310881
1, 75120, Tempo, 295567
1, 75360, Tempo, 310881
1, 75480, Tempo, 316623
1, 75600, Tempo, 303797
1, 75840, Tempo, 310881
1, 76080, Tempo, 295567
1, 76320, Tempo, 310881
1, 76560, Tempo, 295567
1, 76800, Tempo, 310881
1, 77040, Tempo, 295567
1, 77280, Tempo, 310881
1, 77520, Tempo, 295567
1, 77760, Tempo, 307692
1, 78000, Tempo, 292683
1, 78240, Tempo, 306122
1, 78480, Tempo, 291971
1, 78720, Tempo, 303030
1, 78960, Tempo, 289157
1, 79200, Tempo, 300000
1, 79440, Tempo, 285714
1, 79680, Tempo, 303030
1, 79920, Tempo, 281690
1, 80160, Tempo, 303030
1, 80400, Tempo, 281690
1, 80640, Tempo, 303030
1, 80880, Tempo, 281690
1, 81120, Tempo, 303030
1, 81360, Tempo, 281690
1, 81600, Tempo, 303030
1, 81840, Tempo, 281690
1, 82080, Tempo, 303030
1, 82320, Tempo, 281690
1, 83040, Tempo, 303030
1, 83280, Tempo, 291971
1, 83460, Tempo, 375000
1, 83520, Tempo, 321716
1, 83760, Tempo, 306122
1, 84240, Tempo, 295567
1, 84480, Tempo, 310881
1, 84720, Tempo, 295567
1, 84960, Tempo, 310881
1, 85200, Tempo, 295567
1, 85440, Tempo, 310881
1, 85680, Tempo, 300752
1, 85860, Tempo, 352941
1, 85920, Tempo, 314961
1, 86160, Tempo, 301508
1, 86400, Tempo, 315789
1, 86640, Tempo, 301508
1, 86880, Tempo, 315789
1, 87120, Tempo, 300000
1, 87300, Tempo, 347826
1, 87360, Tempo, 310881
1, 87600, Tempo, 292683
1, 87840, Tempo, 305344
1, 88080, Tempo, 289855
1, 88320, Tempo, 302267
1, 88560, Tempo, 285714
1, 88740, Tempo, 338028
1, 88800, Tempo, 303030
1, 89040, Tempo, 281690
1, 89280, Tempo, 303030
1, 89520, Tempo, 281690
1, 89760, Tempo, 303030
1, 90000, Tempo, 281690
1, 90240, Tempo, 303030
1, 90480, Tempo, 281690
1, 90720, Tempo, 303030
1, 90960, Tempo, 281690
1, 91200, Tempo, 303030
1, 91440, Tempo, 281690
1, 91680, Tempo, 303030
1, 91920, Tempo, 281690
1, 92160, Tempo, 303030
1, 92400, Tempo, 281690
1, 92640, Tempo, 303030
1, 92880, Tempo, 281690
1, 93120, Tempo, 303030
1, 93360, Tempo, 281690
1, 93600, Tempo, 303030
1, 93840, Tempo, 281690
1, 94080, Tempo, 303030
1, 94320, Tempo, 281690
1, 94560, Tempo, 303030
1, 94800, Tempo, 291262
1, 95040, Tempo, 303030
1, 95280, Tempo, 292683
1, 95520, Tempo, 303030
1, 95760, Tempo, 292683
1, 96000, Tempo, 303030
1, 96240, Tempo, 292683
1, 96480, Tempo, 301508
1, 96720, Tempo, 291971
1, 96960, Tempo, 301508
1, 97200, Tempo, 291971
1, 97440, Tempo, 301508
1, 97680, Tempo, 309278
1, 97920, Tempo, 314136
1, 98160, Tempo, 316623
1, 98400, Tempo, 319149
1, 98640, Tempo, 321716
1, 98880, Tempo, 318302
1, 99240, Tempo, 355030
1, 99345, Tempo, 400000
1, 99360, Tempo, 303030
1, 99600, Tempo, 281690
1, 99720, Tempo, 333333
1, 99840, Tempo, 303030
1, 100080, Tempo, 281690
1, 100320, Tempo, 306122
1, 100560, Tempo, 292683
1, 100800, Tempo, 306122
1, 101040, Tempo, 292683
1, 101250, Tempo, 352941
1, 101280, Tempo, 303030
1, 101520, Tempo, 281690
1, 101640, Tempo, 315789
1, 101760, Tempo, 303030
1, 102000, Tempo, 281690
1, 102240, Tempo, 306122
1, 102480, Tempo, 292683
1, 102720, Tempo, 306122
1, 102960, Tempo, 292683
1, 103170, Tempo, 352941
1, 103200, Tempo, 303030
1, 103440, Tempo, 281690
1, 103560, Tempo, 314961
1, 103680, Tempo, 303030
1, 103920, Tempo, 281690
1, 104160, Tempo, 306122
1, 104400, Tempo, 292683
1, 104640, Tempo, 306122
1, 104880, Tempo, 292683
1, 105120, Tempo, 303030
1, 105360, Tempo, 281690
1, 105600, Tempo, 303030
1, 105840, Tempo, 281690
1, 106080, Tempo, 303030
1, 106320, Tempo, 281690
1, 106560, Tempo, 303030
1, 106800, Tempo, 281690
1, 107040, Tempo, 303030
1, 107280, Tempo, 281690
1, 107520, Tempo, 303030
1, 107760, Tempo, 281690
1, 108000, Tempo, 303030
1, 108240, Tempo, 281690
1, 108480, Tempo, 303030
1, 108720, Tempo, 281690
1, 108960, Tempo, 303030
1, 109200, Tempo, 281690
1, 109440, Tempo, 303030
1, 109680, Tempo, 281690
1, 109920, Tempo, 303030
1, 110160, Tempo, 281690
1, 110400, Tempo, 303030
1, 110640, Tempo, 281690
1, 110880, Tempo, 303030
1, 111120, Tempo, 281690
1, 111360, Tempo, 303030
1, 111600, Tempo, 281690
1, 111840, Tempo, 303030
1, 112080, Tempo, 285714
1, 112320, Tempo, 303030
1, 112560, Tempo, 285714
1, 112800, Tempo, 303030
1, 113040, Tempo, 285714
1, 113280, Tempo, 303030
1, 113520, Tempo, 285714
1, 113760, Tempo, 303030
1, 114000, Tempo, 285714
1, 114240, Tempo, 303030
1, 114480, Tempo, 285714
1, 114720, Tempo, 320000
1, 114840, Tempo, 305344
1, 114960, Tempo, 289855
1, 115200, Tempo, 306905
1, 115440, Tempo, 289855
1, 115680, Tempo, 306905
