0, 0, Header, 1, 13, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 277778
1, 315, Tempo, 1030220
1, 322, Tempo, 1082642
1, 328, Tempo, 1120657
1, 334, Tempo, 1161440
1, 341, Tempo, 1205303
1, 347, Tempo, 1252610
1, 353, Tempo, 1303781
1, 360, Tempo, 1359311
1, 366, Tempo, 1419782
1, 372, Tempo, 1521298
1, 378, Tempo, 1597444
1, 385, Tempo, 1681614
1, 391, Tempo, 1775148
1, 397, Tempo, 1879699
1, 404, Tempo, 1997337
1, 410, Tempo, 2130682
1, 416, Tempo, 2283105
1, 423, Tempo, 2557545
1, 429, Tempo, 1681614
1, 435, Tempo, 1252610
1, 442, Tempo, 998004
1, 448, Tempo, 829417
1, 454, Tempo, 709555
1, 461, Tempo, 626043
1, 467, Tempo, 555247
1, 473, Tempo, 498836
1, 480, Tempo, 452830
1, 486, Tempo, 414594
1, 492, Tempo, 384615
1, 498, Tempo, 356676
1, 505, Tempo, 332521
1, 511, Tempo, 311429
1, 517, Tempo, 292854
1, 524, Tempo, 277572
1, 1080, Tempo, 899550
1, 1086, Tempo, 829417
1, 1092, Tempo, 769428
1, 1098, Tempo, 717532
1, 1105, Tempo, 672194
1, 1111, Tempo, 632244
1, 1117, Tempo, 602410
1, 1124, Tempo, 570125
1, 1130, Tempo, 541126
1, 1136, Tempo, 514933
1, 1143, Tempo, 491159
1, 1149, Tempo, 472962
1, 1155, Tempo, 452830
1, 1162, Tempo, 434342
1, 1168, Tempo, 417304
1, 1174, Tempo, 401553
1, 1181, Tempo, 389307
1, 1187, Tempo, 375563
1, 1193, Tempo, 352734
1, 1200, Tempo, 414594
1, 1206, Tempo, 506757
1, 1212, Tempo, 645023
1, 1218, Tempo, 899550
1, 1225, Tempo, 1485884
1, 1263, Tempo, 300000
1, 4320, Tempo, 377786
1, 4893, Tempo, 446495
1, 4900, Tempo, 560119
1, 4906, Tempo, 760264
1, 4912, Tempo, 1161440
1, 4919, Tempo, 2557545
1, 4982, Tempo, 1082642
1, 4988, Tempo, 1252610
1, 4994, Tempo, 1485884
1, 5001, Tempo, 409277
1, 5007, Tempo, 396563
1, 5013, Tempo, 386947
1, 5020, Tempo, 377786
1, 5026, Tempo, 366928
1, 5032, Tempo, 358680
1, 5039, Tempo, 350795
1, 5045, Tempo, 341413
1, 5051, Tempo, 334262
1, 5058, Tempo, 324079
1, 5064, Tempo, 325733
1, 5070, Tempo, 329092
1, 5076, Tempo, 332521
1, 5083, Tempo, 334262
1, 5089, Tempo, 337800
1, 5095, Tempo, 341413
1, 5102, Tempo, 343249
1, 5108, Tempo, 346981
1, 5114, Tempo, 350795
1, 5121, Tempo, 352734
1, 5127, Tempo, 356676
1, 5133, Tempo, 360707
1, 5140, Tempo, 362757
1, 5146, Tempo, 366928
1, 5152, Tempo, 371195
1, 5760, Tempo, 300000
1, 30456, Tempo, 502765
1, 30462, Tempo, 494968
1, 30468, Tempo, 487409
1, 30475, Tempo, 480077
1, 30481, Tempo, 472962
1, 30487, Tempo, 466056
1, 30494, Tempo, 459348
1, 30500, Tempo, 449640
1, 30506, Tempo, 443393
1, 30513, Tempo, 437318
1, 30519, Tempo, 431406
1, 30525, Tempo, 425653
1, 30531, Tempo, 420050
1, 30538, Tempo, 414594
1, 30544, Tempo, 406669
1, 30550, Tempo, 401553
1, 30557, Tempo, 396563
1, 30563, Tempo, 391696
1, 30569, Tempo, 386947
1, 30576, Tempo, 382312
1, 30582, Tempo, 375563
1, 30588, Tempo, 371195
1, 30595, Tempo, 366928
1, 30601, Tempo, 362757
1, 30607, Tempo, 358680
1, 30614, Tempo, 354694
1, 30620, Tempo, 350795
1, 30626, Tempo, 345105
1, 30633, Tempo, 341413
1, 30639, Tempo, 337800
1, 30645, Tempo, 334262
1, 30651, Tempo, 330797
1, 30658, Tempo, 327404
1, 30664, Tempo, 324079
1, 30670, Tempo, 319217
1, 30677, Tempo, 316056
1, 30683, Tempo, 312956
1, 30689, Tempo, 309917
1, 30696, Tempo, 306937
1, 30702, Tempo, 304013
1, 30708, Tempo, 299730
1, 59336, Tempo, 302572
1, 59343, Tempo, 304013
1, 59349, Tempo, 305468
1, 59355, Tempo, 306937
1, 59362, Tempo, 309917
1, 59368, Tempo, 311429
1, 59374, Tempo, 312956
1, 59381, Tempo, 314498
1, 59387, Tempo, 317628
1, 59393, Tempo, 319217
1, 59400, Tempo, 320821
1, 59406, Tempo, 322442
1, 59412, Tempo, 325733
1, 59418, Tempo, 327404
1, 59425, Tempo, 329092
1, 59431, Tempo, 330797
1, 59437, Tempo, 334262
1, 59444, Tempo, 336022
1, 59450, Tempo, 337800
1, 59456, Tempo, 339597
1, 59463, Tempo, 343249
1, 61041, Tempo, 298329
1, 61047, Tempo, 302572
1, 61053, Tempo, 306937
1, 61060, Tempo, 311429
1, 61066, Tempo, 316056
1, 61072, Tempo, 319217
1, 61079, Tempo, 324079
1, 61085, Tempo, 329092
1, 61091, Tempo, 334262
1, 61098, Tempo, 337800
1, 61104, Tempo, 343249
1, 61110, Tempo, 348878
1, 61116, Tempo, 354694
1, 61123, Tempo, 358680
1, 61129, Tempo, 364830
1, 61135, Tempo, 371195
1, 61142, Tempo, 377786
1, 61148, Tempo, 382312
1, 61154, Tempo, 389307
1, 61161, Tempo, 396563
1, 61167, Tempo, 404095
1, 61173, Tempo, 409277
1, 61180, Tempo, 417304
1, 61186, Tempo, 425653
1, 61192, Tempo, 434342
1, 61199, Tempo, 443393
1, 61205, Tempo, 449640
1, 61211, Tempo, 459348
1, 61218, Tempo, 469484
1, 61224, Tempo, 480077
1, 61230, Tempo, 487409
1, 61236, Tempo, 498836
1, 61243, Tempo, 510812
1, 61249, Tempo, 523378
1, 61255, Tempo, 532104
1, 61262, Tempo, 545752
1, 61268, Tempo, 560119
1, 61274, Tempo, 575264
