0, 0, Header, 1, 15, 480
1, 0, Start_track
1, 0, Title_t, "PASTORALE SYMPHONY No. 6 in F major"
1, 0, Copyright_t, "All Rights Reserved "
1, 0, Tempo, 545454
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 2160, Tempo, 631578
1, 2640, Tempo, 666666
1, 3120, Tempo, 1200000
1, 4200, Tempo, 545454
1, 14760, Tempo, 545454
1, 16680, Tempo, 521739
1, 18600, Tempo, 545454
1, 34920, Tempo, 521739
1, 38280, Tempo, 535714
1, 42600, Tempo, 535714
1, 43080, Tempo, 545454
1, 50280, Tempo, 545454
1, 62280, Tempo, 600000
1, 62760, Tempo, 666666
1, 63960, Tempo, 545454
1, 79080, Tempo, 566037
1, 81000, Tempo, 560747
1, 83880, Tempo, 555555
1, 85800, Tempo, 550458
1, 88680, Tempo, 500000
1, 91080, Tempo, 521739
1, 91560, Tempo, 545454
1, 95400, Tempo, 500000
1, 97800, Tempo, 521739
1, 98280, Tempo, 545454
1, 103080, Tempo, 521739
1, 105960, Tempo, 500000
1, 117480, Tempo, 500000
1, 118440, Tempo, 521739
1, 121320, Tempo, 545454
1, 132120, Tempo, 600000
1, 133440, Tempo, 545454
1, 139920, Tempo, 600000
1, 141240, Tempo, 545454
1, 159960, Tempo, 521739
1, 167640, Tempo, 500000
1, 176280, Tempo, 508474
1, 177240, Tempo, 517241
1, 178200, Tempo, 535714
1, 179160, Tempo, 545454
1, 183000, Tempo, 571428
1, 188760, Tempo, 545454
1, 207960, Tempo, 521739
1, 211800, Tempo, 500000
1, 220440, Tempo, 517241
1, 221400, Tempo, 526315
1, 222360, Tempo, 535714
1, 223320, Tempo, 545454
1, 227160, Tempo, 571428
1, 232920, Tempo, 600000
1, 236760, Tempo, 571428
1, 252120, Tempo, 545454
1, 270360, Tempo, 600000
1, 273240, Tempo, 576923
1, 274200, Tempo, 571428
1, 275160, Tempo, 560747
1, 276120, Tempo, 550458
1, 277080, Tempo, 545454
1, 291480, Tempo, 521739
1, 299160, Tempo, 521739
1, 314520, Tempo, 571428
1, 330120, Tempo, 571428
1, 330840, Tempo, 645161
1, 332040, Tempo, 571428
1, 343320, Tempo, 545454
1, 351000, Tempo, 521739
1, 356760, Tempo, 500000
1, 359640, Tempo, 545454
1, 363600, Tempo, 500000
1, 366480, Tempo, 545454
1, 374280, Tempo, 521739
1, 383880, Tempo, 545454
1, 400440, Tempo, 600000
1, 401760, Tempo, 571428
1, 405120, Tempo, 600000
1, 408960, Tempo, 571428
1, 420000, Tempo, 576923
1, 420960, Tempo, 560747
1, 421920, Tempo, 555555
1, 422400, Tempo, 545454
1, 447360, Tempo, 555555
1, 448320, Tempo, 576923
1, 456960, Tempo, 545454
1, 486000, Tempo, 600000
1, 486960, Tempo, 638297
1, 487920, Tempo, 625000
1, 489840, Tempo, 666666
1, 491760, Tempo, 2000000
1, 492720, Tempo, 1500000
1, 494400, Time_signature, 3, 2, 24, 8
1, 494640, Tempo, 200000
1, 571440, Tempo, 200000
1, 575760, Tempo, 202702
1, 578640, Tempo, 208333
1, 585360, Tempo, 214285
1, 603120, Tempo, 200000
1, 726960, Tempo, 187500
1, 729840, Tempo, 176470
1, 731280, Tempo, 166666
1, 732000, Time_signature, 2, 2, 24, 8
1, 732720, Tempo, 487804
1, 769200, Tempo, 2000000
1, 770400, Time_signature, 3, 2, 24, 8
1, 771120, Tempo, 200000
1, 847920, Tempo, 200000
1, 852240, Tempo, 202702
1, 855120, Tempo, 208333
1, 861840, Tempo, 214285
1, 879600, Tempo, 200000
1, 1003440, Tempo, 187500
1, 1006320, Tempo, 176470
1, 1007760, Tempo, 166666
1, 1008000, Time_signature, 2, 2, 24, 8
1, 1009200, Tempo, 487804
1, 1045680, Tempo, 2000000
1, 1047360, Time_signature, 3, 2, 24, 8
1, 1047600, Tempo, 200000
1, 1066800, Tempo, 230769
1, 1076400, Tempo, 200000
1, 1094160, Tempo, 171428
1, 1102800, Tempo, 176470
1, 1107120, Tempo, 187500
1, 1108560, Tempo, 176470
1, 1118640, Tempo, 189873
1, 1120080, Tempo, 176470
1, 1136640, Time_signature, 4, 2, 24, 8
1, 1136640, Key_signature, -4, "major"
1, 1137360, Tempo, 375000
1, 1204560, Tempo, 352941
1, 1216080, Tempo, 375000
1, 1242960, Tempo, 333333
1, 1244880, Tempo, 352941
1, 1264080, Tempo, 375000
1, 1283280, Tempo, 365853
1, 1285200, Tempo, 357142
1, 1287120, Tempo, 348837
1, 1308240, Tempo, 340909
1, 1358160, Tempo, 348837
1, 1362000, Tempo, 357142
1, 1365840, Tempo, 375000
1, 1433040, Tempo, 400000
1, 1434000, Tempo, 428571
1, 1434960, Tempo, 461538
1, 1435920, Tempo, 500000
1, 1436160, Time_signature, 6, 3, 24, 8
1, 1436160, Key_signature, -1, "major"
1, 1436880, Tempo, 750000
1, 1447680, Tempo, 857142
1, 1449180, Tempo, 697674
1, 1457100, Tempo, 731707
1, 1458300, Tempo, 750000
1, 1458540, Tempo, 769230
1, 1459740, Tempo, 810810
1, 1459980, Tempo, 697674
1, 1478700, Tempo, 697674
1, 1480140, Tempo, 750000
1, 1480620, Tempo, 789473
1, 1481100, Tempo, 833333
1, 1481820, Tempo, 750000
1, 1495740, Tempo, 857142
1, 1495980, Tempo, 714285
1, 1507500, Tempo, 750000
1, 1513260, Tempo, 810810
1, 1516140, Tempo, 750000
1, 1526220, Tempo, 821917
1, 1526940, Tempo, 857142
1, 1527180, Tempo, 909090
1, 1528380, Tempo, 750000
1, 1539180, Tempo, 731707
1, 1547820, Tempo, 697674
1, 1549260, Tempo, 810810
1, 1549980, Tempo, 857142
1, 1550700, Tempo, 750000
1, 1566540, Tempo, 731707
1, 1570140, Tempo, 750000
1, 1577820, Tempo, 714285
1, 1578060, Tempo, 750000
1, 1586700, Tempo, 714285
1, 1589580, Tempo, 697674
1, 1593900, Tempo, 681818
1, 1598220, Tempo, 666666
1, 1599660, Tempo, 681818
1, 1601100, Tempo, 697674
1, 1602540, Tempo, 714285
1, 1603260, Tempo, 750000
1, 1603500, Tempo, 882352
1, 1603980, Tempo, 714285
1, 1615260, Tempo, 697674
1, 1627020, Tempo, 681818
1, 1635660, Tempo, 750000
1, 1636380, Tempo, 857142
1, 1637100, Tempo, 750000
1, 1650060, Tempo, 810810
1, 1650780, Tempo, 895522
1, 1651260, Tempo, 1000000
1, 1651500, Tempo, 750000
1, 1661580, Tempo, 857142
1, 1662300, Tempo, 1000000
1, 1663140, Tempo, 750000
1, 1668780, Tempo, 833333
1, 1672140, Tempo, 750000
1, 1677420, Tempo, 731707
1, 1678860, Tempo, 714285
1, 1680300, Tempo, 697674
1, 1681740, Tempo, 681818
1, 1683180, Tempo, 666666
1, 1684620, Tempo, 652173
1, 1686060, Tempo, 638297
1, 1687500, Tempo, 625000
1, 1690380, Tempo, 689655
1, 1697820, Tempo, 697674
1, 1703580, Tempo, 697674
1, 1709340, Tempo, 681818
1, 1717980, Tempo, 681818
1, 1726620, Tempo, 697674
1, 1729260, Tempo, 681818
1, 1732380, Tempo, 638297
1, 1735260, Tempo, 652173
1, 1736700, Tempo, 666666
1, 1738140, Tempo, 697674
1, 1739580, Tempo, 731707
1, 1746420, Tempo, 714285
1, 1748220, Tempo, 697674
1, 1751100, Tempo, 681818
1, 1753980, Tempo, 652173
1, 1756860, Tempo, 638297
1, 1759740, Tempo, 625000
1, 1761180, Tempo, 666666
1, 1762620, Tempo, 697674
1, 1765500, Tempo, 714285
1, 1766940, Tempo, 731707
1, 1768380, Tempo, 750000
1, 1774140, Tempo, 789473
1, 1775580, Tempo, 810810
1, 1776300, Tempo, 857142
1, 1776780, Tempo, 869565
1, 1777020, Tempo, 882352
1, 1780980, Tempo, 909090
1, 1784220, Tempo, 1000000
1, 1787400, Tempo, 1071428
1, 1789320, Tempo, 750000
1, 1790760, Tempo, 833333
1, 1802760, Tempo, 714285
1, 1805640, Tempo, 750000
1, 1807080, Tempo, 857142
1, 1807560, Tempo, 967741
1, 1807800, Tempo, 1000000
1, 1808520, Tempo, 882352
1, 1811520, Tempo, 789473
1, 1815840, Tempo, 857142
1, 1816560, Tempo, 909090
1, 1816800, Tempo, 1000000
1, 1817040, Tempo, 1153846
1, 1817280, Tempo, 2000000
1, 1817280, End_track
2, 0, Start_track
2, 0, Title_t, "Symphony No. 6"
2, 0, MIDI_port, 0
2, 0, Channel_prefix, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 50
2, 0, Control_c, 0, 91, 95
2, 0, Program_c, 0, 73
2, 34920, Note_on_c, 0, 77, 75
2, 34920, Note_on_c, 0, 81, 75
2, 35000, Note_off_c, 0, 81, 64
2, 35000, Note_off_c, 0, 77, 64
2, 35160, Note_on_c, 0, 77, 75
2, 35160, Note_on_c, 0, 81, 75
2, 35240, Note_off_c, 0, 81, 64
2, 35240, Note_off_c, 0, 77, 64
2, 35400, Note_on_c, 0, 79, 75
2, 35400, Note_on_c, 0, 82, 75
2, 35480, Note_off_c, 0, 82, 64
2, 35480, Note_off_c, 0, 79, 64
2, 35640, Note_on_c, 0, 82, 75
2, 35640, Note_on_c, 0, 86, 75
2, 35720, Note_off_c, 0, 86, 64
2, 35720, Note_off_c, 0, 82, 64
2, 35880, Note_on_c, 0, 81, 75
2, 35880, Note_on_c, 0, 84, 75
2, 36120, Note_off_c, 0, 84, 64
2, 36120, Note_off_c, 0, 81, 64
2, 36120, Note_on_c, 0, 79, 75
2, 36120, Note_on_c, 0, 82, 75
2, 36240, Note_off_c, 0, 82, 64
2, 36240, Note_off_c, 0, 79, 64
2, 36240, Note_on_c, 0, 77, 75
2, 36240, Note_on_c, 0, 81, 75
