0, 0, Header, 1, 17, 120
1, 0, Start_track
1, 0, Title_t, "Concerto pour violon et orchestre en R\351 majeur"
1, 0, Title_t, "Premier mouvement : Allegro ma non troppo"
1, 0, Text_t, "L. Van Beethoven (1770 - 1827)"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 517241
1, 0, Marker_t, "L. Van Beethoven : violin concert in D - 1st mvt"
1, 480, Marker_t, "Allegro ma non troppo"
1, 42240, Tempo, 659341
1, 42480, Tempo, 659341
1, 42505, Tempo, 655738
1, 42530, Tempo, 652174
1, 42555, Tempo, 648649
1, 42580, Tempo, 645161
1, 42600, Tempo, 641711
1, 42625, Tempo, 638298
1, 42650, Tempo, 634921
1, 42675, Tempo, 631579
1, 42700, Tempo, 628272
1, 42720, Tempo, 625000
1, 42745, Tempo, 621762
1, 42770, Tempo, 618557
1, 42795, Tempo, 615385
1, 42820, Tempo, 612245
1, 42840, Tempo, 609137
1, 42865, Tempo, 606061
1, 42890, Tempo, 603015
1, 42915, Tempo, 600000
1, 42940, Tempo, 597015
1, 42960, Tempo, 594059
1, 42985, Tempo, 591133
1, 43010, Tempo, 588235
1, 43035, Tempo, 585366
1, 43060, Tempo, 582524
1, 43080, Tempo, 579710
1, 43105, Tempo, 576923
1, 43130, Tempo, 574163
1, 43155, Tempo, 571429
1, 43180, Tempo, 568720
1, 43200, Tempo, 600000
1, 43440, Tempo, 560748
1, 43680, Tempo, 600000
1, 43915, Tempo, 566038
1, 43970, Tempo, 563380
1, 44025, Tempo, 560748
1, 44080, Tempo, 558140
1, 44135, Tempo, 555556
1, 44190, Tempo, 552995
1, 44245, Tempo, 550459
1, 44300, Tempo, 547945
1, 44355, Tempo, 545455
1, 44410, Tempo, 542986
1, 44465, Tempo, 540541
1, 44520, Tempo, 538117
1, 44575, Tempo, 535714
1, 44630, Tempo, 533333
1, 44685, Tempo, 530973
1, 44740, Tempo, 528634
1, 44795, Tempo, 526316
1, 44850, Tempo, 524017
1, 44905, Tempo, 521739
1, 44960, Tempo, 519481
1, 45015, Tempo, 517241
1, 45070, Tempo, 515021
1, 45120, Tempo, 512821
1, 47520, Tempo, 510638
1, 47540, Tempo, 512821
1, 47560, Tempo, 515021
1, 47580, Tempo, 517241
1, 47600, Tempo, 519481
1, 47620, Tempo, 521739
1, 47640, Tempo, 524017
1, 47660, Tempo, 526316
1, 47680, Tempo, 528634
1, 47700, Tempo, 530973
1, 47720, Tempo, 533333
1, 47740, Tempo, 535714
1, 47760, Tempo, 538117
1, 47780, Tempo, 540541
1, 47800, Tempo, 542986
1, 47820, Tempo, 545455
1, 47840, Tempo, 547945
1, 47860, Tempo, 550459
1, 47880, Tempo, 552995
1, 47900, Tempo, 555556
1, 47920, Tempo, 558140
1, 47940, Tempo, 560748
1, 47960, Tempo, 563380
1, 47980, Tempo, 566038
1, 48000, Tempo, 568720
1, 49440, Tempo, 515021
1, 50400, Tempo, 547945
1, 51360, Tempo, 510638
1, 52320, Tempo, 510638
1, 52800, Tempo, 540541
1, 52840, Tempo, 538117
1, 52875, Tempo, 535714
1, 52915, Tempo, 533333
