0, 0, Header, 1, 19, 120
1, 0, Start_track
1, 0, Title_t, "Concerto pour violon et orchestre en R\351 majeur"
1, 0, Title_t, "Second mouvement : Larghetto - troisi\350me mouvement : Rondo - Allegro"
1, 0, Text_t, "L. Van Beethoven (1770 - 1827)"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 1250000
1, 0, Marker_t, "L. Van Beethoven : violin concert in D - 2nd mvt"
1, 480, Marker_t, "Larghetto"
1, 3360, Tempo, 1363636
1, 4800, Tempo, 1578947
1, 5100, Tempo, 2000000
1, 5160, Tempo, 1250000
1, 6960, Tempo, 3000000
1, 7032, Tempo, 6000000
1, 7037, Tempo, 6000000
1, 7080, Tempo, 1250000
1, 7440, Tempo, 1500000
1, 7560, Tempo, 1250000
1, 8160, Tempo, 1428571
1, 8640, Tempo, 1247401
1, 9600, Tempo, 1363636
1, 9840, Tempo, 1538462
1, 9960, Tempo, 1250000
1, 11747, Tempo, 1250000
1, 11818, Tempo, 4800000
1, 11842, Tempo, 4615385
1, 11865, Tempo, 4444444
1, 11867, Tempo, 6000000
1, 11868, Tempo, 6000000
1, 11880, Tempo, 1250000
1, 12960, Tempo, 1363636
1, 13440, Tempo, 1250000
1, 17760, Tempo, 1363636
1, 19560, Tempo, 1463415
1, 19680, Tempo, 1247401
1, 20040, Tempo, 1463415
1, 20160, Tempo, 1250000
1, 20280, Tempo, 1456311
1, 20400, Tempo, 1250000
1, 20520, Tempo, 1449275
1, 20640, Tempo, 1250000
1, 20760, Tempo, 1304348
1, 21120, Tempo, 1395349
1, 21455, Tempo, 1250000
1, 21460, Tempo, 1263158
1, 21465, Tempo, 1290323
1, 21470, Tempo, 1304348
1, 21475, Tempo, 1333333
1, 21480, Tempo, 1363636
1, 21485, Tempo, 1379310
1, 21490, Tempo, 1411765
1, 21495, Tempo, 1428571
1, 21500, Tempo, 1463415
1, 21505, Tempo, 1500000
1, 21510, Tempo, 1518987
1, 21515, Tempo, 1558442
1, 21520, Tempo, 1600000
1, 21525, Tempo, 1621622
1, 21530, Tempo, 1666667
1, 21535, Tempo, 1690141
1, 21540, Tempo, 1739130
1, 21545, Tempo, 1791045
1, 21550, Tempo, 1818182
1, 21555, Tempo, 1875000
1, 21560, Tempo, 1935484
1, 21565, Tempo, 1967213
1, 21570, Tempo, 2033898
1, 21575, Tempo, 2068966
1, 21580, Tempo, 2142857
1, 21585, Tempo, 2222222
1, 21590, Tempo, 2264151
1, 21595, Tempo, 2352941
1, 21600, Tempo, 2448980
1, 21605, Tempo, 1265823
1, 22860, Tempo, 1764706
1, 22980, Tempo, 1265823
1, 24240, Tempo, 1263158
1, 24250, Tempo, 1265823
1, 24260, Tempo, 1268499
1, 24266, Tempo, 1271186
1, 24276, Tempo, 1273885
1, 24283, Tempo, 1276596
1, 24293, Tempo, 1279318
1, 24300, Tempo, 1282051
1, 24310, Tempo, 1284797
1, 24320, Tempo, 1287554
1, 24326, Tempo, 1290323
1, 24336, Tempo, 1293103
1, 24343, Tempo, 1295896
1, 24353, Tempo, 1298701
1, 24360, Tempo, 1301518
1, 24363, Tempo, 1307190
1, 24366, Tempo, 1315789
1, 24370, Tempo, 1324503
1, 24373, Tempo, 1333333
1, 24376, Tempo, 1342282
1, 24380, Tempo, 1351351
1, 24383, Tempo, 1360544
1, 24386, Tempo, 1369863
1, 24390, Tempo, 1379310
1, 24393, Tempo, 1388889
1, 24396, Tempo, 1398601
1, 24400, Tempo, 1408451
1, 24403, Tempo, 1418440
1, 24406, Tempo, 1428571
1, 24410, Tempo, 1438849
1, 24413, Tempo, 1449275
1, 24416, Tempo, 1459854
1, 24420, Tempo, 1470588
1, 24423, Tempo, 1477833
1, 24426, Tempo, 1488834
1, 24430, Tempo, 1500000
1, 24433, Tempo, 1511335
1, 24436, Tempo, 1522843
1, 24440, Tempo, 1534527
1, 24443, Tempo, 1546392
1, 24446, Tempo, 1558442
1, 24450, Tempo, 1570681
1, 24453, Tempo, 1583113
1, 24456, Tempo, 1595745
1, 24460, Tempo, 1608579
1, 24463, Tempo, 1621622
1, 24466, Tempo, 1634877
1, 24470, Tempo, 1648352
1, 24473, Tempo, 1662050
1, 24476, Tempo, 1675978
1, 24480, Tempo, 1263158
1, 24763, Tempo, 1263158
1, 24770, Tempo, 1265823
1, 24773, Tempo, 1268499
1, 24780, Tempo, 1271186
1, 24783, Tempo, 1273885
1, 24786, Tempo, 1276596
1, 24793, Tempo, 1279318
1, 24796, Tempo, 1282051
1, 24800, Tempo, 1284797
1, 24806, Tempo, 1287554
1, 24810, Tempo, 1290323
1, 24813, Tempo, 1293103
1, 24820, Tempo, 1295896
1, 24823, Tempo, 1298701
1, 24826, Tempo, 1301518
1, 24833, Tempo, 1304348
1, 24836, Tempo, 1307190
1, 24840, Tempo, 1310044
1, 24843, Tempo, 1318681
1, 24846, Tempo, 1330377
1, 24850, Tempo, 1342282
1, 24853, Tempo, 1354402
1, 24856, Tempo, 1363636
1, 24860, Tempo, 1376147
1, 24863, Tempo, 1388889
1, 24866, Tempo, 1401869
1, 24870, Tempo, 1415094
1, 24873, Tempo, 1425178
1, 24876, Tempo, 1438849
1, 24880, Tempo, 1452785
1, 24883, Tempo, 1466993
1, 24886, Tempo, 1477833
1, 24890, Tempo, 1492537
1, 24893, Tempo, 1507538
1, 24896, Tempo, 1522843
1, 24900, Tempo, 1538462
1, 24903, Tempo, 1550388
1, 24906, Tempo, 1566580
1, 24910, Tempo, 1583113
1, 24913, Tempo, 1600000
1, 24916, Tempo, 1612903
1, 24920, Tempo, 1630435
1, 24923, Tempo, 1648352
1, 24926, Tempo, 1666667
1, 24930, Tempo, 1685393
1, 24933, Tempo, 1699717
1, 24936, Tempo, 1719198
1, 24940, Tempo, 1739130
1, 24943, Tempo, 1759531
1, 24946, Tempo, 1775148
1, 24950, Tempo, 1796407
1, 24953, Tempo, 1818182
1, 24956, Tempo, 1840491
1, 24960, Tempo, 1250000
1, 30720, Tempo, 1250000
