0, 0, Header, 1, 4, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 3, 1, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 2880, Tempo, 895522
1, 2880, Marker_t, "Prelude"
1, 3130, Tempo, 821917
1, 4580, Tempo, 845070
1, 4800, Tempo, 821917
1, 5520, Tempo, 857142
1, 5760, Marker_t, "Bunji Hisamori"
1, 5880, Tempo, 821917
1, 7450, Tempo, 845070
1, 7680, Tempo, 821917
1, 8400, Tempo, 857142
1, 8640, Marker_t, "Nov. 1998"
1, 8760, Tempo, 821917
1, 9960, Tempo, 845070
1, 10080, Tempo, 821917
1, 10440, Tempo, 845070
1, 10560, Tempo, 821917
1, 11280, Tempo, 857142
1, 11520, Marker_t, "July 1999, Rev.1"
1, 11640, Tempo, 821917
1, 12360, Tempo, 845070
1, 12480, Tempo, 821917
1, 13330, Tempo, 845070
1, 14100, Tempo, 869565
1, 14265, Tempo, 895522
1, 14400, Tempo, 895522
1, 14640, Tempo, 821917
1, 15120, Tempo, 845070
1, 15360, Tempo, 821917
1, 16680, Tempo, 845070
1, 16800, Tempo, 821917
1, 17040, Tempo, 857142
1, 17400, Tempo, 821917
1, 18030, Tempo, 845070
1, 18240, Tempo, 821917
1, 19560, Tempo, 845070
1, 19680, Tempo, 821917
1, 19920, Tempo, 857142
1, 20280, Tempo, 821917
1, 21960, Tempo, 845070
1, 22080, Tempo, 821917
1, 22800, Tempo, 857142
1, 23160, Tempo, 821917
1, 24840, Tempo, 845070
1, 24960, Tempo, 821917
1, 25680, Tempo, 857142
1, 26040, Tempo, 821917
1, 26760, Tempo, 845070
1, 26880, Tempo, 821917
1, 27720, Tempo, 845070
1, 27840, Tempo, 821917
1, 28560, Tempo, 857142
1, 28920, Tempo, 821917
1, 29550, Tempo, 845070
1, 29760, Tempo, 821917
1, 31080, Tempo, 845070
1, 31200, Tempo, 821917
1, 31440, Tempo, 857142
1, 31800, Tempo, 821917
1, 33480, Tempo, 845070
1, 34230, Tempo, 869565
1, 34425, Tempo, 895522
1, 34560, Tempo, 895522
1, 34800, Tempo, 821917
1, 36250, Tempo, 845070
1, 36480, Tempo, 821917
1, 37200, Tempo, 857142
1, 37560, Tempo, 821917
1, 38160, Tempo, 845070
1, 38400, Tempo, 821917
1, 39720, Tempo, 845070
1, 39840, Tempo, 821917
1, 40080, Tempo, 857142
1, 40440, Tempo, 821917
1, 41160, Tempo, 845070
1, 41280, Tempo, 821917
1, 42600, Tempo, 845070
1, 42720, Tempo, 821917
1, 42960, Tempo, 857142
1, 43320, Tempo, 821917
1, 43930, Tempo, 845070
1, 44160, Tempo, 821917
1, 45480, Tempo, 845070
1, 45600, Tempo, 821917
1, 45840, Tempo, 857142
1, 46200, Tempo, 821917
1, 46920, Tempo, 845070
