0, 0, Header, 1, 3, 480
1, 0, Start_track
1, 0, Tempo, 576769
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Copyright_t, "Copyright \251 1999 My Music Company"
1, 0, Title_t, "Piano Solo"
1, 11040, Tempo, 2999809
1, 11520, Tempo, 576769
1, 23040, Time_signature, 2, 2, 24, 8
1, 44424, Tempo, 578305
1, 44448, Tempo, 580097
1, 44472, Tempo, 581633
1, 44496, Tempo, 583425
1, 44520, Tempo, 584961
1, 44544, Tempo, 586753
1, 44568, Tempo, 588289
1, 44592, Tempo, 590081
1, 44616, Tempo, 591617
1, 44640, Tempo, 593409
1, 44664, Tempo, 595201
1, 44688, Tempo, 596737
1, 44712, Tempo, 598529
1, 44736, Tempo, 600321
1, 44760, Tempo, 602113
1, 44784, Tempo, 603905
1, 44808, Tempo, 605697
1, 44832, Tempo, 607489
1, 44856, Tempo, 609281
1, 44880, Tempo, 611073
1, 44904, Tempo, 612865
1, 44928, Tempo, 614657
1, 44952, Tempo, 616449
1, 44976, Tempo, 618241
1, 45000, Tempo, 620289
1, 45024, Tempo, 622081
1, 45048, Tempo, 623873
1, 45072, Tempo, 625921
1, 45096, Tempo, 627713
1, 45120, Tempo, 629761
1, 45144, Tempo, 631553
1, 45168, Tempo, 633601
1, 45192, Tempo, 635393
1, 45216, Tempo, 637441
1, 45240, Tempo, 639489
1, 45264, Tempo, 641281
1, 45288, Tempo, 643329
1, 45312, Tempo, 645377
1, 45336, Tempo, 647425
1, 45360, Tempo, 649473
1, 45384, Tempo, 651521
1, 45408, Tempo, 653569
1, 45432, Tempo, 655617
1, 45456, Tempo, 657665
1, 45480, Tempo, 659969
1, 45504, Tempo, 662017
1, 45528, Tempo, 664065
1, 45552, Tempo, 666369
1, 45576, Tempo, 668417
1, 45600, Tempo, 670721
1, 45624, Tempo, 672769
1, 45648, Tempo, 675073
1, 45672, Tempo, 677121
1, 45696, Tempo, 679425
1, 45720, Tempo, 681729
1, 45840, Tempo, 1999873
1, 46080, Tempo, 749825
1, 46080, Time_signature, 4, 2, 24, 8
1, 65280, Tempo, 857089
1, 109464, Tempo, 860673
