0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, Title_t, "Polonaise No. 01 in C-sharp minor Op. 26-1"
1, 0, Copyright_t, "Copyright \251 2002 by Jeruen E. Dery"
1, 0, Text_t, "Frederic Francois Chopin\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 625000
1, 0, Marker_t, "001"
1, 1320, Tempo, 714286
1, 3240, Tempo, 714371
1, 3268, Tempo, 716932
1, 3296, Tempo, 719511
1, 3324, Tempo, 722109
1, 3352, Tempo, 724725
1, 3381, Tempo, 727361
1, 3409, Tempo, 730016
1, 3437, Tempo, 732690
1, 3465, Tempo, 735384
1, 3487, Tempo, 738098
1, 3515, Tempo, 740832
1, 3543, Tempo, 743587
1, 3571, Tempo, 746361
1, 3600, Tempo, 749157
1, 3628, Tempo, 751974
1, 3656, Tempo, 754812
1, 3684, Tempo, 757671
1, 3712, Tempo, 760553
1, 3734, Tempo, 763456
1, 3762, Tempo, 766381
1, 3790, Tempo, 769329
1, 3818, Tempo, 772300
1, 3847, Tempo, 775294
1, 3875, Tempo, 778311
1, 3903, Tempo, 781352
1, 3931, Tempo, 784416
1, 3952, Tempo, 787505
1, 3960, Tempo, 789474
1, 4320, Tempo, 625000
1, 5640, Tempo, 714286
1, 7560, Tempo, 714371
1, 7588, Tempo, 716932
1, 7616, Tempo, 719511
1, 7644, Tempo, 722109
1, 7672, Tempo, 724725
1, 7701, Tempo, 727361
1, 7729, Tempo, 730016
1, 7757, Tempo, 732690
1, 7785, Tempo, 735384
1, 7807, Tempo, 738098
1, 7835, Tempo, 740832
1, 7863, Tempo, 743587
1, 7891, Tempo, 746361
1, 7920, Tempo, 749157
1, 7948, Tempo, 751974
1, 7976, Tempo, 754812
1, 8004, Tempo, 757671
1, 8032, Tempo, 760553
1, 8054, Tempo, 763456
1, 8082, Tempo, 766381
1, 8110, Tempo, 769329
1, 8138, Tempo, 772300
1, 8167, Tempo, 775294
1, 8195, Tempo, 778311
1, 8223, Tempo, 781352
1, 8251, Tempo, 784416
1, 8272, Tempo, 787505
1, 8280, Tempo, 789474
1, 8640, Tempo, 681818
1, 8640, Marker_t, "025"
1, 9000, Tempo, 576923
1, 9180, Tempo, 681818
1, 9720, Tempo, 576923
1, 9900, Tempo, 681818
1, 10440, Tempo, 576923
1, 10620, Tempo, 681818
1, 10800, Tempo, 576923
1, 10980, Tempo, 681818
1, 11520, Tempo, 833333
1, 11880, Tempo, 681818
1, 12960, Tempo, 682672
1, 12967, Tempo, 685010
1, 12974, Tempo, 687364
1, 12981, Tempo, 692121
1, 12988, Tempo, 694525
1, 12995, Tempo, 699382
1, 13002, Tempo, 701836
1, 13009, Tempo, 706797
1, 13016, Tempo, 709304
1, 13023, Tempo, 711828
1, 13030, Tempo, 716932
1, 13037, Tempo, 719511
1, 13044, Tempo, 724725
1, 13051, Tempo, 727361
1, 13058, Tempo, 732690
1, 13065, Tempo, 735384
1, 13072, Tempo, 740832
1, 13080, Tempo, 743587
1, 13087, Tempo, 746361
1, 13094, Tempo, 751974
1, 13101, Tempo, 754812
1, 13108, Tempo, 760553
1, 13115, Tempo, 763456
1, 13122, Tempo, 769329
1, 13129, Tempo, 772300
1, 13136, Tempo, 778311
1, 13143, Tempo, 781352
