0, 0, Header, 1, 6, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
1, 0, MIDI_port, 0
1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 01, 30, 03, 0C, F7
1, 0, MIDI_port, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 300000
1, 0, Marker_t, "untitled"
1, 1018, Tempo, 1052632
1, 1082, Tempo, 1224490
1, 1123, Tempo, 952381
1, 1166, Tempo, 909091
1, 1263, Tempo, 857143
1, 1732, Tempo, 895522
1, 1754, Tempo, 909091
1, 1776, Tempo, 923077
1, 1960, Tempo, 882353
1, 1966, Tempo, 869565
1, 2338, Tempo, 882353
1, 2372, Tempo, 895522
1, 2406, Tempo, 909091
1, 2440, Tempo, 923077
1, 2474, Tempo, 937500
1, 2508, Tempo, 952381
1, 2520, Tempo, 1250000
1, 2552, Tempo, 937500
1, 2580, Tempo, 865801
1, 2640, Tempo, 855920
1, 2703, Tempo, 837989
1, 2880, Tempo, 852273
1, 2943, Tempo, 855920
1, 3356, Tempo, 847458
1, 3476, Tempo, 814111
1, 3603, Tempo, 834492
1, 3720, Tempo, 865801
1, 3840, Tempo, 900901
1, 3960, Tempo, 1052632
1, 4016, Tempo, 843882
1, 5246, Tempo, 833333
1, 5266, Tempo, 845070
1, 5286, Tempo, 857143
1, 5306, Tempo, 869565
1, 5324, Tempo, 882353
1, 5344, Tempo, 895522
1, 5364, Tempo, 909091
1, 5382, Tempo, 923077
1, 5400, Tempo, 1090909
1, 5432, Tempo, 952381
1, 5460, Tempo, 937500
1, 5488, Tempo, 923077
1, 5514, Tempo, 909091
1, 5542, Tempo, 895522
1, 5568, Tempo, 882353
1, 5596, Tempo, 869565
1, 5622, Tempo, 857143
1, 6390, Tempo, 846262
1, 6473, Tempo, 857143
1, 6536, Tempo, 872093
1, 6588, Tempo, 909091
1, 6606, Tempo, 923077
1, 6624, Tempo, 937500
1, 6640, Tempo, 952381
1, 6658, Tempo, 967742
1, 6668, Tempo, 952381
1, 6678, Tempo, 937500
1, 6686, Tempo, 923077
1, 6696, Tempo, 909091
1, 6704, Tempo, 895522
1, 6708, Tempo, 1016949
1, 6710, Tempo, 882353
1, 6724, Tempo, 895522
1, 6738, Tempo, 909091
1, 6752, Tempo, 923077
1, 6766, Tempo, 937500
1, 6778, Tempo, 952381
1, 6792, Tempo, 967742
1, 6806, Tempo, 983607
1, 6820, Tempo, 1000000
1, 6834, Tempo, 1016949
1, 6846, Tempo, 1250000
1, 6868, Tempo, 952381
1, 6906, Tempo, 895522
1, 6963, Tempo, 886263
1, 7033, Tempo, 870827
1, 7130, Tempo, 853485
1, 7326, Tempo, 843882
1, 7540, Tempo, 831025
1, 7753, Tempo, 823045
1, 8763, Tempo, 829876
1, 8863, Tempo, 842697
1, 8956, Tempo, 819672
1, 9050, Tempo, 804290
1, 9163, Tempo, 790514
1, 9576, Tempo, 801068
1, 9618, Tempo, 857143
1, 9660, Tempo, 887574
1, 9696, Tempo, 1016949
1, 9723, Tempo, 1282051
1, 9762, Tempo, 882353
1, 9816, Tempo, 852273
1, 9893, Tempo, 826446
1, 9976, Tempo, 803213
1, 10273, Tempo, 816327
1, 10333, Tempo, 853485
1, 10396, Tempo, 896861
1, 10466, Tempo, 868307
1, 10526, Tempo, 842697
1, 10616, Tempo, 820793
1, 10663, Tempo, 937500
1, 10733, Tempo, 949367
1, 10793, Tempo, 895522
1, 10880, Tempo, 869565
1, 10936, Tempo, 847458
1, 10993, Tempo, 882353
1, 11053, Tempo, 923077
1, 11106, Tempo, 983607
1, 11163, Tempo, 960000
1, 11203, Tempo, 845070
1, 11350, Tempo, 823045
1, 11520, Tempo, 816327
1, 11696, Tempo, 808625
1, 11700, Tempo, 809717
1, 11880, Tempo, 801068
1, 12233, Tempo, 808625
1, 12310, Tempo, 836820
1, 12413, Tempo, 860832
1, 12460, Tempo, 909091
1, 12514, Tempo, 1052632
1, 12566, Tempo, 1121495
1, 12596, Tempo, 1282051
1, 12630, Tempo, 1090909
1, 12663, Tempo, 902256
1, 12740, Tempo, 853485
1, 12806, Tempo, 833333
1, 14426, Tempo, 849858
1, 14603, Tempo, 868307
1, 14760, Tempo, 910470
1, 14883, Tempo, 829876
1, 15013, Tempo, 807537
1, 15136, Tempo, 793651
1, 15246, Tempo, 747198
1, 16203, Tempo, 774194
1, 16273, Tempo, 805369
1, 16360, Tempo, 845070
1, 16423, Tempo, 923077
1, 16500, Tempo, 975610
1, 16560, Tempo, 1132075
1, 16613, Tempo, 845070
1, 16680, Tempo, 810811
1, 16746, Tempo, 800000
1, 16840, Tempo, 816327
1, 16920, Tempo, 851064
1, 17040, Tempo, 875912
1, 17120, Tempo, 895522
1, 17203, Tempo, 930233
1, 17240, Tempo, 960000
