0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Mazurka Opus 7 No. 2"
1, 0, Copyright_t, "Copyright \251 2003 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Vivo ma non troppo"
1, 0, Text_t, "Fertiggestellt am 5.7.2003\012"
1, 0, Text_t, "Dauer: 2:42 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 416667
1, 960, Tempo, 430108
1, 1440, Tempo, 416667
1, 2160, Tempo, 425532
1, 2400, Tempo, 447761
1, 2640, Tempo, 545455
1, 2880, Tempo, 428571
1, 2920, Tempo, 421053
1, 3600, Tempo, 431655
1, 4320, Tempo, 422535
1, 4800, Tempo, 431655
1, 5280, Tempo, 442804
1, 5520, Tempo, 483871
1, 5760, Tempo, 431655
1, 7200, Tempo, 415225
1, 8160, Tempo, 415225
1, 8640, Tempo, 430108
1, 9120, Tempo, 419580
1, 9600, Tempo, 425532
1, 10080, Tempo, 418118
1, 11040, Tempo, 433213
1, 12000, Tempo, 458015
1, 12480, Tempo, 430108
1, 12960, Tempo, 416667
1, 13440, Tempo, 430108
1, 13680, Tempo, 425532
1, 13920, Tempo, 437956
1, 14160, Tempo, 563380
1, 14400, Tempo, 428571
1, 14440, Tempo, 421053
1, 15120, Tempo, 431655
1, 15840, Tempo, 422535
1, 16320, Tempo, 431655
1, 16800, Tempo, 449438
1, 17040, Tempo, 524017
1, 17280, Tempo, 422535
1, 17760, Tempo, 431655
1, 18720, Tempo, 415225
1, 19200, Tempo, 452830
1, 19680, Tempo, 481928
1, 20160, Tempo, 519481
1, 20640, Tempo, 481928
1, 21120, Tempo, 535714
1, 21600, Tempo, 427046
1, 22080, Tempo, 444444
1, 22560, Tempo, 449438
1, 23520, Tempo, 508475
1, 24000, Tempo, 430108
1, 24480, Tempo, 416667
1, 24960, Tempo, 430108
1, 25200, Tempo, 425532
1, 25440, Tempo, 447761
1, 25680, Tempo, 568720
1, 25920, Tempo, 428571
1, 25960, Tempo, 421053
1, 26640, Tempo, 431655
1, 27360, Tempo, 422535
1, 27840, Tempo, 431655
1, 28320, Tempo, 442804
1, 28560, Tempo, 483871
1, 28800, Tempo, 431655
1, 30240, Tempo, 415225
1, 31200, Tempo, 415225
1, 31680, Tempo, 430108
1, 32160, Tempo, 419580
1, 32640, Tempo, 425532
1, 33120, Tempo, 418118
1, 34080, Tempo, 433213
1, 35040, Tempo, 458015
1, 35520, Tempo, 430108
1, 36000, Tempo, 416667
1, 36480, Tempo, 430108
1, 36720, Tempo, 425532
1, 36960, Tempo, 437956
1, 37200, Tempo, 489796
1, 37440, Tempo, 428571
1, 37480, Tempo, 421053
1, 38160, Tempo, 431655
1, 38880, Tempo, 422535
1, 39360, Tempo, 431655
1, 39840, Tempo, 449438
1, 40080, Tempo, 552995
1, 40320, Tempo, 422535
1, 40800, Tempo, 431655
1, 41760, Tempo, 415225
1, 42240, Tempo, 452830
1, 42720, Tempo, 476190
1, 43200, Tempo, 517241
1, 43680, Tempo, 481928
1, 44160, Tempo, 535714
1, 44640, Tempo, 427046
1, 45120, Tempo, 444444
1, 45600, Tempo, 449438
1, 46560, Tempo, 487805
1, 47040, Tempo, 444444
1, 47520, Tempo, 439560
1, 48000, Tempo, 439560
1, 48240, Tempo, 425532
1, 48480, Tempo, 436364
1, 48720, Tempo, 463320
1, 48960, Tempo, 428571
1, 49440, Tempo, 416667
1, 49680, Tempo, 431655
1, 50400, Tempo, 439560
1, 50880, Tempo, 439560
1, 51120, Tempo, 425532
1, 51360, Tempo, 436364
1, 51600, Tempo, 463320
1, 51840, Tempo, 431655
1, 52320, Tempo, 416667
1, 52560, Tempo, 431655
1, 52800, Tempo, 439560
1, 53280, Tempo, 419580
1, 53760, Tempo, 412371
1, 54000, Tempo, 431655
1, 54240, Tempo, 436364
1, 54720, Tempo, 422535
1, 55200, Tempo, 415225
1, 55440, Tempo, 431655
1, 55680, Tempo, 437956
1, 56160, Tempo, 424028
1, 56640, Tempo, 421053
1, 56880, Tempo, 431655
1, 57120, Tempo, 436364
1, 57600, Tempo, 428571
1, 57640, Tempo, 436364
1, 58080, Tempo, 431655
1, 58320, Tempo, 444444
1, 58560, Tempo, 454545
1, 58800, Tempo, 458015
1, 59040, Tempo, 427046
1, 59520, Tempo, 437956
1, 59760, Tempo, 425532
1, 60000, Tempo, 437956
1, 60240, Tempo, 528634
1, 60480, Tempo, 428571
1, 60520, Tempo, 421053
1, 61200, Tempo, 431655
1, 61920, Tempo, 422535
1, 62400, Tempo, 431655
1, 62880, Tempo, 449438
1, 63120, Tempo, 502092
1, 63360, Tempo, 422535
1, 63840, Tempo, 431655
1, 64800, Tempo, 415225
1, 65280, Tempo, 456274
1, 65320, Tempo, 454545
1, 65760, Tempo, 481928
1, 66240, Tempo, 528634
1, 66720, Tempo, 481928
1, 67200, Tempo, 535714
1, 67680, Tempo, 427046
1, 68160, Tempo, 444444
1, 68640, Tempo, 449438
1, 69600, Tempo, 487805
1, 70080, Tempo, 444444
1, 70560, Tempo, 439560
1, 71040, Tempo, 439560
1, 71280, Tempo, 425532
1, 71520, Tempo, 436364
1, 71760, Tempo, 463320
1, 72000, Tempo, 428571
1, 72480, Tempo, 416667
1, 72720, Tempo, 431655
1, 73440, Tempo, 439560
1, 73920, Tempo, 439560
1, 74160, Tempo, 425532
1, 74400, Tempo, 436364
1, 74640, Tempo, 463320
1, 74880, Tempo, 431655
1, 75360, Tempo, 416667
1, 75600, Tempo, 431655
1, 75840, Tempo, 436364
1, 76320, Tempo, 418118
1, 76800, Tempo, 413793
1, 77040, Tempo, 431655
1, 77280, Tempo, 436364
1, 77760, Tempo, 422535
1, 78240, Tempo, 416667
1, 78480, Tempo, 431655
1, 78720, Tempo, 434783
1, 79200, Tempo, 425532
1, 79680, Tempo, 421053
1, 79920, Tempo, 431655
1, 80160, Tempo, 436364
1, 80640, Tempo, 442804
1, 80680, Tempo, 436364
1, 81120, Tempo, 428571
1, 81360, Tempo, 444444
1, 81600, Tempo, 459770
1, 81840, Tempo, 478088
1, 82080, Tempo, 430108
1, 82560, Tempo, 430108
1, 82800, Tempo, 425532
1, 83040, Tempo, 437956
1, 83280, Tempo, 526316
1, 83520, Tempo, 428571
1, 83560, Tempo, 421053
1, 84240, Tempo, 431655
1, 84960, Tempo, 422535
1, 85440, Tempo, 431655
1, 85920, Tempo, 449438
1, 86160, Tempo, 530973
1, 86400, Tempo, 422535
1, 86880, Tempo, 431655
1, 87840, Tempo, 415225
1, 88320, Tempo, 456274
1, 88800, Tempo, 478088
1, 89280, Tempo, 524017
1, 89760, Tempo, 481928
1, 90240, Tempo, 535714
1, 90720, Tempo, 427046
1, 91200, Tempo, 444444
1, 91680, Tempo, 449438
1, 92640, Tempo, 472441
1, 93600, Key_signature, 3, "major"
1, 93600, Tempo, 438116
1, 94080, Tempo, 423669
1, 94560, Tempo, 431593
1, 95040, Tempo, 429984
1, 95520, Tempo, 426803
1, 96000, Tempo, 433213
1, 96480, Tempo, 436459
1, 96960, Tempo, 428388
1, 97440, Tempo, 433213
1, 97920, Tempo, 426803
1, 98400, Tempo, 431593
1, 99120, Tempo, 446097
1, 99360, Tempo, 402685
1, 99840, Tempo, 423669
1, 100320, Tempo, 431593
1, 100800, Tempo, 410959
1, 101280, Tempo, 426803
1, 101760, Tempo, 433213
1, 102040, Tempo, 441176
1, 102240, Tempo, 402685
1, 102720, Tempo, 428388
1, 103200, Tempo, 433213
1, 103680, Tempo, 409556
1, 104160, Tempo, 431593
1, 105100, Tempo, 438116
1, 105580, Tempo, 423669
1, 106060, Tempo, 431593
1, 106540, Tempo, 429984
1, 106560, Tempo, 417566
1, 106600, Tempo, 406780
1, 107020, Tempo, 426803
1, 107500, Tempo, 433213
1, 108000, Tempo, 438116
1, 108460, Tempo, 423669
1, 108940, Tempo, 431593
1, 109420, Tempo, 429984
1, 109440, Tempo, 406780
1, 109900, Tempo, 426803
1, 109920, Tempo, 433213
1, 110380, Tempo, 433213
1, 110880, Tempo, 438116
1, 111340, Tempo, 423669
1, 111820, Tempo, 431593
1, 112300, Tempo, 429984
1, 112320, Tempo, 406780
1, 112780, Tempo, 426803
1, 113260, Tempo, 433213
1, 113280, Tempo, 441469
1, 113760, Tempo, 449438
1, 114000, Tempo, 472441
1, 115200, Tempo, 461538
1, 115440, Tempo, 540541
1, 115680, Tempo, 470588
1, 116640, Tempo, 438116
1, 117120, Tempo, 423669
1, 117600, Tempo, 431593
1, 118080, Tempo, 429984
1, 118560, Tempo, 426803
1, 119040, Tempo, 433213
1, 119520, Tempo, 436459
1, 120000, Tempo, 428388
1, 120480, Tempo, 433213
1, 120960, Tempo, 426803
1, 121440, Tempo, 431593
1, 122400, Tempo, 404040
1, 122880, Tempo, 423669
1, 123360, Tempo, 431593
1, 123840, Tempo, 406780
1, 124320, Tempo, 426803
1, 124800, Tempo, 433213
1, 125280, Tempo, 406780
1, 125760, Tempo, 428388
1, 126240, Tempo, 433213
1, 126720, Tempo, 410959
1, 127200, Tempo, 431593
1, 128140, Tempo, 438116
1, 128160, Tempo, 438116
1, 128620, Tempo, 423669
1, 129100, Tempo, 431593
1, 129580, Tempo, 429984
1, 129600, Tempo, 408163
1, 130060, Tempo, 426803
1, 130540, Tempo, 433213
1, 131040, Tempo, 438116
1, 131500, Tempo, 423669
1, 131980, Tempo, 431593
1, 132460, Tempo, 429984
1, 132480, Tempo, 408163
1, 132940, Tempo, 426803
1, 132960, Tempo, 433213
1, 133420, Tempo, 433213
1, 133920, Tempo, 438116
1, 134380, Tempo, 423669
1, 134860, Tempo, 431593
1, 135340, Tempo, 429984
1, 135360, Tempo, 408163
1, 135820, Tempo, 426803
1, 136300, Tempo, 433213
1, 136320, Tempo, 441469
1, 136800, Tempo, 446595
1, 136840, Tempo, 452830
1, 137040, Tempo, 474308
1, 138240, Tempo, 495868
1, 138480, Tempo, 552995
1, 138720, Tempo, 472441
1, 139680, Tempo, 438116
1, 140160, Tempo, 423669
1, 140640, Tempo, 431593
1, 141120, Tempo, 429984
1, 141600, Tempo, 426803
1, 142080, Tempo, 433213
1, 142560, Tempo, 436459
1, 143040, Tempo, 428388
1, 143520, Tempo, 433213
1, 144000, Tempo, 426803
1, 144480, Tempo, 431593
1, 145440, Tempo, 405405
1, 145920, Tempo, 423669
1, 146400, Tempo, 431593
1, 146880, Tempo, 408163
1, 147360, Tempo, 426803
1, 147840, Tempo, 433213
1, 148320, Tempo, 405405
1, 148800, Tempo, 428388
1, 149280, Tempo, 433213
1, 149760, Tempo, 443164
1, 150240, Tempo, 514051
1, 150720, Tempo, 430108
1, 151200, Key_signature, 0, "major"
1, 151200, Tempo, 416667
1, 151680, Tempo, 430108
1, 151920, Tempo, 425532
1, 152160, Tempo, 447761
1, 152400, Tempo, 574163
1, 152640, Tempo, 428571
1, 152680, Tempo, 421053
1, 153360, Tempo, 431655
1, 154080, Tempo, 422535
1, 154560, Tempo, 431655
1, 155040, Tempo, 442804
1, 155280, Tempo, 483871
1, 155520, Tempo, 431655
