0, 0, Header, 1, 4, 48
1, 0, Start_track
1, 0, Tempo, 500000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Title_t, "F.F.Chopin  Nocturne No.18 in E major Op.62-2"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 144, Tempo, 1034482
1, 192, Tempo, 923076
1, 240, Tempo, 800000
1, 264, Tempo, 952380
1, 288, Tempo, 821917
1, 312, Tempo, 895522
1, 336, Tempo, 845070
1, 360, Tempo, 1000000
1, 384, Tempo, 923076
1, 432, Tempo, 821917
1, 480, Tempo, 789473
1, 528, Tempo, 821917
1, 576, Tempo, 769230
1, 624, Tempo, 800000
1, 672, Tempo, 750000
1, 696, Tempo, 697674
1, 720, Tempo, 750000
1, 744, Tempo, 895522
1, 768, Tempo, 731707
1, 816, Tempo, 789473
1, 864, Tempo, 845070
1, 888, Tempo, 1000000
1, 912, Tempo, 895522
1, 936, Tempo, 1071428
1, 960, Tempo, 895522
1, 1008, Tempo, 731707
1, 1056, Tempo, 800000
1, 1080, Tempo, 845070
1, 1104, Tempo, 895522
1, 1120, Tempo, 800000
1, 1144, Tempo, 1153846
1, 1152, Tempo, 869565
1, 1200, Tempo, 750000
1, 1248, Tempo, 769230
1, 1272, Tempo, 697674
1, 1296, Tempo, 714285
1, 1320, Tempo, 845070
1, 1344, Tempo, 731707
1, 1392, Tempo, 750000
1, 1416, Tempo, 895522
1, 1440, Tempo, 952380
1, 1456, Tempo, 769230
1, 1472, Tempo, 750000
1, 1488, Tempo, 845070
1, 1504, Tempo, 800000
1, 1520, Tempo, 1333333
1, 1536, Tempo, 800000
1, 1584, Tempo, 952380
1, 1632, Tempo, 1304347
1, 1672, Tempo, 1621621
1, 1680, Tempo, 1304347
1, 1696, Tempo, 1071428
1, 1712, Tempo, 1714285
1, 1728, Tempo, 845070
1, 1776, Tempo, 895522
1, 1800, Tempo, 952380
1, 1824, Tempo, 1250000
1, 1836, Tempo, 1034482
1, 1848, Tempo, 983606
1, 1860, Tempo, 952380
1, 1872, Tempo, 1153846
1, 1880, Tempo, 952380
1, 1888, Tempo, 895522
1, 1896, Tempo, 923076
1, 1904, Tempo, 1034482
1, 1912, Tempo, 1621621
1, 1920, Tempo, 800000
1, 1968, Tempo, 750000
1, 2016, Tempo, 789473
1, 2064, Tempo, 800000
1, 2088, Tempo, 952380
1, 2112, Tempo, 769230
1, 2160, Tempo, 666666
1, 2184, Tempo, 731707
1, 2256, Tempo, 750000
1, 2280, Tempo, 845070
1, 2304, Tempo, 731707
1, 2352, Tempo, 681818
1, 2400, Tempo, 769230
1, 2448, Tempo, 750000
1, 2472, Tempo, 1250000
1, 2484, Tempo, 1333333
1, 2488, Tempo, 1463414
1, 2492, Tempo, 1621621
1, 2496, Tempo, 769230
1, 2544, Tempo, 697674
1, 2592, Tempo, 731707
1, 2616, Tempo, 666666
1, 2640, Tempo, 697674
1, 2664, Tempo, 845070
1, 2688, Tempo, 714285
1, 2736, Tempo, 750000
1, 2760, Tempo, 731707
1, 2772, Tempo, 1071428
1, 2778, Tempo, 1333333
1, 2784, Tempo, 845070
1, 2808, Tempo, 952380
1, 2820, Tempo, 1200000
1, 2826, Tempo, 1714285
1, 2832, Tempo, 1538461
1, 2868, Tempo, 1153846
1, 2880, Tempo, 952380
1, 2928, Tempo, 800000
1, 2976, Tempo, 895522
1, 3000, Tempo, 1153846
1, 3024, Tempo, 1250000
1, 3060, Tempo, 983606
1, 3072, Tempo, 869565
1, 3120, Tempo, 845070
1, 3168, Tempo, 1000000
1, 3216, Tempo, 1250000
1, 3264, Tempo, 895522
1, 3312, Tempo, 845070
