0, 0, Header, 1, 4, 48
1, 0, Start_track
1, 0, Tempo, 500000
1, 0, Time_signature, 6, 3, 24, 8
1, 0, Key_signature, 5, "major"
1, 0, Title_t, "F.F.Chopin  Nocturne No.3 in B major Op.9-3"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 76, Tempo, 3333333
1, 96, Tempo, 731707
1, 144, Time_signature, 3, 2, 24, 8
1, 144, Tempo, 1000000
1, 168, Tempo, 666666
1, 180, Tempo, 645161
1, 192, Tempo, 666666
1, 240, Tempo, 618556
1, 252, Tempo, 645161
1, 264, Tempo, 681818
1, 288, Tempo, 666666
1, 312, Tempo, 631578
1, 336, Tempo, 697674
1, 360, Tempo, 631578
1, 384, Tempo, 606060
1, 408, Tempo, 666666
1, 432, Tempo, 750000
1, 456, Tempo, 606060
1, 480, Tempo, 666666
1, 492, Tempo, 681818
1, 504, Tempo, 618556
1, 528, Tempo, 594059
1, 552, Tempo, 769230
1, 564, Tempo, 952380
1, 576, Tempo, 697674
1, 600, Tempo, 631578
1, 624, Tempo, 666666
1, 648, Tempo, 645161
1, 672, Tempo, 714285
1, 696, Tempo, 895522
1, 720, Tempo, 697674
1, 744, Tempo, 631578
1, 768, Tempo, 645161
1, 792, Tempo, 618556
1, 816, Tempo, 659340
1, 828, Tempo, 769230
1, 840, Tempo, 821917
1, 864, Tempo, 845070
1, 888, Tempo, 681818
1, 912, Tempo, 631578
1, 936, Tempo, 606060
1, 960, Tempo, 1034482
1, 984, Tempo, 789473
1, 1008, Tempo, 697674
1, 1032, Tempo, 631578
1, 1056, Tempo, 750000
1, 1080, Tempo, 1153846
1, 1088, Tempo, 869565
1, 1096, Tempo, 923076
1, 1104, Tempo, 731707
1, 1116, Tempo, 1395348
1, 1128, Tempo, 1621621
1, 1146, Tempo, 1153846
1, 1176, Tempo, 606060
1, 1200, Tempo, 571428
1, 1224, Tempo, 666666
1, 1248, Tempo, 800000
1, 1256, Tempo, 845070
1, 1264, Tempo, 769230
1, 1272, Tempo, 800000
1, 1278, Tempo, 845070
1, 1284, Tempo, 1000000
1, 1290, Tempo, 2727272
1, 1296, Tempo, 1000000
1, 1311, Tempo, 697674
1, 1325, Tempo, 631578
1, 1339, Tempo, 594059
1, 1353, Tempo, 645161
1, 1383, Tempo, 606060
1, 1397, Tempo, 555555
1, 1411, Tempo, 582524
1, 1425, Tempo, 666666
1, 1440, Tempo, 631578
1, 1464, Tempo, 606060
1, 1488, Tempo, 697674
1, 1512, Tempo, 845070
1, 1523, Tempo, 800000
1, 1533, Tempo, 697674
1, 1543, Tempo, 731707
1, 1553, Tempo, 659340
1, 1563, Tempo, 645161
1, 1573, Tempo, 666666
1, 1584, Tempo, 606060
1, 1592, Tempo, 594059
1, 1600, Tempo, 582524
1, 1616, Tempo, 594059
1, 1624, Tempo, 618556
1, 1632, Tempo, 645161
1, 1640, Tempo, 666666
1, 1648, Tempo, 731707
1, 1656, Tempo, 631578
1, 1664, Tempo, 618556
1, 1672, Tempo, 606060
1, 1680, Tempo, 666666
1, 1688, Tempo, 750000
1, 1696, Tempo, 1153846
1, 1704, Tempo, 1000000
1, 1712, Tempo, 952380
1, 1720, Tempo, 1333333
1, 1728, Tempo, 666666
1, 1752, Tempo, 631578
1, 1776, Tempo, 659340
1, 1800, Tempo, 697674
1, 1824, Tempo, 800000
1, 1848, Tempo, 1153846
1, 1872, Tempo, 952380
1, 1896, Tempo, 618556
1, 1920, Tempo, 659340
1, 1944, Tempo, 555555
1, 1968, Tempo, 731707
1, 1992, Tempo, 714285
1, 2010, Tempo, 2307692
1, 2016, Tempo, 697674
1, 2040, Tempo, 618556
1, 2064, Tempo, 666666
1, 2088, Tempo, 731707
