0, 0, Header, 1, 4, 48
1, 0, Start_track
1, 0, Tempo, 500000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "minor"
1, 0, Title_t, "F.F.Chopin  Nocturne No.11 in G minor Op.37-1 \201@"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 144, Tempo, 1818181
1, 192, Tempo, 1111111
1, 240, Tempo, 895522
1, 264, Tempo, 1333333
1, 276, Tempo, 1153846
1, 280, Tempo, 895522
1, 284, Tempo, 1000000
1, 288, Tempo, 1250000
1, 312, Tempo, 789473
1, 336, Tempo, 895522
1, 384, Tempo, 1071428
1, 408, Tempo, 895522
1, 432, Tempo, 923076
1, 448, Tempo, 821917
1, 464, Tempo, 1153846
1, 480, Tempo, 1000000
1, 528, Tempo, 1071428
1, 576, Tempo, 895522
1, 624, Tempo, 800000
1, 648, Tempo, 845070
1, 672, Tempo, 769230
1, 720, Tempo, 800000
1, 744, Tempo, 952380
1, 768, Tempo, 821917
1, 816, Tempo, 789473
1, 864, Tempo, 895522
1, 900, Tempo, 1621621
1, 912, Tempo, 1071428
1, 928, Tempo, 845070
1, 944, Tempo, 1333333
1, 960, Tempo, 983606
1, 992, Tempo, 1250000
1, 996, Tempo, 1333333
1, 1000, Tempo, 1250000
1, 1008, Tempo, 1153846
1, 1024, Tempo, 769230
1, 1040, Tempo, 2307692
1, 1044, Tempo, 800000
1, 1052, Tempo, 1153846
1, 1056, Tempo, 1250000
1, 1080, Tempo, 869565
1, 1104, Tempo, 895522
1, 1140, Tempo, 1153846
1, 1144, Tempo, 1000000
1, 1148, Tempo, 1071428
1, 1152, Tempo, 845070
1, 1176, Tempo, 1000000
1, 1188, Tempo, 1463414
1, 1194, Tempo, 1153846
1, 1197, Tempo, 1000000
1, 1216, Tempo, 800000
1, 1232, Tempo, 1071428
1, 1248, Tempo, 1000000
1, 1344, Tempo, 869565
1, 1392, Tempo, 895522
1, 1428, Tempo, 845070
1, 1440, Tempo, 895522
1, 1488, Tempo, 952380
1, 1536, Tempo, 869565
1, 1584, Tempo, 845070
1, 1608, Tempo, 1000000
1, 1632, Tempo, 1333333
1, 1640, Tempo, 1153846
1, 1645, Tempo, 895522
1, 1650, Tempo, 845070
1, 1655, Tempo, 789473
1, 1660, Tempo, 769230
1, 1665, Tempo, 750000
1, 1690, Tempo, 769230
1, 1695, Tempo, 800000
1, 1700, Tempo, 845070
1, 1705, Tempo, 952380
1, 1710, Tempo, 1333333
1, 1715, Tempo, 2000000
1, 1720, Tempo, 2307692
1, 1728, Tempo, 845070
1, 1776, Tempo, 750000
1, 1824, Tempo, 769230
1, 1848, Tempo, 731707
1, 1872, Tempo, 666666
1, 1896, Tempo, 895522
1, 1920, Tempo, 769230
1, 1944, Tempo, 1621621
1, 1948, Tempo, 1333333
1, 1952, Tempo, 1153846
1, 1964, Tempo, 2000000
1, 1968, Tempo, 869565
1, 2004, Tempo, 769230
1, 2016, Tempo, 821917
1, 2040, Tempo, 731707
1, 2064, Tempo, 750000
1, 2088, Tempo, 923076
1, 2112, Tempo, 800000
1, 2160, Tempo, 731707
1, 2256, Tempo, 769230
1, 2304, Tempo, 535714
1, 2328, Tempo, 1818181
1, 2332, Tempo, 1333333
1, 2336, Tempo, 1200000
1, 2340, Tempo, 1153846
1, 2344, Tempo, 1333333
1, 2348, Tempo, 2000000
1, 2352, Tempo, 869565
1, 2388, Tempo, 769230
1, 2400, Tempo, 845070
1, 2424, Tempo, 800000
1, 2448, Tempo, 895522
1, 2472, Tempo, 1333333
1, 2496, Tempo, 983606
1, 2544, Tempo, 952380
1, 2580, Tempo, 821917
1, 2592, Tempo, 800000
