0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 5, Opus 28"
1, 0, Copyright_t, "Copyright \251 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Molto allegro"
1, 0, Text_t, "Fertiggestellt am  27.8.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 24.12.2002\012"
1, 0, Text_t, "Dauer: 0:33 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 574163
1, 240, Tempo, 563380
1, 300, Tempo, 560748
1, 360, Tempo, 558140
1, 420, Tempo, 555556
1, 480, Tempo, 552995
1, 540, Tempo, 550459
1, 600, Tempo, 547945
1, 660, Tempo, 545455
1, 700, Tempo, 542986
1, 720, Tempo, 526316
1, 800, Tempo, 524017
1, 860, Tempo, 521739
1, 920, Tempo, 519481
1, 1000, Tempo, 517241
1, 1060, Tempo, 515021
1, 1120, Tempo, 512821
1, 1180, Tempo, 510638
1, 1260, Tempo, 508475
1, 1320, Tempo, 506329
1, 1380, Tempo, 504202
1, 1440, Tempo, 502092
1, 1500, Tempo, 500000
1, 1560, Tempo, 497925
1, 1620, Tempo, 495868
1, 1680, Tempo, 493827
1, 2100, Tempo, 499542
1, 2140, Tempo, 501798
1, 2160, Tempo, 493016
1, 2200, Tempo, 495172
1, 2240, Tempo, 497347
1, 2280, Tempo, 499542
1, 2300, Tempo, 501798
1, 2340, Tempo, 504032
1, 2380, Tempo, 506286
1, 2420, Tempo, 508561
1, 2440, Tempo, 510856
1, 2480, Tempo, 513171
1, 2520, Tempo, 515553
1, 2540, Tempo, 517911
1, 2580, Tempo, 520291
1, 2620, Tempo, 522694
1, 2660, Tempo, 525118
1, 2680, Tempo, 527565
1, 2720, Tempo, 530035
1, 2760, Tempo, 532576
1, 2780, Tempo, 535093
1, 2840, Tempo, 540200
1, 2860, Tempo, 535714
1, 2880, Tempo, 542986
1, 2940, Tempo, 540541
1, 3000, Tempo, 538117
1, 3040, Tempo, 535714
1, 3100, Tempo, 533333
1, 3140, Tempo, 530973
1, 3360, Tempo, 506329
1, 3480, Tempo, 535714
1, 3580, Tempo, 524017
1, 3600, Tempo, 530973
1, 3680, Tempo, 528634
1, 3760, Tempo, 526316
1, 3820, Tempo, 524017
1, 3840, Tempo, 519481
1, 4080, Tempo, 500000
1, 4200, Tempo, 528634
1, 4360, Tempo, 521739
1, 4420, Tempo, 519481
1, 4480, Tempo, 517241
1, 4540, Tempo, 515021
1, 4580, Tempo, 512821
1, 4800, Tempo, 495868
1, 4920, Tempo, 524017
1, 5020, Tempo, 518403
1, 5040, Tempo, 517241
1, 5100, Tempo, 515021
1, 5160, Tempo, 512821
1, 5220, Tempo, 510638
1, 5280, Tempo, 508475
1, 5520, Tempo, 491803
1, 5640, Tempo, 538117
1, 5760, Tempo, 530973
1, 5820, Tempo, 528634
1, 5860, Tempo, 526316
1, 5920, Tempo, 524017
1, 5960, Tempo, 521739
1, 6000, Tempo, 519481
1, 6220, Tempo, 504202
1, 6240, Tempo, 504202
1, 6360, Tempo, 521739
1, 6480, Tempo, 523332
1, 6540, Tempo, 515996
1, 6600, Tempo, 513611
1, 6660, Tempo, 511247
1, 6720, Tempo, 508906
1, 6840, Tempo, 518403
1, 6920, Tempo, 506500
1, 6960, Tempo, 495868
1, 7080, Tempo, 510638
1, 7200, Tempo, 520879
1, 7240, Tempo, 518403
1, 7280, Tempo, 515996
1, 7320, Tempo, 513611
1, 7340, Tempo, 511247
1, 7380, Tempo, 508906
1, 7420, Tempo, 506500
1, 7440, Tempo, 504202
1, 7560, Tempo, 513611
1, 7680, Tempo, 495868
1, 7800, Tempo, 508475
1, 7900, Tempo, 520879
1, 7940, Tempo, 518403
1, 7980, Tempo, 515996
1, 8020, Tempo, 513611
1, 8060, Tempo, 511247
1, 8100, Tempo, 508906
1, 8140, Tempo, 506500
1, 8180, Tempo, 504202
1, 8280, Tempo, 515996
1, 8360, Tempo, 504202
1, 8420, Tempo, 495868
1, 8520, Tempo, 528634
1, 8640, Tempo, 520879
1, 8720, Tempo, 518403
1, 8800, Tempo, 515996
1, 8860, Tempo, 513611
1, 9100, Tempo, 513611
1, 9180, Tempo, 515996
1, 9260, Tempo, 518403
1, 9340, Tempo, 520879
1, 9360, Tempo, 520879
1, 9500, Tempo, 518403
1, 9620, Tempo, 515996
1, 9840, Tempo, 515996
1, 9880, Tempo, 518403
1, 9920, Tempo, 520879
1, 9960, Tempo, 523332
1, 10000, Tempo, 525808
1, 10040, Tempo, 528355
1, 10060, Tempo, 530879
1, 10120, Tempo, 528355
1, 10180, Tempo, 525808
1, 10220, Tempo, 523332
1, 10280, Tempo, 520879
1, 10320, Tempo, 518403
1, 10540, Tempo, 515996
1, 10580, Tempo, 518403
1, 10600, Tempo, 520879
1, 10620, Tempo, 523332
1, 10640, Tempo, 525808
1, 10660, Tempo, 528355
1, 10700, Tempo, 530879
1, 10720, Tempo, 533476
1, 10740, Tempo, 536049
1, 10760, Tempo, 538648
1, 10780, Tempo, 541272
1, 10800, Tempo, 563380
1, 10840, Tempo, 560748
1, 10880, Tempo, 558140
1, 10920, Tempo, 555556
1, 10960, Tempo, 552995
1, 11000, Tempo, 550459
1, 11040, Tempo, 547945
1, 11060, Tempo, 545455
1, 11240, Tempo, 530973
1, 11280, Tempo, 540541
1, 11300, Tempo, 542986
1, 11320, Tempo, 547945
1, 11340, Tempo, 550459
1, 11360, Tempo, 555556
1, 11380, Tempo, 560748
1, 11400, Tempo, 563380
1, 11420, Tempo, 568720
1, 11440, Tempo, 574163
1, 11460, Tempo, 576923
1, 11480, Tempo, 582524
1, 11500, Tempo, 588235
1, 11520, Tempo, 564493
1, 11760, Tempo, 542790
1, 11860, Tempo, 540200
1, 11960, Tempo, 537634
1, 12040, Tempo, 535093
1, 12140, Tempo, 532576
1, 12220, Tempo, 530035
1, 12240, Tempo, 517241
1, 12280, Tempo, 515021
1, 12320, Tempo, 512821
1, 12360, Tempo, 510638
1, 12400, Tempo, 508475
1, 12440, Tempo, 506329
1, 12480, Tempo, 504032
1, 12700, Tempo, 506329
1, 12780, Tempo, 504202
1, 12840, Tempo, 502092
1, 12920, Tempo, 500000
1, 12980, Tempo, 497925
1, 13060, Tempo, 495868
1, 13120, Tempo, 493827
1, 13180, Tempo, 491803
1, 13620, Tempo, 499542
1, 13660, Tempo, 501798
1, 13680, Tempo, 493016
1, 13720, Tempo, 495172
1, 13760, Tempo, 497347
1, 13800, Tempo, 499542
1, 13820, Tempo, 501798
1, 13860, Tempo, 504032
1, 13900, Tempo, 506286
1, 13940, Tempo, 508561
1, 13960, Tempo, 510856
1, 14000, Tempo, 513171
1, 14040, Tempo, 515553
1, 14060, Tempo, 517911
1, 14100, Tempo, 520291
1, 14140, Tempo, 522694
1, 14180, Tempo, 525118
1, 14200, Tempo, 527565
1, 14240, Tempo, 530035
1, 14280, Tempo, 532576
1, 14300, Tempo, 535093
1, 14360, Tempo, 540200
1, 14380, Tempo, 542986
1, 14420, Tempo, 540541
1, 14460, Tempo, 538117
1, 14480, Tempo, 535714
1, 14520, Tempo, 533333
1, 14560, Tempo, 530973
1, 14580, Tempo, 528634
1, 14620, Tempo, 526316
1, 14640, Tempo, 524017
1, 14880, Tempo, 508475
1, 15000, Tempo, 526316
1, 15120, Tempo, 535714
1, 15160, Tempo, 533333
1, 15180, Tempo, 530973
1, 15220, Tempo, 528634
1, 15240, Tempo, 526316
1, 15280, Tempo, 524017
1, 15300, Tempo, 521739
1, 15340, Tempo, 519481
1, 15360, Tempo, 517241
1, 15600, Tempo, 504202
1, 15720, Tempo, 528634
1, 15840, Tempo, 535714
1, 15880, Tempo, 533333
1, 15900, Tempo, 530973
1, 15940, Tempo, 528634
1, 15960, Tempo, 526316
1, 16000, Tempo, 524017
1, 16020, Tempo, 521739
1, 16060, Tempo, 519481
1, 16080, Tempo, 517241
