0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Prelude No. 10"
1, 0, Copyright_t, "Copyright \251 1997 by Bernd Krueger http://www.piano-midi.de"
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Molto Allegro"
1, 0, Text_t, "Fertiggestellt am 6.5.97\012"
1, 0, Text_t, "Korrekturen am 27.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 26.12.98\012"
1, 0, Text_t, "Update am 14.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 0:26 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 375000
1, 960, Tempo, 368098
1, 3360, Tempo, 370370
1, 4320, Tempo, 353982
1, 4800, Tempo, 389610
1, 5760, Tempo, 389610
1, 5820, Tempo, 390879
1, 5880, Tempo, 392157
1, 5920, Tempo, 393443
1, 5980, Tempo, 394737
1, 6020, Tempo, 396040
1, 6080, Tempo, 397351
1, 6120, Tempo, 398671
1, 6180, Tempo, 400000
1, 6220, Tempo, 401338
1, 6240, Tempo, 754717
1, 6720, Tempo, 517241
1, 7200, Tempo, 363636
1, 10080, Tempo, 392157
1, 10560, Tempo, 385852
1, 11520, Tempo, 389610
1, 11580, Tempo, 390879
1, 11640, Tempo, 392157
1, 11680, Tempo, 393443
1, 11740, Tempo, 394737
1, 11780, Tempo, 396040
1, 11840, Tempo, 397351
1, 11880, Tempo, 398671
1, 11940, Tempo, 400000
1, 11980, Tempo, 401338
1, 12000, Tempo, 754717
1, 12480, Tempo, 517241
1, 12960, Tempo, 360360
1, 14880, Tempo, 360360
1, 14980, Tempo, 361446
1, 15080, Tempo, 362538
1, 15180, Tempo, 363636
1, 15260, Tempo, 364742
1, 15360, Tempo, 365854
1, 15460, Tempo, 366972
1, 15540, Tempo, 368098
1, 15640, Tempo, 369231
1, 15740, Tempo, 370370
1, 15820, Tempo, 371517
1, 15840, Tempo, 360360
1, 16320, Tempo, 389610
1, 16420, Tempo, 390879
1, 16520, Tempo, 392157
1, 16620, Tempo, 393443
1, 16720, Tempo, 394737
1, 16820, Tempo, 396040
1, 16920, Tempo, 397351
1, 17020, Tempo, 398671
1, 17120, Tempo, 400000
1, 17220, Tempo, 401338
1, 17280, Tempo, 402685
1, 17320, Tempo, 404040
1, 17360, Tempo, 405405
1, 17400, Tempo, 406780
1, 17440, Tempo, 408163
1, 17480, Tempo, 409556
1, 17520, Tempo, 410959
1, 17560, Tempo, 412371
1, 17600, Tempo, 413793
1, 17640, Tempo, 415225
1, 17680, Tempo, 416667
1, 17720, Tempo, 418118
1, 17740, Tempo, 419580
1, 17760, Tempo, 794702
1, 18240, Tempo, 533333
1, 18720, Tempo, 368098
1, 19680, Tempo, 368098
1, 20640, Tempo, 370370
1, 21600, Tempo, 353982
