0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, Title_t, "Prelude No. 11"
1, 0, Copyright_t, "Copyright \251 1997 by Bernd Krueger http://www.piano-midi.de"
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Vivace"
1, 0, Text_t, "Fertiggestellt am 6.5.97\012"
1, 0, Text_t, "Korrekturen am 27.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 26.12.98\012"
1, 0, Text_t, "Update am 14.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 0:33 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 542986
1, 360, Tempo, 375000
1, 480, Tempo, 344828
1, 490, Tempo, 343840
1, 495, Tempo, 342857
1, 500, Tempo, 341880
1, 505, Tempo, 340909
1, 510, Tempo, 339943
1, 520, Tempo, 338983
1, 525, Tempo, 338028
1, 530, Tempo, 337079
1, 535, Tempo, 336134
1, 540, Tempo, 335196
1, 550, Tempo, 334262
1, 555, Tempo, 333333
1, 560, Tempo, 332410
1, 565, Tempo, 331492
1, 570, Tempo, 330579
1, 580, Tempo, 329670
1, 585, Tempo, 328767
1, 590, Tempo, 327869
1, 595, Tempo, 326975
1, 600, Tempo, 326087
1, 690, Tempo, 413793
1, 720, Tempo, 375000
1, 835, Tempo, 361446
1, 840, Tempo, 346821
1, 850, Tempo, 347826
1, 855, Tempo, 348837
1, 865, Tempo, 349854
1, 870, Tempo, 350877
1, 875, Tempo, 351906
1, 885, Tempo, 352941
1, 890, Tempo, 353982
1, 895, Tempo, 355030
1, 905, Tempo, 356083
1, 910, Tempo, 357143
1, 915, Tempo, 358209
1, 925, Tempo, 359281
1, 930, Tempo, 360360
1, 935, Tempo, 361446
1, 945, Tempo, 362538
1, 950, Tempo, 363636
1, 955, Tempo, 364742
1, 960, Tempo, 326975
1, 1080, Tempo, 345821
1, 1200, Tempo, 325203
1, 1205, Tempo, 326087
1, 1210, Tempo, 326975
1, 1215, Tempo, 327869
1, 1220, Tempo, 328767
1, 1225, Tempo, 329670
1, 1230, Tempo, 330579
1, 1235, Tempo, 331492
1, 1240, Tempo, 333333
1, 1245, Tempo, 334262
1, 1250, Tempo, 335196
1, 1255, Tempo, 336134
1, 1260, Tempo, 337079
1, 1265, Tempo, 338028
1, 1270, Tempo, 338983
1, 1275, Tempo, 340909
1, 1280, Tempo, 341880
1, 1285, Tempo, 342857
1, 1290, Tempo, 343840
1, 1295, Tempo, 344828
1, 1300, Tempo, 345821
1, 1305, Tempo, 346821
1, 1310, Tempo, 348837
1, 1315, Tempo, 360360
1, 1320, Tempo, 324324
1, 1440, Tempo, 322581
1, 1445, Tempo, 321716
1, 1475, Tempo, 320856
1, 1500, Tempo, 320000
1, 1525, Tempo, 319149
1, 1550, Tempo, 318302
1, 1580, Tempo, 317460
1, 1605, Tempo, 316623
1, 1630, Tempo, 315789
1, 1655, Tempo, 314961
1, 1685, Tempo, 314136
1, 1710, Tempo, 313316
1, 1735, Tempo, 312500
1, 1760, Tempo, 311688
1, 1765, Tempo, 307692
1, 1770, Tempo, 320000
1, 1800, Tempo, 306122
1, 1820, Tempo, 306905
1, 1840, Tempo, 307692
1, 1860, Tempo, 308483
1, 1880, Tempo, 309278
1, 1900, Tempo, 310078
1, 1920, Tempo, 310881
1, 1940, Tempo, 311688
1, 1960, Tempo, 312500
1, 1975, Tempo, 313316
1, 1995, Tempo, 314136
1, 2015, Tempo, 314961
1, 2035, Tempo, 315789
1, 2055, Tempo, 316623
1, 2075, Tempo, 317460
1, 2095, Tempo, 318302
1, 2115, Tempo, 319149
1, 2135, Tempo, 320000
1, 2150, Tempo, 320856
1, 2155, Tempo, 297767
1, 2160, Tempo, 338028
1, 2280, Tempo, 324324
1, 2880, Tempo, 323450
1, 2940, Tempo, 322581
1, 3000, Tempo, 321716
1, 3060, Tempo, 320856
1, 3115, Tempo, 320000
1, 3175, Tempo, 319149
1, 3235, Tempo, 318302
1, 3295, Tempo, 317460
1, 3350, Tempo, 316623
1, 3360, Tempo, 319149
1, 3480, Tempo, 324324
1, 3600, Tempo, 310078
1, 3720, Tempo, 296296
1, 3900, Tempo, 297767
1, 3915, Tempo, 298507
1, 3930, Tempo, 305344
1, 4005, Tempo, 303797
1, 4015, Tempo, 304569
1, 4020, Tempo, 296296
1, 4200, Tempo, 304569
1, 4380, Tempo, 343840
1, 4615, Tempo, 307692
1, 4620, Tempo, 320000
1, 4680, Tempo, 321716
1, 4685, Tempo, 322581
1, 4690, Tempo, 323450
1, 4695, Tempo, 324324
1, 4700, Tempo, 325203
1, 4705, Tempo, 326975
1, 4710, Tempo, 327869
1, 4715, Tempo, 328767
1, 4720, Tempo, 329670
1, 4725, Tempo, 331492
1, 4730, Tempo, 332410
1, 4735, Tempo, 333333
1, 4740, Tempo, 334262
