0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 12, Opus 28"
1, 0, Copyright_t, "Copyright \251 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Presto"
1, 0, Text_t, "Fertiggestellt am  27.9.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 1:00 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 478927
1, 240, Tempo, 467472
1, 600, Tempo, 471254
1, 720, Tempo, 465658
1, 1200, Tempo, 473149
1, 1440, Tempo, 465658
1, 1920, Tempo, 465658
1, 2160, Tempo, 463822
1, 2360, Tempo, 456621
1, 2440, Tempo, 458435
1, 2480, Tempo, 460193
1, 2640, Tempo, 469373
1, 2760, Tempo, 503482
1, 2880, Tempo, 462000
1, 3000, Tempo, 469373
1, 3120, Tempo, 454856
1, 3360, Tempo, 467472
1, 3600, Tempo, 471254
1, 3840, Tempo, 463822
1, 4320, Tempo, 467472
1, 4800, Tempo, 478927
1, 5040, Tempo, 473149
1, 5240, Tempo, 471254
1, 5320, Tempo, 473149
1, 5400, Tempo, 475059
1, 5440, Tempo, 476948
1, 5520, Tempo, 480846
1, 5540, Tempo, 484809
1, 5560, Tempo, 488838
1, 5580, Tempo, 495009
1, 5600, Tempo, 499168
1, 5620, Tempo, 503482
1, 5660, Tempo, 514447
1, 5760, Tempo, 478927
1, 6000, Tempo, 471254
1, 6240, Tempo, 482820
1, 6360, Tempo, 471254
1, 6480, Tempo, 465658
1, 6960, Tempo, 473149
1, 7200, Tempo, 465658
1, 7680, Tempo, 465658
1, 7920, Tempo, 463822
1, 8120, Tempo, 456621
1, 8200, Tempo, 458435
1, 8240, Tempo, 460193
1, 8400, Tempo, 469373
1, 8540, Tempo, 499168
1, 8640, Tempo, 463822
1, 8760, Tempo, 478927
1, 8880, Tempo, 467472
1, 9120, Tempo, 467472
1, 9360, Tempo, 460193
1, 9600, Tempo, 454856
1, 9840, Tempo, 467472
1, 10080, Tempo, 460193
1, 10560, Tempo, 467472
1, 10800, Tempo, 458435
1, 11280, Tempo, 467472
1, 11520, Tempo, 454856
1, 11640, Tempo, 467472
1, 11760, Tempo, 453138
1, 12000, Tempo, 463822
1, 12240, Tempo, 475059
1, 12480, Tempo, 460193
1, 12720, Tempo, 482820
1, 12960, Tempo, 469373
1, 13200, Tempo, 486815
1, 13440, Tempo, 476948
1, 13680, Tempo, 492935
1, 13920, Tempo, 473149
1, 14160, Tempo, 503482
1, 14280, Tempo, 553148
1, 14400, Tempo, 485751
1, 14640, Tempo, 474533
1, 14880, Tempo, 490878
1, 15120, Tempo, 483832
1, 15360, Tempo, 470921
1, 15600, Tempo, 486815
1, 15720, Tempo, 525947
1, 15840, Tempo, 478927
1, 16080, Tempo, 473149
1, 16320, Tempo, 478927
1, 16440, Tempo, 519031
1, 16560, Tempo, 483832
1, 16800, Tempo, 474533
1, 17040, Tempo, 490878
1, 17280, Tempo, 478927
1, 17520, Tempo, 467472
1, 17760, Tempo, 490878
1, 18000, Tempo, 478927
1, 18240, Tempo, 467472
1, 18480, Tempo, 490878
1, 18600, Tempo, 519031
1, 18720, Tempo, 478927
1, 18960, Tempo, 473149
1, 19200, Tempo, 478927
1, 19440, Tempo, 478927
1, 19680, Tempo, 467472
1, 19920, Tempo, 490878
1, 20040, Tempo, 530645
1, 20160, Tempo, 478927
1, 20400, Tempo, 475059
1, 20760, Tempo, 471254
1, 20880, Tempo, 465658
1, 21360, Tempo, 480846
1, 21480, Tempo, 514447
1, 21600, Tempo, 478927
1, 21840, Tempo, 473149
1, 22200, Tempo, 471254
1, 22320, Tempo, 465658
1, 22800, Tempo, 482820
1, 22920, Tempo, 561010
1, 23040, Tempo, 473149
1, 23740, Tempo, 469373
1, 23760, Tempo, 480846
1, 24120, Tempo, 488838
1, 24240, Tempo, 478927
1, 24480, Tempo, 486815
1, 24500, Tempo, 467472
1, 24580, Tempo, 469373
1, 24640, Tempo, 471254
1, 24720, Tempo, 473149
1, 24780, Tempo, 475059
1, 24860, Tempo, 476948
1, 24920, Tempo, 478927
1, 25000, Tempo, 480846
1, 25060, Tempo, 482820
1, 25140, Tempo, 484809
1, 25160, Tempo, 480846
1, 25220, Tempo, 482820
1, 25260, Tempo, 484809
1, 25300, Tempo, 486815
1, 25360, Tempo, 488838
1, 25400, Tempo, 490878
1, 25440, Tempo, 492935
1, 25480, Tempo, 495009
1, 25540, Tempo, 497100
1, 25580, Tempo, 499168
1, 25620, Tempo, 501337
1, 25660, Tempo, 503482
1, 25680, Tempo, 533096
1, 25700, Tempo, 521286
1, 25720, Tempo, 523606
1, 25740, Tempo, 525947
1, 25760, Tempo, 528309
1, 25800, Tempo, 558347
1, 25920, Tempo, 505604
1, 26160, Tempo, 495009
1, 26400, Tempo, 484809
1, 26520, Tempo, 521286
1, 26640, Tempo, 501337
1, 26880, Tempo, 495009
1, 26900, Tempo, 507829
1, 27240, Tempo, 507829
1, 27360, Tempo, 497100
1, 27380, Tempo, 516707
1, 27480, Tempo, 574713
1, 27600, Tempo, 514447
1, 27960, Tempo, 523606
1, 28080, Tempo, 540443
1, 28300, Tempo, 503482
1, 28320, Tempo, 484809
1, 28360, Tempo, 486815
1, 28380, Tempo, 488838
1, 28400, Tempo, 490878
1, 28440, Tempo, 492935
1, 28460, Tempo, 495009
1, 28480, Tempo, 497100
1, 28520, Tempo, 499168
1, 28540, Tempo, 501337
1, 28560, Tempo, 503482
1, 28800, Tempo, 480846
1, 29040, Tempo, 471254
1, 29400, Tempo, 471254
1, 29520, Tempo, 465658
1, 30000, Tempo, 473149
1, 30240, Tempo, 465658
1, 30720, Tempo, 465658
1, 30960, Tempo, 463822
1, 31160, Tempo, 456621
1, 31240, Tempo, 458435
1, 31280, Tempo, 460193
1, 31440, Tempo, 469373
1, 31680, Tempo, 454856
1, 31800, Tempo, 469373
1, 31920, Tempo, 454856
1, 32160, Tempo, 467472
1, 32400, Tempo, 471254
1, 32640, Tempo, 463822
1, 33120, Tempo, 467472
1, 33600, Tempo, 478927
1, 33840, Tempo, 473149
1, 34040, Tempo, 471254
1, 34120, Tempo, 473149
1, 34200, Tempo, 475059
1, 34240, Tempo, 476948
1, 34320, Tempo, 480846
1, 34340, Tempo, 484809
1, 34360, Tempo, 488838
1, 34380, Tempo, 495009
1, 34400, Tempo, 499168
1, 34420, Tempo, 503482
1, 34460, Tempo, 514447
1, 34560, Tempo, 478927
1, 34800, Tempo, 471254
1, 35040, Tempo, 482820
1, 35160, Tempo, 471254
1, 35280, Tempo, 465658
1, 35760, Tempo, 473149
1, 36000, Tempo, 465658
1, 36480, Tempo, 465658
1, 36720, Tempo, 463822
1, 36920, Tempo, 456621
1, 37000, Tempo, 458435
1, 37040, Tempo, 460193
1, 37200, Tempo, 469373
1, 37440, Tempo, 469962
1, 37560, Tempo, 477441
1, 37680, Tempo, 469962
1, 37920, Tempo, 477441
1, 38160, Tempo, 469962
1, 38280, Tempo, 477441
1, 38400, Tempo, 469962
1, 38640, Tempo, 477441
1, 38880, Tempo, 469962
1, 39000, Tempo, 477441
1, 39120, Tempo, 469962
1, 39360, Tempo, 477441
1, 39600, Tempo, 469962
1, 39720, Tempo, 477441
1, 39840, Tempo, 469962
1, 40080, Tempo, 477441
1, 40320, Tempo, 469962
1, 40440, Tempo, 477441
1, 40560, Tempo, 469962
1, 40800, Tempo, 477441
1, 41040, Tempo, 469962
1, 41160, Tempo, 477441
1, 41280, Tempo, 469962
1, 41520, Tempo, 477441
1, 41760, Tempo, 469962
1, 41880, Tempo, 477441
1, 42000, Tempo, 469962
1, 42240, Tempo, 477441
1, 42480, Tempo, 469962
1, 42600, Tempo, 477441
1, 42720, Tempo, 469962
1, 42960, Tempo, 486815
1, 43080, Tempo, 505604
1, 43200, Tempo, 475059
1, 43320, Tempo, 484809
1, 43440, Tempo, 475059
1, 43680, Tempo, 477441
1, 43920, Tempo, 469962
1, 44040, Tempo, 477441
1, 44160, Tempo, 469962
1, 44400, Tempo, 477441
1, 44640, Tempo, 469962
1, 44760, Tempo, 477441
1, 44880, Tempo, 469962
