0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 17, Opus 28"
1, 0, Copyright_t, "Copyright \251 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Fertiggestellt am 22.10.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 20.7.2003\012"
1, 0, Text_t, "Dauer: 2:43 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 582355
1, 240, Tempo, 573285
1, 720, Tempo, 561640
1, 960, Tempo, 547745
1, 1920, Tempo, 545058
1, 2020, Tempo, 547745
1, 2100, Tempo, 550459
1, 2200, Tempo, 553250
1, 2280, Tempo, 556019
1, 2360, Tempo, 558815
1, 2400, Tempo, 567430
1, 2640, Tempo, 573285
1, 2880, Tempo, 604656
1, 3120, Tempo, 539763
1, 3380, Tempo, 550459
1, 3600, Tempo, 567430
1, 3840, Tempo, 545058
1, 4080, Tempo, 570342
1, 4320, Tempo, 591716
1, 4560, Tempo, 537105
1, 4800, Tempo, 542397
1, 5280, Tempo, 564546
1, 5520, Tempo, 576314
1, 5760, Tempo, 588524
1, 6000, Tempo, 542397
1, 6240, Tempo, 550459
1, 6960, Tempo, 573285
1, 7440, Tempo, 556019
1, 7680, Tempo, 579318
1, 7920, Tempo, 556019
1, 8160, Tempo, 564546
1, 8640, Tempo, 594884
1, 8880, Tempo, 542397
1, 9120, Tempo, 550459
1, 9840, Tempo, 573285
1, 10320, Tempo, 556019
1, 10560, Tempo, 579318
1, 10800, Tempo, 556019
1, 11040, Tempo, 564546
1, 11520, Tempo, 594884
1, 11760, Tempo, 542397
1, 12000, Tempo, 550459
1, 12720, Tempo, 585423
1, 12960, Tempo, 573285
1, 13200, Tempo, 550459
1, 14160, Tempo, 582355
1, 14400, Tempo, 604656
1, 14640, Tempo, 539763
1, 14900, Tempo, 550459
1, 15120, Tempo, 567430
1, 15360, Tempo, 545058
1, 15600, Tempo, 570342
1, 15840, Tempo, 591716
1, 16080, Tempo, 537105
1, 16320, Tempo, 542397
1, 16800, Tempo, 564546
1, 17040, Tempo, 576314
1, 17280, Tempo, 588524
1, 17520, Tempo, 542397
1, 17760, Tempo, 550459
1, 18480, Tempo, 573285
1, 18960, Tempo, 556019
1, 19200, Tempo, 579318
1, 19440, Tempo, 556019
1, 19680, Tempo, 564546
1, 20160, Tempo, 594884
1, 20400, Tempo, 542397
1, 20640, Tempo, 550459
1, 21360, Tempo, 573285
1, 21840, Tempo, 556019
1, 22080, Tempo, 604656
1, 22320, Tempo, 561640
1, 22560, Tempo, 579318
1, 23040, Tempo, 621633
1, 23280, Tempo, 564546
1, 23520, Tempo, 573285
1, 24000, Tempo, 588524
1, 24240, Tempo, 604656
1, 24360, Tempo, 682982
1, 24480, Tempo, 585423
1, 24720, Tempo, 564546
1, 25440, Tempo, 582355
1, 25680, Tempo, 601323
1, 25920, Tempo, 582355
1, 26160, Tempo, 567430
1, 26640, Tempo, 553250
1, 26880, Tempo, 582355
1, 27360, Tempo, 576314
1, 27600, Tempo, 561640
1, 27680, Tempo, 558815
1, 27760, Tempo, 556019
1, 27820, Tempo, 553250
1, 27900, Tempo, 550459
1, 27980, Tempo, 547745
1, 28040, Tempo, 545058
1, 28080, Tempo, 545058
1, 28320, Tempo, 564546
1, 28800, Tempo, 567430
1, 29040, Tempo, 550459
1, 29520, Tempo, 545058
1, 29760, Tempo, 564546
1, 30240, Tempo, 567430
1, 30480, Tempo, 550459
1, 30720, Tempo, 542397
1, 30960, Tempo, 545058
1, 31200, Tempo, 564546
1, 31680, Tempo, 567430
1, 31920, Tempo, 550459
1, 32400, Tempo, 545058
1, 32640, Tempo, 564546
1, 33120, Tempo, 567430
1, 33360, Tempo, 550459
1, 33840, Tempo, 545058
1, 34080, Tempo, 564546
1, 34320, Tempo, 579318
1, 34560, Tempo, 567430
1, 34800, Tempo, 550459
1, 35280, Tempo, 545058
1, 35520, Tempo, 564546
1, 35760, Tempo, 585423
1, 36000, Tempo, 576314
1, 36240, Tempo, 564546
1, 36500, Tempo, 576314
1, 36720, Tempo, 556019
1, 36960, Tempo, 576314
1, 37440, Tempo, 567430
1, 37680, Tempo, 550459
1, 37920, Tempo, 542397
1, 38160, Tempo, 545058
1, 38400, Tempo, 564546
1, 38880, Tempo, 567430
1, 39120, Tempo, 550459
1, 39600, Tempo, 545058
1, 39840, Tempo, 564546
1, 40320, Tempo, 567430
1, 40560, Tempo, 550459
1, 40800, Tempo, 542397
1, 41040, Tempo, 545058
1, 41280, Tempo, 564546
1, 41760, Tempo, 567430
1, 42000, Tempo, 550459
1, 42480, Tempo, 545058
1, 42720, Tempo, 564546
1, 43200, Tempo, 567430
1, 43440, Tempo, 550459
1, 43680, Tempo, 542397
1, 43920, Tempo, 545058
1, 44160, Tempo, 564546
1, 44640, Tempo, 567430
1, 44880, Tempo, 550459
1, 45120, Tempo, 542397
1, 45360, Tempo, 545058
1, 45600, Tempo, 564546
1, 46080, Tempo, 567430
1, 46320, Tempo, 550459
1, 46560, Tempo, 542397
1, 46800, Tempo, 545058
1, 47040, Tempo, 564546
1, 47520, Tempo, 567430
1, 47760, Tempo, 550459
1, 48000, Tempo, 542397
1, 48240, Tempo, 545058
1, 48480, Tempo, 564546
1, 48960, Tempo, 604656
1, 49200, Tempo, 539763
1, 49460, Tempo, 550459
1, 49680, Tempo, 567430
1, 49920, Tempo, 545058
1, 50160, Tempo, 570342
1, 50400, Tempo, 591716
1, 50640, Tempo, 537105
1, 50880, Tempo, 542397
1, 51360, Tempo, 564546
1, 51600, Tempo, 576314
1, 51840, Tempo, 588524
1, 52080, Tempo, 542397
1, 52320, Tempo, 550459
1, 53040, Tempo, 573285
1, 53520, Tempo, 556019
1, 53760, Tempo, 579318
1, 54000, Tempo, 556019
1, 54240, Tempo, 564546
1, 54720, Tempo, 594884
1, 54960, Tempo, 542397
1, 55200, Tempo, 550459
1, 55920, Tempo, 573285
1, 56160, Tempo, 585423
1, 56400, Tempo, 570342
1, 56640, Tempo, 579318
1, 56880, Tempo, 567430
1, 57120, Tempo, 579318
1, 57600, Tempo, 648649
1, 57840, Tempo, 567430
1, 58080, Tempo, 585423
1, 58560, Tempo, 576314
1, 58800, Tempo, 607964
1, 58920, Tempo, 662544
1, 59040, Tempo, 588524
1, 59280, Tempo, 564546
1, 60000, Tempo, 564546
1, 60020, Tempo, 576314
1, 60240, Tempo, 601323
1, 60480, Tempo, 576314
1, 60720, Tempo, 561640
1, 60960, Tempo, 573285
1, 61140, Tempo, 526870
1, 61200, Tempo, 553250
1, 61440, Tempo, 576314
1, 61920, Tempo, 582355
1, 62160, Tempo, 564546
1, 62400, Tempo, 553250
1, 62640, Tempo, 561640
1, 62880, Tempo, 564546
1, 63360, Tempo, 567430
1, 63600, Tempo, 550459
1, 64080, Tempo, 545058
1, 64320, Tempo, 564546
1, 64680, Tempo, 576314
1, 64800, Tempo, 567430
1, 65040, Tempo, 550459
1, 65280, Tempo, 542397
1, 65520, Tempo, 545058
1, 65760, Tempo, 564546
1, 66240, Tempo, 567430
1, 66480, Tempo, 550459
1, 66720, Tempo, 561640
1, 66900, Tempo, 526870
1, 66960, Tempo, 545058
1, 67200, Tempo, 564546
1, 67680, Tempo, 567430
1, 67920, Tempo, 550459
1, 68160, Tempo, 542397
1, 68400, Tempo, 545058
1, 68640, Tempo, 564546
1, 69120, Tempo, 567430
1, 69360, Tempo, 550459
1, 69840, Tempo, 545058
1, 70080, Tempo, 564546
1, 70440, Tempo, 576314
1, 70560, Tempo, 567430
1, 70800, Tempo, 550459
1, 71040, Tempo, 542397
1, 71280, Tempo, 545058
1, 71520, Tempo, 564546
1, 71760, Tempo, 573285
1, 72240, Tempo, 550459
1, 72720, Tempo, 564546
1, 72960, Tempo, 550459
1, 73200, Tempo, 576314
1, 73440, Tempo, 553250
1, 73680, Tempo, 550459
1, 74160, Tempo, 564546
1, 74400, Tempo, 550459
1, 74640, Tempo, 579318
1, 74880, Tempo, 553250
1, 75120, Tempo, 550459
1, 75600, Tempo, 564546
1, 75840, Tempo, 550459
1, 76320, Tempo, 539763
1, 76560, Tempo, 545058
1, 76640, Tempo, 547745
1, 76720, Tempo, 550459
1, 76800, Tempo, 553250
1, 76880, Tempo, 556019
1, 76960, Tempo, 558815
1, 77040, Tempo, 561640
1, 77120, Tempo, 564546
1, 77200, Tempo, 567430
1, 77280, Tempo, 570342
1, 77360, Tempo, 573285
1, 77440, Tempo, 576314
1, 77500, Tempo, 579318
1, 77760, Tempo, 567430
1, 78000, Tempo, 550459
1, 78480, Tempo, 545058
1, 78720, Tempo, 564546
1, 78960, Tempo, 579318
1, 79200, Tempo, 560748
1, 79320, Tempo, 509901
1, 79440, Tempo, 550459
1, 79920, Tempo, 545058
1, 80160, Tempo, 564546
1, 80640, Tempo, 567430
1, 80880, Tempo, 550459
1, 81120, Tempo, 542397
1, 81360, Tempo, 545058
1, 81600, Tempo, 564546
1, 82080, Tempo, 567430
1, 82320, Tempo, 550459
1, 82800, Tempo, 545058
1, 83040, Tempo, 564546
1, 83520, Tempo, 567430
1, 83760, Tempo, 550459
1, 84000, Tempo, 542397
1, 84240, Tempo, 545058
1, 84480, Tempo, 564546
1, 84960, Tempo, 567430
1, 85200, Tempo, 550459
1, 85680, Tempo, 545058
1, 85920, Tempo, 564546
1, 86400, Tempo, 567430
1, 86640, Tempo, 550459
1, 86880, Tempo, 542397
1, 87120, Tempo, 545058
1, 87360, Tempo, 550459
1, 87412, Tempo, 552995
1, 87424, Tempo, 555556
1, 87440, Tempo, 558140
1, 87452, Tempo, 560748
1, 87492, Tempo, 558140
1, 87504, Tempo, 550459
1, 87532, Tempo, 555556
1, 87560, Tempo, 563380
1, 87600, Tempo, 560748
1, 87612, Tempo, 555556
1, 87624, Tempo, 552995
1, 87680, Tempo, 560748
1, 87692, Tempo, 563380
1, 87720, Tempo, 560748
1, 87732, Tempo, 558140
1, 87760, Tempo, 555556
1, 87784, Tempo, 558140
1, 87840, Tempo, 558140
1, 87880, Tempo, 555556
1, 87904, Tempo, 552995
1, 87944, Tempo, 550459
1, 87972, Tempo, 547945
1, 88012, Tempo, 545455
1, 88040, Tempo, 542986
1, 88080, Tempo, 540541
1, 88320, Tempo, 530973
1, 88560, Tempo, 545058
1, 88800, Tempo, 555556
1, 88812, Tempo, 552995
1, 88824, Tempo, 550459
1, 88852, Tempo, 547945
1, 88880, Tempo, 558140
1, 88892, Tempo, 560748
1, 88932, Tempo, 555556
1, 88944, Tempo, 550459
1, 88960, Tempo, 547945
1, 88984, Tempo, 550459
1, 89000, Tempo, 558140
1, 89012, Tempo, 563380
1, 89052, Tempo, 560748
1, 89064, Tempo, 558140
1, 89080, Tempo, 555556
1, 89092, Tempo, 550459
1, 89120, Tempo, 552995
1, 89132, Tempo, 558140
1, 89252, Tempo, 563380
1, 89280, Tempo, 563380
1, 89360, Tempo, 560748
1, 89440, Tempo, 558140
1, 89480, Tempo, 555556
1, 89560, Tempo, 552995
1, 89600, Tempo, 550459
1, 89680, Tempo, 547945
1, 89760, Tempo, 545455
1, 89800, Tempo, 542986
1, 89880, Tempo, 540541
1, 89920, Tempo, 538117
1, 89960, Tempo, 538117
1, 90040, Tempo, 540541
1, 90120, Tempo, 542986
1, 90200, Tempo, 545455
1, 90240, Tempo, 547945
1, 90320, Tempo, 550459
1, 90400, Tempo, 552995
1, 90440, Tempo, 555556
1, 90520, Tempo, 558140
1, 90600, Tempo, 560748
1, 90640, Tempo, 563380
1, 90720, Tempo, 567430
1, 90960, Tempo, 550459
1, 91200, Tempo, 550459
1, 91260, Tempo, 553250
1, 91320, Tempo, 556019
1, 91380, Tempo, 558815
1, 91420, Tempo, 561640
1, 91440, Tempo, 560748
1, 91480, Tempo, 563380
1, 91520, Tempo, 568720
1, 91560, Tempo, 571429
1, 91600, Tempo, 576923
1, 91640, Tempo, 579710
1, 91680, Tempo, 585366
1, 91720, Tempo, 591133
1, 91760, Tempo, 594059
1, 91800, Tempo, 600000
1, 91840, Tempo, 603015
1, 91880, Tempo, 609137
1, 91920, Tempo, 615385
1, 92040, Tempo, 689655
1, 92160, Tempo, 722892
