0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 23, Opus 28"
1, 0, Copyright_t, "Copyright \251 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Moderato"
1, 0, Text_t, "Fertiggestellt am  15.12.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 0:54 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 400000
1, 1680, Tempo, 576923
1, 1920, Tempo, 542986
1, 2400, Tempo, 537201
1, 3840, Tempo, 530879
1, 4300, Tempo, 558140
1, 4320, Tempo, 563380
1, 4340, Tempo, 560748
1, 4360, Tempo, 558140
1, 4380, Tempo, 555556
1, 4400, Tempo, 552995
1, 4420, Tempo, 550459
1, 4440, Tempo, 547945
1, 4460, Tempo, 545455
1, 4480, Tempo, 542986
1, 4500, Tempo, 540541
1, 4540, Tempo, 542986
1, 4560, Tempo, 545455
1, 4580, Tempo, 547945
1, 4600, Tempo, 550459
1, 4620, Tempo, 552995
1, 4640, Tempo, 555556
1, 4660, Tempo, 558140
1, 4680, Tempo, 560748
1, 4720, Tempo, 563910
1, 4800, Tempo, 543626
1, 6240, Tempo, 535045
1, 6480, Tempo, 547995
1, 6720, Tempo, 535045
1, 7680, Tempo, 535045
1, 7720, Tempo, 543626
1, 8160, Tempo, 530879
1, 8440, Tempo, 545802
1, 8640, Tempo, 535045
1, 8760, Tempo, 555556
1, 9480, Tempo, 574163
1, 9600, Tempo, 543626
1, 10080, Tempo, 537201
1, 11520, Tempo, 530879
1, 12000, Tempo, 566038
1, 12040, Tempo, 563380
1, 12060, Tempo, 560748
1, 12080, Tempo, 558140
1, 12100, Tempo, 555556
1, 12120, Tempo, 552995
1, 12140, Tempo, 550459
1, 12160, Tempo, 547945
1, 12180, Tempo, 545455
1, 12200, Tempo, 542986
1, 12240, Tempo, 552486
1, 12280, Tempo, 554734
1, 12320, Tempo, 557000
1, 12360, Tempo, 559284
1, 12400, Tempo, 563910
1, 12480, Tempo, 543626
1, 13920, Tempo, 535045
1, 14160, Tempo, 547995
1, 14400, Tempo, 535045
1, 15360, Tempo, 535045
1, 15400, Tempo, 543626
1, 15840, Tempo, 530879
1, 16120, Tempo, 545802
1, 16320, Tempo, 535045
1, 16440, Tempo, 552995
1, 17280, Tempo, 543626
1, 17760, Tempo, 537201
1, 19200, Tempo, 530879
1, 19680, Tempo, 563380
1, 19720, Tempo, 560748
1, 19740, Tempo, 558140
1, 19760, Tempo, 555556
1, 19780, Tempo, 552995
1, 19800, Tempo, 550459
1, 19820, Tempo, 547945
1, 19840, Tempo, 545455
1, 19860, Tempo, 542986
1, 19880, Tempo, 540541
1, 19900, Tempo, 538117
1, 19920, Tempo, 535714
1, 19960, Tempo, 554734
1, 20000, Tempo, 557000
1, 20040, Tempo, 559284
1, 20080, Tempo, 563910
1, 20160, Tempo, 543626
1, 21600, Tempo, 535045
1, 21840, Tempo, 547995
1, 22080, Tempo, 535045
1, 23040, Tempo, 535045
1, 23080, Tempo, 543626
1, 23520, Tempo, 530879
1, 23800, Tempo, 545802
1, 24000, Tempo, 547945
1, 24720, Tempo, 558140
1, 24960, Tempo, 535045
1, 25000, Tempo, 543626
1, 25440, Tempo, 530879
1, 25720, Tempo, 545802
1, 25920, Tempo, 535045
1, 26880, Tempo, 535045
1, 26920, Tempo, 543626
1, 27360, Tempo, 530879
1, 27640, Tempo, 545802
1, 27840, Tempo, 535045
1, 28800, Tempo, 535045
1, 28840, Tempo, 543626
1, 29280, Tempo, 530879
1, 29560, Tempo, 545802
1, 29760, Tempo, 535045
1, 30600, Tempo, 745342
1, 30720, Tempo, 535045
1, 30760, Tempo, 543626
1, 31200, Tempo, 530879
1, 31480, Tempo, 545802
1, 31680, Tempo, 552995
1, 32400, Tempo, 568720
1, 32640, Tempo, 543626
1, 33120, Tempo, 537201
1, 34560, Tempo, 530879
1, 35040, Tempo, 558140
1, 35060, Tempo, 555556
1, 35080, Tempo, 552995
