0, 0, Header, 1, 10, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 689655
1, 60, Tempo, 697674
1, 120, Tempo, 705882
1, 180, Tempo, 714286
1, 240, Tempo, 722892
1, 300, Tempo, 731707
1, 360, Tempo, 740741
1, 420, Tempo, 750000
1, 480, Tempo, 759494
1, 535, Tempo, 750000
1, 590, Tempo, 740741
1, 640, Tempo, 731707
1, 695, Tempo, 722892
1, 750, Tempo, 714286
1, 800, Tempo, 705882
1, 855, Tempo, 697674
1, 910, Tempo, 689655
1, 960, Tempo, 681818
1, 1040, Tempo, 689655
1, 1120, Tempo, 697674
1, 1195, Tempo, 705882
1, 1275, Tempo, 714286
1, 1355, Tempo, 722892
1, 1430, Tempo, 731707
1, 1440, Tempo, 681818
1, 1470, Tempo, 689655
1, 1500, Tempo, 697674
1, 1530, Tempo, 705882
1, 1560, Tempo, 714286
1, 1590, Tempo, 722892
1, 1620, Tempo, 731707
1, 1650, Tempo, 740741
1, 1675, Tempo, 750000
1, 1685, Tempo, 740741
1, 1690, Tempo, 731707
1, 1700, Tempo, 722892
1, 1705, Tempo, 714286
1, 1710, Tempo, 705882
1, 1720, Tempo, 697674
1, 1725, Tempo, 689655
1, 1730, Tempo, 681818
1, 1740, Tempo, 674157
1, 1745, Tempo, 666667
1, 1755, Tempo, 659341
1, 1760, Tempo, 652174
1, 1765, Tempo, 645161
1, 1775, Tempo, 638298
1, 1780, Tempo, 631579
1, 1785, Tempo, 625000
1, 1795, Tempo, 618557
1, 1800, Tempo, 612245
1, 1805, Tempo, 606061
1, 1815, Tempo, 612245
1, 1825, Tempo, 618557
1, 1835, Tempo, 625000
1, 1845, Tempo, 631579
1, 1855, Tempo, 638298
1, 1865, Tempo, 645161
1, 1875, Tempo, 652174
1, 1885, Tempo, 659341
1, 1895, Tempo, 666667
1, 1905, Tempo, 674157
1, 1915, Tempo, 681818
1, 1925, Tempo, 689655
1, 1930, Tempo, 697674
1, 2155, Tempo, 697674
1, 2175, Tempo, 705882
1, 2195, Tempo, 714286
1, 2215, Tempo, 722892
1, 2230, Tempo, 731707
1, 2250, Tempo, 740741
1, 2270, Tempo, 750000
1, 2285, Tempo, 759494
1, 2305, Tempo, 750000
1, 2320, Tempo, 740741
1, 2335, Tempo, 731707
1, 2355, Tempo, 722892
1, 2370, Tempo, 714286
1, 2385, Tempo, 705882
1, 2400, Tempo, 697674
1, 2760, Tempo, 697674
1, 2780, Tempo, 705882
1, 2800, Tempo, 714286
1, 2820, Tempo, 722892
1, 2835, Tempo, 731707
1, 2855, Tempo, 740741
1, 2875, Tempo, 750000
1, 2890, Tempo, 759494
1, 2910, Tempo, 750000
1, 2925, Tempo, 740741
1, 2940, Tempo, 731707
1, 2960, Tempo, 722892
1, 2975, Tempo, 714286
1, 2990, Tempo, 705882
1, 3005, Tempo, 697674
1, 3600, Tempo, 681818
1, 3635, Tempo, 674157
1, 3670, Tempo, 666667
1, 3705, Tempo, 659341
1, 3740, Tempo, 652174
1, 3775, Tempo, 645161
1, 3810, Tempo, 638298
1, 3845, Tempo, 631579
1, 4555, Tempo, 638298
1, 4610, Tempo, 645161
1, 4665, Tempo, 652174
1, 4715, Tempo, 659341
1, 4770, Tempo, 666667
1, 4825, Tempo, 674157
1, 4875, Tempo, 681818
1, 4930, Tempo, 689655
1, 4985, Tempo, 697674
1, 5035, Tempo, 705882
1, 5280, Tempo, 714286
1, 5310, Tempo, 705882
1, 5340, Tempo, 697674
1, 5370, Tempo, 689655
1, 5400, Tempo, 681818
1, 5430, Tempo, 674157
1, 5460, Tempo, 666667
1, 5490, Tempo, 659341
1, 5520, Tempo, 652174
1, 6595, Tempo, 659341
1, 6630, Tempo, 666667
1, 6665, Tempo, 674157
1, 6700, Tempo, 681818
1, 6735, Tempo, 689655
1, 6770, Tempo, 697674
1, 6800, Tempo, 705882
1, 6835, Tempo, 714286
1, 6870, Tempo, 722892
1, 6905, Tempo, 731707
1, 6940, Tempo, 740741
1, 6970, Tempo, 750000
1, 6995, Tempo, 740741
1, 7020, Tempo, 731707
1, 7040, Tempo, 722892
1, 7065, Tempo, 714286
1, 7085, Tempo, 705882
1, 7110, Tempo, 697674
1, 7135, Tempo, 689655
1, 7155, Tempo, 681818
1, 7180, Tempo, 674157
1, 7200, Tempo, 666667
1, 7680, Tempo, 666667
1, 7725, Tempo, 674157
1, 7765, Tempo, 681818
1, 7810, Tempo, 689655
1, 7850, Tempo, 697674
1, 7890, Tempo, 705882
1, 7935, Tempo, 714286
1, 7975, Tempo, 722892
1, 8020, Tempo, 731707
1, 8060, Tempo, 740741
1, 8100, Tempo, 750000
1, 8110, Tempo, 740741
