0, 0, Header, 1, 6, 192
1, 0, Start_track
1, 0, Sequencer_specific, 0A, 00, 00, 5B, 23, 02, 00, 03, 00, 33, 00
1, 0, Title_t, "Scherzo n\2601 in Si minore, Op.20"
1, 0, MIDI_port, 0
1, 0, Text_t, "By Fryderyk Chopin (1810-1849)"
1, 0, Copyright_t, "Copyright \251 2003 by Dario Galimberti - http://dariogalimberti.interfree.it"
1, 0, Tempo, 223880
1, 0, Key_signature, 2, "major"
1, 0, Time_signature, 3, 2, 24, 8
1, 4608, Tempo, 171428
1, 24384, Tempo, 181268
1, 24576, Tempo, 248962
1, 24768, Tempo, 317460
1, 24960, Tempo, 227272
1, 25152, Tempo, 212765
1, 25344, Tempo, 208333
1, 26112, Tempo, 242914
1, 26496, Tempo, 232558
1, 26688, Tempo, 171428
1, 26880, Tempo, 256410
1, 27072, Tempo, 171428
1, 27264, Tempo, 196721
1, 27456, Tempo, 215827
1, 27648, Tempo, 171428
1, 28032, Tempo, 186335
1, 28416, Tempo, 178041
1, 28608, Tempo, 223048
1, 28800, Tempo, 180180
1, 29184, Tempo, 229007
1, 29376, Tempo, 176991
1, 29568, Tempo, 157068
1, 29760, Tempo, 176991
1, 29952, Tempo, 248962
1, 30144, Tempo, 189873
1, 30528, Tempo, 208333
1, 30720, Tempo, 204081
1, 31104, Tempo, 257510
1, 31296, Tempo, 224719
1, 31680, Tempo, 327868
1, 31872, Tempo, 257510
1, 32064, Tempo, 428571
1, 32256, Tempo, 310880
1, 32640, Tempo, 375000
1, 32832, Tempo, 297029
1, 33984, Tempo, 224719
1, 34176, Tempo, 214285
1, 34368, Tempo, 257510
1, 34560, Tempo, 185758
1, 35136, Tempo, 731707
1, 35184, Tempo, 233463
1, 36288, Tempo, 266666
1, 36480, Tempo, 200000
1, 36672, Tempo, 625000
1, 36864, Tempo, 263157
1, 38016, Tempo, 405405
1, 38592, Time_signature, 1, 2, 24, 8
1, 38784, Tempo, 171428
1, 38784, Time_signature, 3, 2, 24, 8
1, 66432, Tempo, 226415
1, 66720, Tempo, 211267
1, 67008, Tempo, 196721
1, 67296, Tempo, 181268
1, 67584, Tempo, 241935
1, 67872, Tempo, 211267
1, 68160, Tempo, 256410
1, 68448, Tempo, 241935
1, 68736, Tempo, 226415
1, 69024, Tempo, 211267
1, 69312, Tempo, 196721
1, 69600, Tempo, 181268
1, 69888, Tempo, 241935
1, 70176, Tempo, 211267
1, 70464, Tempo, 256410
1, 70752, Tempo, 241935
1, 71040, Tempo, 171428
1, 90816, Tempo, 181268
1, 91008, Tempo, 248962
1, 91200, Tempo, 317460
1, 91392, Tempo, 227272
1, 91584, Tempo, 212765
1, 91776, Tempo, 208333
1, 92544, Tempo, 242914
1, 92928, Tempo, 232558
1, 93120, Tempo, 171428
1, 93312, Tempo, 256410
1, 93504, Tempo, 171428
1, 93696, Tempo, 196721
1, 93888, Tempo, 215827
1, 94080, Tempo, 171428
1, 94464, Tempo, 186335
1, 94848, Tempo, 178041
1, 95040, Tempo, 223048
1, 95232, Tempo, 180180
1, 95616, Tempo, 229007
1, 95808, Tempo, 176991
1, 96000, Tempo, 157068
1, 96192, Tempo, 176991
1, 96384, Tempo, 248962
1, 96576, Tempo, 189873
1, 96960, Tempo, 208333
1, 97152, Tempo, 204081
1, 97536, Tempo, 257510
1, 97728, Tempo, 224719
1, 98112, Tempo, 327868
1, 98304, Tempo, 257510
1, 98496, Tempo, 428571
1, 98688, Tempo, 310880
