0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Sonate opus 35, 2. Satz"
1, 0, Copyright_t, "Copyright \251 2002 by Bernd Krueger"
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Scherzo"
1, 0, Text_t, "Fertiggestellt am 1.3.2002\012"
1, 0, Text_t, "Update am 22.3.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 6:33 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -6, "major"
1, 0, Tempo, 320410
1, 960, Tempo, 282992
1, 1440, Tempo, 264271
1, 1680, Tempo, 269227
1, 1920, Tempo, 263667
1, 2160, Tempo, 281070
1, 2320, Tempo, 265498
1, 2360, Tempo, 266111
1, 2400, Tempo, 283152
1, 2880, Tempo, 275141
1, 3360, Tempo, 271358
1, 3840, Tempo, 268601
1, 4080, Tempo, 283849
1, 4320, Tempo, 263667
1, 4560, Tempo, 269227
1, 4800, Tempo, 263667
1, 5040, Tempo, 284549
1, 5200, Tempo, 266111
1, 5240, Tempo, 266111
1, 5280, Tempo, 279707
1, 5760, Tempo, 273623
1, 6240, Tempo, 270636
1, 6720, Tempo, 267344
1, 6960, Tempo, 282459
1, 7200, Tempo, 260677
1, 7440, Tempo, 266111
1, 7640, Tempo, 266726
1, 7680, Tempo, 261860
1, 7920, Tempo, 283849
1, 8120, Tempo, 265498
1, 8160, Tempo, 273623
1, 8640, Tempo, 263667
1, 8880, Tempo, 267965
1, 9120, Tempo, 264271
1, 9360, Tempo, 284549
1, 9600, Tempo, 277008
1, 10080, Tempo, 265498
1, 10320, Tempo, 269857
1, 10560, Tempo, 267344
1, 10800, Tempo, 275685
1, 11040, Tempo, 279031
1, 11520, Tempo, 284158
1, 12000, Tempo, 276676
1, 12480, Tempo, 281386
1, 12920, Tempo, 273710
1, 13080, Tempo, 273062
1, 13200, Tempo, 272418
1, 13320, Tempo, 271776
1, 13440, Tempo, 271125
1, 13560, Tempo, 270490
1, 13680, Tempo, 269857
1, 13840, Tempo, 269227
1, 13960, Tempo, 268601
1, 14080, Tempo, 267965
1, 14200, Tempo, 267344
1, 14320, Tempo, 266726
1, 14440, Tempo, 266111
1, 14880, Tempo, 269227
1, 15360, Tempo, 277675
1, 16320, Tempo, 273062
1, 16800, Tempo, 282992
1, 17280, Tempo, 277008
1, 17760, Tempo, 279031
1, 18240, Tempo, 281756
1, 18720, Tempo, 279799
1, 19200, Tempo, 280387
1, 19680, Tempo, 288018
1, 20160, Tempo, 284914
1, 20640, Tempo, 293269
1, 21120, Tempo, 284549
1, 21600, Tempo, 289589
1, 24480, Tempo, 276727
1, 24960, Tempo, 283393
1, 25920, Tempo, 276727
1, 26400, Tempo, 284158
1, 27360, Tempo, 277457
1, 27840, Tempo, 283393
1, 30240, Tempo, 263066
1, 30480, Tempo, 269227
1, 30680, Tempo, 265498
1, 30960, Tempo, 283849
1, 31120, Tempo, 266111
1, 31160, Tempo, 266252
1, 31200, Tempo, 279005
1, 31680, Tempo, 275141
1, 32160, Tempo, 271358
1, 32640, Tempo, 267965
1, 32880, Tempo, 283152
1, 33120, Tempo, 263066
1, 33360, Tempo, 267965
1, 33600, Tempo, 264877
1, 33840, Tempo, 285252
1, 34040, Tempo, 265498
1, 34080, Tempo, 278229
1, 34560, Tempo, 273623
1, 35040, Tempo, 270636
1, 35520, Tempo, 267344
1, 35760, Tempo, 279707
1, 36000, Tempo, 260089
1, 36240, Tempo, 264271
1, 36440, Tempo, 266726
1, 36480, Tempo, 261267
1, 36720, Tempo, 275685
1, 36960, Tempo, 273623
1, 37440, Tempo, 263667
1, 37680, Tempo, 269227
1, 37880, Tempo, 266111
1, 37920, Tempo, 265498
1, 38200, Tempo, 276345
1, 38400, Tempo, 273623
1, 38880, Tempo, 263066
1, 39120, Tempo, 268601
1, 39360, Tempo, 265498
1, 39600, Tempo, 268601
1, 39840, Tempo, 286451
1, 40320, Tempo, 284158
1, 40800, Tempo, 276676
1, 41280, Tempo, 281386
1, 41760, Tempo, 275887
1, 41800, Tempo, 273062
1, 41960, Tempo, 272418
1, 42080, Tempo, 271776
1, 42240, Tempo, 271125
1, 42360, Tempo, 270490
1, 42520, Tempo, 269857
1, 42640, Tempo, 269227
1, 42800, Tempo, 268601
1, 42920, Tempo, 267965
1, 43080, Tempo, 267344
1, 43200, Tempo, 266726
1, 43680, Tempo, 271358
1, 44160, Tempo, 277675
1, 45120, Tempo, 274361
1, 45600, Tempo, 282992
1, 46080, Tempo, 277008
1, 46560, Tempo, 279707
1, 47040, Tempo, 281756
1, 47520, Tempo, 279799
1, 48000, Tempo, 280387
1, 48480, Tempo, 288018
1, 48960, Tempo, 284914
1, 49440, Tempo, 283152
1, 49920, Tempo, 281070
1, 50880, Tempo, 273710
1, 51360, Tempo, 278345
1, 51840, Tempo, 284549
1, 53720, Tempo, 281889
1, 53760, Tempo, 280387
1, 54000, Tempo, 279655
1, 54240, Tempo, 278914
1, 54480, Tempo, 278190
1, 54720, Tempo, 277457
1, 54960, Tempo, 276727
1, 55200, Tempo, 276014
1, 55440, Tempo, 275292
1, 55680, Tempo, 274574
1, 55920, Tempo, 273873
1, 56160, Tempo, 273162
1, 58080, Tempo, 269857
1, 58440, Tempo, 295523
1, 58560, Tempo, 284914
1, 59520, Tempo, 279655
1, 59800, Tempo, 278914
1, 60080, Tempo, 278190
1, 60320, Tempo, 277457
1, 60600, Tempo, 276727
1, 60880, Tempo, 276014
1, 61120, Tempo, 275292
1, 61400, Tempo, 274574
1, 61680, Tempo, 273873
1, 61920, Tempo, 273162
1, 63840, Tempo, 269227
1, 64240, Tempo, 293269
1, 64320, Tempo, 284914
1, 65280, Tempo, 275292
1, 65760, Tempo, 279655
1, 66120, Tempo, 276727
1, 66280, Tempo, 276014
1, 66720, Tempo, 273710
1, 67200, Tempo, 281136
1, 67680, Tempo, 275292
1, 68160, Tempo, 273062
1, 68640, Tempo, 281136
1, 69120, Tempo, 275292
1, 69600, Tempo, 272418
1, 70080, Tempo, 279655
1, 70560, Tempo, 275292
1, 71040, Tempo, 272418
1, 71520, Tempo, 279655
1, 72000, Tempo, 281756
1, 72360, Tempo, 298597
1, 72480, Tempo, 275685
1, 72720, Tempo, 278345
1, 72960, Tempo, 285973
1, 73320, Tempo, 297059
1, 73440, Tempo, 286684
1, 73920, Tempo, 277008
1, 74400, Tempo, 281756
1, 74880, Tempo, 285252
1, 75240, Tempo, 299371
1, 75360, Tempo, 278345
1, 75400, Tempo, 275685
1, 75600, Tempo, 278345
1, 75840, Tempo, 289575
1, 76320, Tempo, 285252
1, 76800, Tempo, 279031
1, 77320, Tempo, 281756
1, 77760, Tempo, 285252
1, 78120, Tempo, 300150
1, 78240, Tempo, 277457
