0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, SMPTE_offset, 96, 0, 0, 0, 0
1, 0, Tempo, 625000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Marker_t, "Chopin"
1, 1920, Tempo, 625000
1, 1920, Marker_t, "Etude,  Op.posth"
1, 3610, Tempo, 638297
1, 3840, Tempo, 652173
1, 3840, Marker_t, "Bunji Hisamori"
1, 4080, Tempo, 631578
1, 5520, Tempo, 645161
1, 5760, Tempo, 659340
1, 5760, Marker_t, "Jan.  2000"
1, 6060, Tempo, 625000
1, 7620, Tempo, 638297
1, 7680, Tempo, 618556
1, 8520, Tempo, 625000
1, 9000, Tempo, 638297
1, 9285, Tempo, 845070
1, 9600, Tempo, 638297
1, 9720, Tempo, 606060
1, 11400, Tempo, 612244
1, 13305, Tempo, 618556
1, 15260, Tempo, 625000
1, 16200, Tempo, 631578
1, 16875, Tempo, 638297
1, 17055, Tempo, 1276595
1, 17280, Tempo, 652173
1, 17340, Tempo, 625000
1, 19140, Tempo, 652173
1, 19260, Tempo, 625000
1, 21010, Tempo, 652173
1, 21375, Tempo, 625000
1, 22980, Tempo, 652173
1, 23100, Tempo, 625000
1, 24840, Tempo, 652173
1, 25200, Tempo, 625000
1, 26820, Tempo, 652173
1, 26940, Tempo, 625000
1, 28690, Tempo, 652173
1, 29040, Tempo, 625000
1, 30660, Tempo, 652173
1, 30780, Tempo, 625000
1, 32530, Tempo, 652173
1, 32880, Tempo, 625000
1, 34450, Tempo, 652173
1, 34800, Tempo, 625000
1, 36360, Tempo, 652173
1, 36720, Tempo, 625000
1, 38290, Tempo, 652173
1, 38460, Tempo, 625000
1, 39240, Tempo, 631578
1, 40080, Tempo, 674157
1, 40320, Tempo, 638297
1, 41160, Tempo, 645161
1, 41820, Tempo, 659340
1, 42000, Tempo, 1276595
1, 42300, Tempo, 625000
1, 44100, Tempo, 652173
1, 44220, Tempo, 625000
1, 46020, Tempo, 652173
1, 46140, Tempo, 625000
1, 47880, Tempo, 652173
1, 48250, Tempo, 625000
1, 49810, Tempo, 652173
1, 50140, Tempo, 625000
1, 51720, Tempo, 652173
1, 52070, Tempo, 625000
1, 53700, Tempo, 652173
1, 53820, Tempo, 625000
1, 54600, Tempo, 631578
1, 55430, Tempo, 674157
1, 55680, Tempo, 638297
1, 56520, Tempo, 645161
1, 57190, Tempo, 659340
1, 57360, Tempo, 1276595
1, 57660, Tempo, 625000
1, 59460, Tempo, 652173
1, 59580, Tempo, 625000
1, 61380, Tempo, 652173
1, 61500, Tempo, 625000
1, 63230, Tempo, 652173
1, 63590, Tempo, 625000
1, 65180, Tempo, 652173
1, 65520, Tempo, 625000
1, 67080, Tempo, 652173
1, 67420, Tempo, 625000
1, 69020, Tempo, 652173
1, 69360, Tempo, 625000
1, 70810, Tempo, 659340
1, 71270, Tempo, 625000
1, 72840, Tempo, 652173
1, 73210, Tempo, 625000
1, 74770, Tempo, 652173
1, 75110, Tempo, 625000
1, 76690, Tempo, 652173
1, 77030, Tempo, 625000
1, 78470, Tempo, 659340
1, 78720, Tempo, 652173
1, 78960, Tempo, 625000
1, 80580, Tempo, 652173
1, 80700, Tempo, 625000
1, 82310, Tempo, 652173
1, 82790, Tempo, 625000
1, 84420, Tempo, 652173
1, 84540, Tempo, 625000
1, 86170, Tempo, 652173
1, 86620, Tempo, 625000
1, 88260, Tempo, 652173
1, 88380, Tempo, 625000
1, 90010, Tempo, 652173
1, 90470, Tempo, 625000
1, 92100, Tempo, 652173
1, 92220, Tempo, 625000
1, 93860, Tempo, 652173
1, 94310, Tempo, 625000
1, 95900, Tempo, 652173
1, 96230, Tempo, 625000
1, 97830, Tempo, 652173
1, 98160, Tempo, 625000
1, 99730, Tempo, 652173
1, 100080, Tempo, 625000
1, 101530, Tempo, 659340
1, 101760, Tempo, 638297
1, 101990, Tempo, 625000
1, 103620, Tempo, 652173
1, 103740, Tempo, 625000
1, 105490, Tempo, 652173
1, 105840, Tempo, 625000
1, 107460, Tempo, 638297
1, 107580, Tempo, 625000
1, 108360, Tempo, 631578
1, 109140, Tempo, 659340
1, 109545, Tempo, 638297
1, 110280, Tempo, 645161
1, 110910, Tempo, 652173
1, 111120, Tempo, 1463414
1, 111344, Tempo, 1224489
1, 111420, Tempo, 625000
1, 113220, Tempo, 652173
1, 113340, Tempo, 625000
1, 115140, Tempo, 652173
1, 115260, Tempo, 625000
1, 117060, Tempo, 652173
1, 117180, Tempo, 625000
1, 118980, Tempo, 652173
1, 119100, Tempo, 625000
1, 120520, Tempo, 652173
1, 120640, Tempo, 638297
1, 121750, Tempo, 652173
1, 122570, Tempo, 750000
1, 122880, Tempo, 789473
1, 123840, Tempo, 810810
1, 127680, Tempo, 845070
1, 132480, Tempo, 500000
1, 132480, Time_signature, 3, 2, 24, 8
1, 132480, Marker_t, "2 "
1, 132960, Tempo, 606060
1, 133020, Tempo, 600000
1, 133680, Tempo, 600000
1, 133860, Tempo, 606060
1, 133920, Tempo, 600000
1, 136300, Tempo, 606060
1, 136500, Tempo, 612244
1, 136560, Tempo, 895522
1, 136800, Tempo, 600000
1, 142200, Tempo, 606060
1, 142320, Tempo, 769230
1, 142560, Tempo, 600000
1, 146760, Tempo, 606060
1, 147760, Tempo, 612244
1, 147840, Tempo, 625000
1, 148080, Tempo, 845070
1, 148320, Tempo, 600000
