0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 05, 7E, 7F, 09, 01, F7
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 1666667
1, 240, Tempo, 1621622
1, 472, Tempo, 1578947
1, 732, Tempo, 1621622
1, 952, Tempo, 1714286
1, 1192, Tempo, 1666667
1, 1440, Tempo, 1666667
1, 1664, Tempo, 1621622
1, 1928, Tempo, 1666667
1, 2144, Tempo, 1621622
1, 2400, Tempo, 1666667
1, 2652, Tempo, 1666667
1, 2880, Tempo, 1578947
1, 3144, Tempo, 1621622
1, 3352, Tempo, 1666667
1, 3584, Tempo, 1666667
1, 3832, Tempo, 1764706
1, 4072, Tempo, 1714286
1, 4328, Tempo, 1714286
1, 4544, Tempo, 1666667
1, 4792, Tempo, 1621622
1, 5052, Tempo, 1621622
1, 5264, Tempo, 1666667
1, 5520, Tempo, 1621622
1, 5760, Tempo, 1578947
1, 6000, Tempo, 1666667
1, 6248, Tempo, 1621622
1, 6480, Tempo, 1666667
1, 6720, Tempo, 1714286
1, 6972, Tempo, 1666667
1, 7208, Tempo, 1666667
1, 7452, Tempo, 1666667
1, 7680, Tempo, 1578947
1, 7904, Tempo, 1621622
1, 8152, Tempo, 1621622
1, 8372, Tempo, 1666667
1, 8632, Tempo, 1714286
1, 8864, Tempo, 1621622
1, 9112, Tempo, 1666667
1, 9360, Tempo, 1666667
1, 9592, Tempo, 1621622
1, 9824, Tempo, 1621622
1, 10072, Tempo, 1578947
1, 10304, Tempo, 1621622
1, 10552, Tempo, 1666667
1, 10784, Tempo, 1666667
1, 11024, Tempo, 1621622
1, 11276, Tempo, 1621622
1, 11520, Tempo, 1714286
1, 11768, Tempo, 1666667
1, 11992, Tempo, 1666667
1, 12236, Tempo, 1621622
1, 12464, Tempo, 1578947
1, 12716, Tempo, 1621622
1, 12952, Tempo, 1621622
1, 13208, Tempo, 1578947
1, 13440, Tempo, 1666667
1, 13648, Tempo, 1621622
1, 13920, Tempo, 1578947
1, 14156, Tempo, 1666667
1, 14392, Tempo, 1714286
1, 14596, Tempo, 1621622
1, 14872, Tempo, 1666667
1, 15104, Tempo, 1621622
1, 15360, Tempo, 1666667
1, 15584, Tempo, 1666667
1, 15840, Tempo, 1621622
1, 16104, Tempo, 1621622
1, 16320, Tempo, 1578947
1, 16544, Tempo, 1578947
1, 16808, Tempo, 1666667
1, 17048, Tempo, 1621622
1, 17272, Tempo, 1621622
1, 17504, Tempo, 1666667
1, 17752, Tempo, 1714286
1, 17968, Tempo, 1666667
1, 18248, Tempo, 1666667
1, 18464, Tempo, 1578947
1, 18712, Tempo, 1621622
1, 18944, Tempo, 1578947
1, 19208, Tempo, 1621622
1, 19448, Tempo, 1621622
1, 19672, Tempo, 1578947
1, 19912, Tempo, 1666667
1, 20152, Tempo, 1621622
1, 20380, Tempo, 1621622
1, 20632, Tempo, 1666667
1, 20872, Tempo, 1621622
1, 21112, Tempo, 1666667
1, 21352, Tempo, 1714286
1, 21808, Tempo, 1666667
1, 22060, Tempo, 1666667
1, 22312, Tempo, 1578947
1, 22560, Tempo, 1621622
1, 22820, Tempo, 1666667
1, 23040, Tempo, 1621622
1, 23248, Tempo, 1714286
1, 23512, Tempo, 1666667
1, 23740, Tempo, 1621622
1, 24000, Tempo, 1578947
1, 24232, Tempo, 1666667
1, 24480, Tempo, 1621622
1, 24700, Tempo, 1578947
1, 24944, Tempo, 1621622
1, 25180, Tempo, 1666667
1, 25432, Tempo, 1714286
1, 25660, Tempo, 1666667
1, 25912, Tempo, 1666667
1, 26152, Tempo, 1621622
1, 26408, Tempo, 1666667
1, 26660, Tempo, 1621622
1, 26864, Tempo, 1621622
1, 27112, Tempo, 1714286
1, 27360, Tempo, 1666667
1, 27640, Tempo, 2752294
1, 27832, Tempo, 1869159
1, 27928, Tempo, 1759531
1, 28088, Tempo, 1666667
1, 28320, Tempo, 1666667
1, 28568, Tempo, 1621622
1, 28808, Tempo, 1621622
1, 29016, Tempo, 1666667
1, 29280, Tempo, 1666667
1, 29536, Tempo, 1621622
1, 29752, Tempo, 1578947
1, 29992, Tempo, 1666667
1, 30240, Tempo, 1621622
1, 30452, Tempo, 1578947
1, 30720, Tempo, 1578947
1, 30952, Tempo, 1621622
1, 31192, Tempo, 1666667
1, 31416, Tempo, 1666667
1, 31656, Tempo, 1621622
