0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Sample Custom Template"
1, 0, Copyright_t, "All Rights Reserved"
1, 0, Tempo, 1200000
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 480, Tempo, 1250000
1, 960, Tempo, 1304347
1, 1440, Tempo, 1200000
1, 2160, Tempo, 1304347
1, 2880, Tempo, 1250000
1, 3120, Tempo, 1200000
1, 5040, Tempo, 1363636
1, 5760, Tempo, 1200000
1, 6240, Tempo, 1250000
1, 6720, Tempo, 1304347
1, 7200, Tempo, 1200000
1, 8400, Tempo, 1304347
1, 8880, Tempo, 1200000
1, 9360, Tempo, 1250000
1, 9600, Tempo, 1304347
1, 10080, Tempo, 1304347
1, 10800, Tempo, 1200000
1, 11520, Tempo, 1250000
1, 13440, Tempo, 1363636
1, 14400, Tempo, 1250000
1, 15840, Tempo, 1304347
1, 16560, Tempo, 1363636
1, 17280, Tempo, 1224489
1, 18960, Tempo, 1250000
1, 19200, Tempo, 1304347
1, 19680, Tempo, 1428571
1, 19920, Tempo, 1363636
1, 20160, Tempo, 1224489
1, 20640, Tempo, 1250000
1, 21120, Tempo, 1304347
1, 21840, Tempo, 1200000
1, 24240, Tempo, 1276595
1, 24720, Tempo, 1200000
1, 25200, Tempo, 1428571
1, 25440, Tempo, 1304347
1, 26640, Tempo, 1363636
1, 27360, Tempo, 1276595
1, 28800, Tempo, 1200000
1, 30240, Tempo, 1250000
1, 31680, Tempo, 1200000
1, 34080, Tempo, 1304347
1, 34560, Tempo, 1276595
1, 36000, Tempo, 1250000
1, 37440, Tempo, 1200000
1, 39360, Tempo, 1363636
1, 39840, Tempo, 1250000
1, 40320, Tempo, 1304347
1, 41280, Tempo, 1333333
1, 41760, Tempo, 1276595
1, 42000, Tempo, 1333333
1, 42720, Tempo, 1500000
1, 42960, Tempo, 1578947
1, 43200, Tempo, 1666666
1, 44160, Tempo, 1875000
1, 44760, Tempo, 1250000
1, 48600, Tempo, 1363636
1, 49080, Tempo, 1363636
1, 49320, Tempo, 1250000
1, 49800, Tempo, 1304347
1, 50520, Tempo, 1363636
1, 51720, Tempo, 1224489
1, 51960, Tempo, 1250000
1, 52680, Tempo, 1304347
1, 52920, Tempo, 1363636
1, 53400, Tempo, 1200000
1, 53880, Tempo, 1428571
1, 54360, Tempo, 1500000
1, 54840, Tempo, 1200000
1, 55320, Tempo, 1250000
1, 55800, Tempo, 1304347
1, 56280, Tempo, 1200000
1, 57000, Tempo, 1304347
1, 57720, Tempo, 1250000
1, 57960, Tempo, 1200000
1, 60600, Tempo, 1200000
1, 61080, Tempo, 1250000
1, 61560, Tempo, 1304347
1, 62040, Tempo, 1200000
1, 63240, Tempo, 1304347
1, 63720, Tempo, 1200000
1, 64200, Tempo, 1250000
1, 64440, Tempo, 1304347
1, 64920, Tempo, 1304347
1, 74040, Tempo, 1304347
1, 74520, Tempo, 1428571
1, 75000, Tempo, 1304347
1, 76440, Tempo, 1200000
1, 76680, Tempo, 1153846
1, 77400, Tempo, 1250000
1, 77640, Tempo, 1304347
1, 77880, Tempo, 1250000
1, 81480, Tempo, 1363636
1, 82920, Tempo, 1304347
1, 83160, Tempo, 1363636
1, 83400, Tempo, 1428571
1, 83640, Tempo, 1304347
1, 85080, Tempo, 1250000
1, 86520, Tempo, 1200000
1, 87720, Tempo, 1250000
1, 88440, Tempo, 1363636
1, 88920, Tempo, 1250000
1, 89400, Tempo, 1304347
1, 90840, Tempo, 1250000
1, 92280, Tempo, 1176470
1, 92760, Tempo, 1132075
1, 93000, Tempo, 1090909
1, 93240, Tempo, 1200000
1, 93480, Tempo, 1304347
1, 93720, Tempo, 1250000
1, 93960, Tempo, 1304347
1, 94200, Tempo, 1363636
1, 94680, Tempo, 1200000
1, 95160, Tempo, 1200000
1, 95400, Tempo, 1304347
1, 96120, Tempo, 1363636
1, 96600, Tempo, 1200000
1, 97080, Tempo, 1363636
1, 97560, Tempo, 1500000
1, 97720, Tempo, 1578947
1, 97800, Tempo, 1666666
1, 98040, Tempo, 1764705
1, 99000, Tempo, 3000000
1, 99000, End_track
2, 0, Start_track
2, 0, Title_t, "2. Andante from"
2, 0, MIDI_port, 0
2, 0, Channel_prefix, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 15
2, 0, Control_c, 0, 91, 47
2, 0, Program_c, 0, 50
2, 0, Note_on_c, 0, 74, 75
2, 355, Note_off_c, 0, 74, 64
2, 360, Note_on_c, 0, 71, 75
2, 420, Note_off_c, 0, 71, 64
2, 420, Note_on_c, 0, 72, 75
2, 480, Note_off_c, 0, 72, 64
2, 480, Note_on_c, 0, 74, 75
2, 560, Note_off_c, 0, 74, 64
2, 720, Note_on_c, 0, 74, 75
2, 800, Note_off_c, 0, 74, 64
2, 960, Note_on_c, 0, 74, 75
2, 1200, Note_off_c, 0, 74, 64
2, 1200, Note_on_c, 0, 79, 75
2, 1375, Note_off_c, 0, 79, 64
2, 1440, Note_on_c, 0, 74, 75
2, 1795, Note_off_c, 0, 74, 64
2, 1800, Note_on_c, 0, 71, 75
2, 1860, Note_off_c, 0, 71, 64
2, 1860, Note_on_c, 0, 72, 75
2, 1920, Note_off_c, 0, 72, 64
2, 1920, Note_on_c, 0, 74, 75
2, 2320, Note_off_c, 0, 74, 64
2, 2880, Note_on_c, 0, 72, 75
2, 3000, Note_off_c, 0, 72, 64
2, 3000, Note_on_c, 0, 74, 75
2, 3120, Note_off_c, 0, 74, 64
2, 3120, Note_on_c, 0, 76, 75
2, 3240, Note_off_c, 0, 76, 64
2, 3240, Note_on_c, 0, 72, 75
2, 3360, Note_off_c, 0, 72, 64
2, 3360, Note_on_c, 0, 71, 75
2, 3480, Note_off_c, 0, 71, 64
2, 3480, Note_on_c, 0, 72, 75
2, 3600, Note_off_c, 0, 72, 64
2, 3600, Note_on_c, 0, 74, 75
2, 3720, Note_off_c, 0, 74, 64
