0, 0, Header, 1, 15, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 521739
1, 0, Marker_t, "2nd Movement, Andante ma Adagio"
1, 1922, Tempo, 1443696
1, 2144, Tempo, 1621622
1, 2400, Tempo, 1666667
1, 2640, Tempo, 1621622
1, 2880, Tempo, 1578947
1, 3132, Tempo, 1538462
1, 3380, Tempo, 1666667
1, 3640, Tempo, 1578947
1, 3860, Tempo, 1621622
1, 4092, Tempo, 1666667
1, 4340, Tempo, 1578947
1, 4640, Tempo, 1666667
1, 4772, Tempo, 1621622
1, 5024, Tempo, 1578947
1, 5264, Tempo, 1538462
1, 5520, Tempo, 1621622
1, 5760, Tempo, 1578947
1, 6000, Tempo, 1666667
1, 6240, Tempo, 1621622
1, 6480, Tempo, 1666667
1, 6720, Tempo, 1578947
1, 6920, Tempo, 1538462
1, 7200, Tempo, 1621622
1, 7440, Tempo, 1578947
1, 7680, Tempo, 1621622
1, 7920, Tempo, 1666667
1, 8160, Tempo, 1578947
1, 8400, Tempo, 1666667
1, 8640, Tempo, 1621622
1, 8852, Tempo, 1538462
1, 9120, Tempo, 1578947
1, 9360, Tempo, 1621622
1, 9600, Tempo, 1666667
1, 9840, Tempo, 1621622
1, 10040, Tempo, 1578947
1, 10320, Tempo, 1666667
1, 10560, Tempo, 1621622
1, 10800, Tempo, 1666667
1, 11040, Tempo, 1578947
1, 11280, Tempo, 1666667
1, 11500, Tempo, 1621622
1, 11692, Tempo, 1578947
1, 11920, Tempo, 1666667
1, 12140, Tempo, 1621622
1, 12424, Tempo, 1578947
1, 12660, Tempo, 1666667
1, 12980, Tempo, 1621622
1, 13160, Tempo, 1578947
1, 13400, Tempo, 1666667
1, 13664, Tempo, 1578947
1, 13920, Tempo, 1538462
1, 14144, Tempo, 1621622
1, 14400, Tempo, 1578947
1, 14624, Tempo, 1666667
1, 14864, Tempo, 1578947
1, 15064, Tempo, 1621622
1, 15360, Tempo, 1578947
1, 15584, Tempo, 1538462
1, 15852, Tempo, 1578947
1, 16064, Tempo, 1500000
1, 16332, Tempo, 1538462
1, 16572, Tempo, 1621622
1, 16800, Tempo, 1578947
1, 17052, Tempo, 1538462
1, 17264, Tempo, 1621622
1, 17492, Tempo, 1578947
1, 17720, Tempo, 1666667
1, 18012, Tempo, 1578947
1, 18240, Tempo, 1538462
1, 18480, Tempo, 1621622
1, 18680, Tempo, 1578947
1, 18960, Tempo, 1500000
1, 19172, Tempo, 1538462
1, 19412, Tempo, 1621622
1, 19640, Tempo, 1578947
1, 19920, Tempo, 1666667
1, 20132, Tempo, 1621622
1, 20344, Tempo, 1538462
1, 20612, Tempo, 1578947
1, 20840, Tempo, 1621622
1, 21092, Tempo, 1538462
1, 21304, Tempo, 1578947
1, 21600, Tempo, 1500000
1, 21780, Tempo, 1578947
1, 22100, Tempo, 1666667
1, 22252, Tempo, 1578947
1, 22540, Tempo, 1621622
1, 22820, Tempo, 1578947
1, 23060, Tempo, 1666667
1, 23240, Tempo, 1621622
1, 23504, Tempo, 1538462
1, 23720, Tempo, 1578947
1, 24000, Tempo, 1500000
1, 24184, Tempo, 1578947
1, 24440, Tempo, 1538462
1, 24692, Tempo, 1621622
1, 24944, Tempo, 1578947
1, 25184, Tempo, 1500000
1, 25400, Tempo, 1578947
1, 25640, Tempo, 1538462
1, 25904, Tempo, 1621622
1, 26200, Tempo, 1578947
1, 26372, Tempo, 1500000
1, 26612, Tempo, 1578947
1, 26880, Tempo, 1538462
1, 27120, Tempo, 1578947
1, 27344, Tempo, 1621622
1, 27572, Tempo, 1538462
1, 27840, Tempo, 1578947
1, 28080, Tempo, 1500000
1, 28344, Tempo, 1538462
1, 28572, Tempo, 1621622
1, 28760, Tempo, 1578947
1, 29040, Tempo, 1666667
1, 29240, Tempo, 1621622
1, 29520, Tempo, 1538462
1, 29732, Tempo, 1500000
1, 29984, Tempo, 1578947
1, 30212, Tempo, 1538462
1, 30452, Tempo, 1621622
1, 30692, Tempo, 1578947
1, 30984, Tempo, 1500000
1, 31172, Tempo, 1538462
1, 31424, Tempo, 1621622
1, 31664, Tempo, 1578947
1, 31944, Tempo, 1714286
1, 32120, Tempo, 1666667
1, 32360, Tempo, 1538462
1, 32652, Tempo, 1578947
1, 32920, Tempo, 1500000
1, 33092, Tempo, 1578947
1, 33344, Tempo, 1538462
1, 33560, Tempo, 1621622
1, 33800, Tempo, 1578947
1, 34040, Tempo, 1666667
1, 34304, Tempo, 1578947
1, 34544, Tempo, 1538462
1, 34900, Tempo, 1621622
1, 35260, Tempo, 1578947
1, 35580, Tempo, 1666667
1, 35800, Tempo, 1621622
1, 35972, Tempo, 1538462
