0, 0, Header, 1, 11, 192
1, 0, Start_track
1, 0, Title_t, "Concerto"
1, 0, Text_t, "By Wolfgang Amadeus Mozart, KV.314"
1, 0, Copyright_t, "This Selection is in the Public Domain"
1, 0, Text_t, "Generated by NoteWorthy Composer"
1, 0, Tempo, 500000
1, 0, Key_signature, 2, "major"
1, 0, Time_signature, 4, 2, 24, 8
1, 135193, Tempo, 504201
1, 135219, Tempo, 508474
1, 135244, Tempo, 512820
1, 135270, Tempo, 517241
1, 135296, Tempo, 521739
1, 135321, Tempo, 526315
1, 135347, Tempo, 530973
1, 135372, Tempo, 535714
1, 135398, Tempo, 540540
1, 135424, Tempo, 545454
1, 135449, Tempo, 550458
1, 135475, Tempo, 555555
1, 135500, Tempo, 560747
1, 135526, Tempo, 566037
1, 135552, Tempo, 571428
1, 135577, Tempo, 576923
1, 135603, Tempo, 582524
1, 135628, Tempo, 588235
1, 135654, Tempo, 594059
1, 135680, Tempo, 600000
1, 135705, Tempo, 606060
1, 135731, Tempo, 612244
1, 135756, Tempo, 618556
1, 135782, Tempo, 625000
1, 135808, Tempo, 631578
1, 135833, Tempo, 638297
1, 135859, Tempo, 645161
1, 135884, Tempo, 652173
1, 135910, Tempo, 659340
1, 135936, Tempo, 666666
1, 136512, Tempo, 1000000
1, 136704, Tempo, 500000
1, 136800, Tempo, 666666
1, 137088, Tempo, 500000
1, 137184, Tempo, 666666
1, 137472, Tempo, 500000
1, 137875, Tempo, 504201
1, 137894, Tempo, 508474
1, 137913, Tempo, 512820
1, 137932, Tempo, 517241
1, 137952, Tempo, 521739
1, 137971, Tempo, 526315
1, 137990, Tempo, 530973
1, 138009, Tempo, 535714
1, 138028, Tempo, 540540
1, 138048, Tempo, 545454
1, 138067, Tempo, 550458
1, 138086, Tempo, 555555
1, 138105, Tempo, 560747
1, 138124, Tempo, 566037
1, 138144, Tempo, 571428
1, 138163, Tempo, 576923
1, 138182, Tempo, 582524
1, 138201, Tempo, 588235
1, 138220, Tempo, 594059
1, 138240, Tempo, 600000
1, 140544, Tempo, 461538
1, 140940, Tempo, 465116
1, 140952, Tempo, 468750
1, 140964, Tempo, 472440
1, 140976, Tempo, 476190
1, 140988, Tempo, 480000
1, 141000, Tempo, 483870
1, 141012, Tempo, 487804
1, 141024, Tempo, 491803
1, 141036, Tempo, 495867
1, 141048, Tempo, 500000
1, 141060, Tempo, 504201
1, 141072, Tempo, 508474
1, 141084, Tempo, 512820
1, 141096, Tempo, 517241
1, 141108, Tempo, 521739
1, 141120, Tempo, 526315
1, 141132, Tempo, 530973
1, 141144, Tempo, 535714
1, 141156, Tempo, 540540
1, 141168, Tempo, 545454
1, 141180, Tempo, 550458
1, 141192, Tempo, 555555
1, 141204, Tempo, 560747
1, 141216, Tempo, 566037
1, 141228, Tempo, 571428
1, 141240, Tempo, 576923
1, 141252, Tempo, 582524
1, 141264, Tempo, 588235
1, 141276, Tempo, 594059
1, 141288, Tempo, 600000
1, 141300, Tempo, 606060
1, 141312, Tempo, 612244
1, 141984, Tempo, 1000000
1, 143616, Tempo, 1200000
1, 143664, Tempo, 461538
1, 144393, Tempo, 465116
1, 144403, Tempo, 468750
1, 144412, Tempo, 472440
1, 144422, Tempo, 476190
1, 144432, Tempo, 480000
1, 144441, Tempo, 483870
1, 144451, Tempo, 487804
1, 144460, Tempo, 491803
1, 144470, Tempo, 495867
1, 144480, Tempo, 500000
1, 144489, Tempo, 504201
1, 144499, Tempo, 508474
1, 144508, Tempo, 512820
1, 144518, Tempo, 517241
1, 144528, Tempo, 521739
1, 144537, Tempo, 526315
1, 144547, Tempo, 530973
1, 144556, Tempo, 535714
1, 144566, Tempo, 540540
1, 144576, Tempo, 545454
1, 144585, Tempo, 550458
1, 144595, Tempo, 555555
1, 144604, Tempo, 560747
1, 144614, Tempo, 566037
1, 144624, Tempo, 571428
1, 144633, Tempo, 576923
1, 144643, Tempo, 582524
1, 144652, Tempo, 588235
1, 144662, Tempo, 594059
1, 144672, Tempo, 600000
1, 144681, Tempo, 606060
1, 144691, Tempo, 612244
1, 144700, Tempo, 618556
1, 144710, Tempo, 625000
1, 144720, Tempo, 631578
1, 144729, Tempo, 638297
1, 144739, Tempo, 645161
1, 144748, Tempo, 652173
1, 144758, Tempo, 659340
1, 144768, Tempo, 666666
1, 144777, Tempo, 674157
1, 144787, Tempo, 681818
1, 144796, Tempo, 689655
1, 144806, Tempo, 697674
1, 144816, Tempo, 705882
1, 144825, Tempo, 714285
1, 144835, Tempo, 722891
1, 144844, Tempo, 731707
1, 144854, Tempo, 740740
1, 144864, Tempo, 750000
1, 144873, Tempo, 759493
1, 144883, Tempo, 769230
1, 144892, Tempo, 779220
1, 144902, Tempo, 789473
1, 144912, Tempo, 800000
1, 144921, Tempo, 810810
1, 144931, Tempo, 821917
1, 144940, Tempo, 833333
1, 144950, Tempo, 845070
1, 144960, Tempo, 857142
1, 144969, Tempo, 869565
1, 144979, Tempo, 882352
1, 144988, Tempo, 895522
1, 144998, Tempo, 909090
