0, 0, Header, 1, 12, 240
1, 0, Start_track
1, 0, Title_t, "Laudate Dominum"
1, 0, Title_t, "f\374r Sopran, Chor und Orchester"
1, 0, Text_t, "Wolfgang Amadeus Mozart, aus KV 335"
1, 0, Text_t, "Andante ma un poco sostenuto"
1, 0, Text_t, "Vesperae solennes de confessore\012"
1, 0, Text_t, "Acciaccature are noted as biscrome\012"
1, 0, Text_t, "Semibiscrome are noted as in the original\012"
1, 0, Text_t, "Velocities\012"
1, 0, Text_t, "100=f\012"
1, 0, Text_t, "90=mf\012"
1, 0, Text_t, "80=p\012"
1, 0, Text_t, "65=pp\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 952381
1, 10, Tempo, 967742
1, 30, Tempo, 952381
1, 50, Tempo, 937500
1, 70, Tempo, 923077
1, 90, Tempo, 909091
1, 110, Tempo, 895522
1, 124, Tempo, 882353
1, 130, Tempo, 869565
1, 154, Tempo, 882353
1, 180, Tempo, 895522
1, 200, Tempo, 909091
1, 224, Tempo, 923077
1, 244, Tempo, 937500
1, 270, Tempo, 952381
1, 294, Tempo, 967742
1, 314, Tempo, 983607
1, 330, Tempo, 1090909
1, 360, Tempo, 1016949
1, 374, Tempo, 1000000
1, 390, Tempo, 983607
1, 404, Tempo, 967742
1, 420, Tempo, 952381
1, 430, Tempo, 937500
1, 444, Tempo, 923077
1, 460, Tempo, 909091
1, 474, Tempo, 895522
1, 484, Tempo, 882353
1, 514, Tempo, 895522
1, 540, Tempo, 909091
1, 564, Tempo, 923077
1, 590, Tempo, 937500
1, 620, Tempo, 952381
1, 644, Tempo, 967742
1, 670, Tempo, 983607
1, 684, Tempo, 1071429
1, 704, Tempo, 1052632
1, 720, Tempo, 952381
1, 730, Tempo, 967742
1, 750, Tempo, 952381
1, 770, Tempo, 937500
1, 790, Tempo, 923077
1, 810, Tempo, 909091
1, 830, Tempo, 895522
1, 844, Tempo, 882353
1, 850, Tempo, 869565
1, 874, Tempo, 882353
1, 900, Tempo, 895522
1, 920, Tempo, 909091
1, 944, Tempo, 923077
1, 964, Tempo, 937500
1, 990, Tempo, 952381
1, 1014, Tempo, 967742
1, 1034, Tempo, 983607
1, 1050, Tempo, 1090909
