0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 05, 7E, 7F, 09, 01, F7
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 789474
1, 480, Time_signature, 2, 2, 24, 8
1, 480, Key_signature, 1, "major"
1, 480, Marker_t, "Theme ""Andante"""
1, 2160, Tempo, 789474
1, 2202, Tempo, 800000
1, 2244, Tempo, 810811
1, 2286, Tempo, 821918
1, 2328, Tempo, 833333
1, 2370, Tempo, 845070
1, 2412, Tempo, 857143
1, 2454, Tempo, 869565
1, 2496, Tempo, 882353
1, 2538, Tempo, 895522
1, 2581, Tempo, 909091
1, 2582, Tempo, 789474
1, 4080, Tempo, 789474
1, 4122, Tempo, 800000
1, 4164, Tempo, 810811
1, 4206, Tempo, 821918
1, 4248, Tempo, 833333
1, 4290, Tempo, 845070
1, 4332, Tempo, 857143
1, 4374, Tempo, 869565
1, 4416, Tempo, 882353
1, 4458, Tempo, 895522
1, 4500, Tempo, 909091
1, 4501, Tempo, 789474
1, 5220, Tempo, 789474
1, 5238, Tempo, 800000
1, 5256, Tempo, 810811
1, 5274, Tempo, 821918
1, 5292, Tempo, 833333
1, 5310, Tempo, 845070
1, 5328, Tempo, 857143
1, 5346, Tempo, 869565
1, 5364, Tempo, 882353
1, 5382, Tempo, 895522
1, 5400, Tempo, 909091
1, 5401, Tempo, 789474
1, 6480, Tempo, 789474
1, 6522, Tempo, 800000
1, 6564, Tempo, 810811
1, 6606, Tempo, 821918
1, 6648, Tempo, 833333
1, 6690, Tempo, 845070
1, 6732, Tempo, 857143
1, 6774, Tempo, 869565
1, 6816, Tempo, 882353
1, 6858, Tempo, 895522
1, 6900, Tempo, 909091
1, 6901, Tempo, 789474
1, 8880, Tempo, 789474
1, 8922, Tempo, 800000
1, 8964, Tempo, 810811
1, 9006, Tempo, 821918
1, 9048, Tempo, 833333
1, 9090, Tempo, 845070
1, 9132, Tempo, 857143
1, 9174, Tempo, 869565
1, 9216, Tempo, 882353
1, 9258, Tempo, 895522
1, 9300, Tempo, 909091
1, 9300, Marker_t, "Var. I"
1, 9301, Tempo, 789474
1, 11040, Tempo, 789474
1, 11049, Tempo, 800000
1, 11058, Tempo, 810811
1, 11067, Tempo, 821918
1, 11077, Tempo, 833333
1, 11086, Tempo, 845070
1, 11095, Tempo, 857143
1, 11104, Tempo, 869565
1, 11114, Tempo, 882353
1, 11123, Tempo, 895522
1, 11132, Tempo, 909091
1, 11141, Tempo, 923077
1, 11151, Tempo, 937500
1, 11160, Tempo, 952381
1, 11169, Tempo, 967742
1, 11178, Tempo, 983607
1, 11188, Tempo, 1000000
1, 11189, Tempo, 789474
1, 12960, Tempo, 789474
1, 12975, Tempo, 800000
1, 12990, Tempo, 810811
1, 13005, Tempo, 821918
1, 13021, Tempo, 833333
1, 13036, Tempo, 845070
1, 13051, Tempo, 857143
1, 13067, Tempo, 869565
1, 13082, Tempo, 882353
1, 13097, Tempo, 895522
1, 13113, Tempo, 909091
1, 13114, Tempo, 789474
1, 15360, Tempo, 789474
1, 15375, Tempo, 800000
1, 15390, Tempo, 810811
1, 15405, Tempo, 821918
1, 15420, Tempo, 833333
1, 15435, Tempo, 845070
1, 15450, Tempo, 857143
1, 15465, Tempo, 869565
1, 15480, Tempo, 882353
1, 15495, Tempo, 895522
1, 15510, Tempo, 909091
1, 15511, Tempo, 789474
1, 17760, Tempo, 789474
1, 17784, Tempo, 800000
1, 17808, Tempo, 810811
1, 17832, Tempo, 821918
1, 17856, Tempo, 833333
1, 17880, Tempo, 845070
1, 17904, Tempo, 857143
1, 17928, Tempo, 869565
1, 17940, Marker_t, "Var. II"
1, 17952, Tempo, 882353
1, 17976, Tempo, 895522
1, 18000, Tempo, 909091
1, 18001, Tempo, 789474
1, 26160, Tempo, 789474
1, 26182, Tempo, 800000
1, 26205, Tempo, 810811
1, 26227, Tempo, 821918
1, 26250, Tempo, 833333
1, 26272, Tempo, 845070
1, 26295, Tempo, 857143
1, 26317, Tempo, 869565
1, 26340, Tempo, 882353
1, 26362, Tempo, 895522
1, 26385, Tempo, 909091
1, 26407, Tempo, 923077
1, 26430, Tempo, 937500
1, 26452, Tempo, 952381
1, 26475, Tempo, 967742
1, 26497, Tempo, 983607
1, 26520, Tempo, 1000000
1, 26521, Tempo, 789474
1, 26535, Marker_t, "Var. III"
1, 34800, Tempo, 789474
