0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 416666
1, 0, Marker_t, "Mozart"
1, 1440, Tempo, 504201
1, 1440, Marker_t, "Tema"
1, 5640, Tempo, 508474
1, 7080, Tempo, 517241
1, 7200, Tempo, 504201
1, 11400, Tempo, 508474
1, 12720, Tempo, 526315
1, 12960, Tempo, 504201
1, 12960, Marker_t, "Tema copy"
1, 17160, Tempo, 508474
1, 18600, Tempo, 517241
1, 18720, Tempo, 504201
1, 22920, Tempo, 508474
1, 24240, Tempo, 526315
1, 24480, Tempo, 504201
1, 24480, Marker_t, "t'"
1, 27300, Tempo, 508474
1, 27360, Tempo, 504201
1, 30120, Tempo, 508474
1, 30255, Tempo, 504201
1, 34440, Tempo, 508474
1, 35880, Tempo, 517241
1, 36000, Tempo, 504201
1, 40200, Tempo, 508474
1, 41640, Tempo, 517241
1, 41760, Tempo, 504201
1, 45960, Tempo, 508474
1, 47280, Tempo, 535714
1, 47520, Tempo, 504201
1, 47520, Marker_t, "t' copy copy"
1, 50340, Tempo, 508474
1, 50400, Tempo, 504201
1, 53160, Tempo, 508474
1, 53295, Tempo, 504201
1, 57480, Tempo, 508474
1, 58920, Tempo, 517241
1, 59040, Tempo, 504201
1, 63240, Tempo, 508474
1, 64680, Tempo, 517241
1, 64800, Tempo, 504201
1, 69000, Tempo, 508474
1, 69855, Tempo, 517241
1, 70200, Tempo, 526315
1, 70320, Tempo, 625000
1, 70560, Tempo, 500000
1, 70560, Marker_t, "1"
1, 76260, Tempo, 504201
1, 76320, Tempo, 500000
1, 81840, Tempo, 504201
1, 82080, Tempo, 500000
1, 82080, Marker_t, "1 copy"
1, 87780, Tempo, 504201
1, 87840, Tempo, 500000
1, 93360, Tempo, 504201
1, 93600, Tempo, 500000
1, 93600, Marker_t, "1'"
1, 96420, Tempo, 504201
1, 96480, Tempo, 500000
1, 99300, Tempo, 504201
1, 99360, Tempo, 500000
1, 105000, Tempo, 508474
1, 105120, Tempo, 500000
1, 110820, Tempo, 504201
1, 110880, Tempo, 500000
1, 116160, Tempo, 504201
1, 116400, Tempo, 540540
1, 116640, Tempo, 500000
1, 116640, Marker_t, "1' copy"
1, 119460, Tempo, 504201
1, 119520, Tempo, 500000
1, 122340, Tempo, 504201
1, 122400, Tempo, 500000
1, 128040, Tempo, 508474
1, 128160, Tempo, 500000
1, 133860, Tempo, 504201
1, 133920, Tempo, 500000
1, 139200, Tempo, 504201
1, 139440, Tempo, 540540
1, 139680, Tempo, 495867
1, 139680, Marker_t, "2"
1, 145380, Tempo, 500000
1, 145440, Tempo, 495867
1, 150660, Tempo, 500000
1, 150960, Tempo, 508474
1, 151200, Tempo, 495867
1, 151200, Marker_t, "2 copy"
1, 156900, Tempo, 500000
1, 156960, Tempo, 495867
1, 162180, Tempo, 500000
1, 162480, Tempo, 508474
1, 162720, Tempo, 495867
1, 162720, Marker_t, "2'"
1, 165540, Tempo, 500000
1, 165600, Tempo, 495867
1, 166980, Tempo, 500000
1, 167040, Tempo, 495867
1, 168420, Tempo, 500000
1, 168480, Tempo, 495867
1, 174120, Tempo, 508474
1, 174240, Tempo, 495867
1, 179940, Tempo, 500000
1, 180000, Tempo, 495867
1, 185520, Tempo, 508474
1, 185760, Tempo, 495867
1, 185760, Marker_t, "2' copy"
1, 188580, Tempo, 500000
1, 188640, Tempo, 495867
1, 190020, Tempo, 500000
1, 190080, Tempo, 495867
1, 191460, Tempo, 500000
1, 191520, Tempo, 495867
1, 197160, Tempo, 508474
1, 197280, Tempo, 495867
1, 202980, Tempo, 500000
1, 203040, Tempo, 495867
1, 208260, Tempo, 500000
1, 208320, Tempo, 1500000
1, 208560, Tempo, 491803
1, 208800, Tempo, 491803
1, 208800, Marker_t, "3 "
1, 214500, Tempo, 495867
1, 214560, Tempo, 491803
1, 219780, Tempo, 495867
1, 219840, Tempo, 500000
1, 220080, Tempo, 491803
1, 220320, Tempo, 491803
1, 220320, Marker_t, "3  copy"
1, 226020, Tempo, 495867
1, 226080, Tempo, 491803
1, 231300, Tempo, 495867
1, 231600, Tempo, 495867
1, 231840, Tempo, 491803
1, 231840, Marker_t, "3'"
1, 234660, Tempo, 495867
1, 234720, Tempo, 491803
1, 237540, Tempo, 495867
1, 237600, Tempo, 491803
1, 243240, Tempo, 495867
1, 243360, Tempo, 240000
1, 243360, Marker_t, "1/8"
1, 243420, Tempo, 480000
1, 249300, Tempo, 495867
1, 249360, Tempo, 491803
1, 254580, Tempo, 495867
1, 254880, Tempo, 517241
