0, 0, Header, 1, 21, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 441176
1, 0, Marker_t, "K.242 3rd Movement, Rondo"
1, 480, Tempo, 428571
1, 980, Tempo, 458015
1, 1440, Tempo, 433213
1, 1900, Tempo, 444444
1, 2400, Tempo, 410959
1, 2880, Tempo, 433213
1, 3340, Tempo, 421053
1, 3800, Tempo, 451128
1, 3820, Tempo, 452830
1, 4320, Tempo, 428571
1, 4780, Tempo, 451128
1, 5280, Tempo, 409556
1, 5740, Tempo, 433213
1, 6220, Tempo, 419580
1, 6720, Tempo, 459770
1, 7200, Tempo, 421053
1, 7660, Tempo, 439560
1, 8140, Tempo, 408163
1, 8160, Tempo, 409556
1, 8620, Tempo, 454545
1, 9140, Tempo, 424028
1, 9580, Tempo, 442804
1, 10060, Tempo, 409556
1, 10580, Tempo, 451128
1, 11060, Tempo, 419580
1, 11540, Tempo, 442804
1, 11960, Tempo, 408163
1, 12520, Tempo, 446097
1, 12940, Tempo, 421053
1, 13420, Tempo, 452830
1, 13920, Tempo, 410959
1, 14400, Tempo, 441176
1, 14880, Tempo, 428571
1, 15380, Tempo, 458015
1, 15840, Tempo, 433213
1, 16300, Tempo, 444444
1, 16800, Tempo, 410959
1, 17280, Tempo, 433213
1, 17740, Tempo, 421053
1, 18200, Tempo, 451128
1, 18220, Tempo, 452830
1, 18720, Tempo, 428571
1, 19180, Tempo, 451128
1, 19680, Tempo, 409556
1, 20140, Tempo, 433213
1, 20620, Tempo, 419580
1, 21120, Tempo, 459770
1, 21600, Tempo, 421053
1, 22060, Tempo, 439560
1, 22540, Tempo, 408163
1, 22560, Tempo, 409556
1, 23020, Tempo, 454545
1, 23540, Tempo, 424028
1, 23980, Tempo, 442804
1, 24460, Tempo, 409556
1, 24980, Tempo, 451128
1, 25460, Tempo, 419580
1, 25940, Tempo, 442804
1, 26360, Tempo, 408163
1, 26920, Tempo, 446097
1, 27340, Tempo, 421053
1, 27820, Tempo, 452830
1, 28320, Tempo, 410959
1, 28800, Tempo, 441176
1, 29280, Tempo, 428571
1, 29780, Tempo, 458015
1, 30240, Tempo, 433213
1, 30700, Tempo, 444444
1, 31200, Tempo, 410959
1, 31680, Tempo, 433213
1, 32140, Tempo, 421053
1, 32600, Tempo, 451128
1, 32620, Tempo, 452830
1, 33120, Tempo, 428571
1, 33580, Tempo, 451128
1, 34080, Tempo, 409556
1, 34540, Tempo, 433213
1, 35020, Tempo, 419580
1, 35520, Tempo, 459770
1, 36000, Tempo, 421053
1, 36460, Tempo, 439560
1, 36940, Tempo, 408163
1, 36960, Tempo, 409556
1, 37420, Tempo, 454545
1, 37940, Tempo, 424028
1, 38380, Tempo, 442804
1, 38860, Tempo, 409556
1, 39380, Tempo, 451128
1, 39860, Tempo, 419580
1, 40340, Tempo, 442804
1, 40760, Tempo, 408163
1, 41320, Tempo, 446097
1, 41740, Tempo, 421053
1, 42220, Tempo, 452830
1, 42720, Tempo, 410959
1, 43200, Tempo, 441176
1, 43680, Tempo, 428571
1, 44180, Tempo, 458015
1, 44640, Tempo, 433213
1, 45100, Tempo, 444444
1, 45600, Tempo, 410959
1, 46080, Tempo, 433213
1, 46540, Tempo, 421053
1, 47000, Tempo, 451128
1, 47020, Tempo, 452830
1, 47520, Tempo, 428571
1, 47980, Tempo, 451128
1, 48480, Tempo, 409556
1, 48940, Tempo, 433213
1, 49420, Tempo, 419580
1, 49920, Tempo, 459770
1, 50400, Tempo, 421053
1, 50860, Tempo, 439560
1, 51340, Tempo, 408163
1, 51360, Tempo, 409556
1, 51820, Tempo, 454545
1, 52340, Tempo, 424028
1, 52780, Tempo, 442804
1, 53260, Tempo, 409556
1, 53780, Tempo, 451128
1, 54260, Tempo, 419580
1, 54740, Tempo, 442804
1, 55160, Tempo, 408163
1, 55720, Tempo, 446097
1, 56140, Tempo, 421053
1, 56620, Tempo, 452830
1, 57120, Tempo, 410959
1, 57600, Tempo, 441176
1, 58080, Tempo, 428571
1, 58580, Tempo, 458015
1, 59040, Tempo, 433213
1, 59500, Tempo, 444444
1, 60000, Tempo, 410959
1, 60480, Tempo, 433213
1, 60940, Tempo, 421053
1, 61400, Tempo, 451128
1, 61420, Tempo, 452830
1, 61920, Tempo, 428571
1, 62380, Tempo, 451128
1, 62880, Tempo, 409556
1, 63340, Tempo, 433213
1, 63820, Tempo, 419580
1, 64320, Tempo, 459770
1, 64800, Tempo, 421053
1, 65260, Tempo, 439560
1, 65740, Tempo, 408163
1, 65760, Tempo, 409556
