0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Mozart "
1, 1920, Tempo, 260869
1, 1920, Marker_t, "Piano Sonata Np.7, Rev.1"
1, 2190, Tempo, 461538
1, 2880, Tempo, 352941
1, 3800, Tempo, 355029
1, 5565, Tempo, 500000
1, 5760, Tempo, 352941
1, 11480, Tempo, 355029
1, 11520, Tempo, 352941
1, 15280, Tempo, 355029
1, 15360, Tempo, 260869
1, 15630, Tempo, 461538
1, 16320, Tempo, 352941
1, 17240, Tempo, 355029
1, 18990, Tempo, 500000
1, 19200, Tempo, 352941
1, 24920, Tempo, 359281
1, 24960, Tempo, 352941
1, 25920, Tempo, 363636
1, 26640, Tempo, 372670
1, 26880, Tempo, 352941
1, 27840, Tempo, 363636
1, 28320, Tempo, 368098
1, 28760, Tempo, 359281
1, 28800, Tempo, 352941
1, 34520, Tempo, 355029
1, 34560, Tempo, 352941
1, 38360, Tempo, 355029
1, 38400, Tempo, 352941
1, 40280, Tempo, 363636
1, 40320, Tempo, 352941
1, 44120, Tempo, 355029
1, 44160, Tempo, 352941
1, 47960, Tempo, 355029
1, 48000, Tempo, 352941
1, 51800, Tempo, 355029
1, 51840, Tempo, 352941
1, 55640, Tempo, 355029
1, 55680, Tempo, 352941
1, 59480, Tempo, 355029
1, 59520, Tempo, 359281
1, 61380, Tempo, 363636
1, 62265, Tempo, 372670
1, 62880, Tempo, 384615
1, 63360, Tempo, 355029
1, 63400, Tempo, 352941
1, 67160, Tempo, 355029
1, 67200, Tempo, 352941
1, 74840, Tempo, 355029
1, 74880, Tempo, 352941
1, 82020, Tempo, 355029
1, 82260, Tempo, 359281
1, 82520, Tempo, 402684
1, 82560, Tempo, 352941
1, 88280, Tempo, 355029
1, 88320, Tempo, 352941
1, 95960, Tempo, 355029
1, 96000, Tempo, 355029
1, 99800, Tempo, 359281
1, 99840, Tempo, 352941
1, 101640, Tempo, 355029
1, 103640, Tempo, 359281
1, 104040, Tempo, 500000
1, 104160, Tempo, 352941
1, 107960, Tempo, 355029
1, 108000, Tempo, 352941
1, 109880, Tempo, 355029
1, 109920, Tempo, 352941
1, 111300, Tempo, 355029
1, 111360, Tempo, 377358
1, 111840, Tempo, 413793
1, 112320, Tempo, 428571
1, 113160, Tempo, 500000
1, 113280, Tempo, 260869
1, 113280, Marker_t, "New Marker 3"
1, 113550, Tempo, 461538
1, 114240, Tempo, 352941
1, 115160, Tempo, 355029
1, 116880, Tempo, 500000
1, 117120, Tempo, 359281
1, 118800, Tempo, 500000
1, 119040, Tempo, 368098
1, 120465, Tempo, 500000
1, 120960, Tempo, 352941
1, 122820, Tempo, 355029
1, 122880, Tempo, 352941
1, 126660, Tempo, 355029
1, 126720, Tempo, 352941
1, 128400, Tempo, 359281
1, 128640, Tempo, 260869
1, 128910, Tempo, 461538
1, 129600, Tempo, 352941
1, 130520, Tempo, 355029
1, 132255, Tempo, 500000
1, 132480, Tempo, 352941
1, 134340, Tempo, 355029
1, 134400, Tempo, 352941
1, 138180, Tempo, 355029
1, 138240, Tempo, 352941
1, 140120, Tempo, 355029
1, 140160, Tempo, 352941
1, 143940, Tempo, 355029
1, 144000, Tempo, 352941
1, 147780, Tempo, 355029
1, 147840, Tempo, 352941
1, 149700, Tempo, 355029
1, 149760, Tempo, 352941
1, 151640, Tempo, 355029
1, 151680, Tempo, 352941
1, 156420, Tempo, 355029
1, 156960, Tempo, 428571
1, 157440, Tempo, 377358
1, 157680, Tempo, 625000
1, 157920, Tempo, 352941
1, 161720, Tempo, 355029
1, 161760, Tempo, 352941
1, 165060, Tempo, 359281
1, 165120, Tempo, 260869
1, 165390, Tempo, 461538
1, 166080, Tempo, 352941
1, 167000, Tempo, 355029
1, 168720, Tempo, 500000
1, 168960, Tempo, 359281
1, 170640, Tempo, 500000
1, 170880, Tempo, 363636
1, 172290, Tempo, 508474
1, 172800, Tempo, 260869
1, 173070, Tempo, 461538
1, 173760, Tempo, 352941
1, 174680, Tempo, 355029
1, 176400, Tempo, 500000
1, 176640, Tempo, 359281
1, 178320, Tempo, 500000
1, 178560, Tempo, 363636
1, 180015, Tempo, 560747
1, 180480, Tempo, 260869
1, 180750, Tempo, 461538
1, 181440, Tempo, 352941
1, 182360, Tempo, 355029
1, 184065, Tempo, 500000
1, 184320, Tempo, 352941
1, 190040, Tempo, 355029
1, 190080, Tempo, 352941
1, 193840, Tempo, 355029
1, 193920, Tempo, 260869
1, 194190, Tempo, 461538
1, 194880, Tempo, 352941
1, 195800, Tempo, 355029
1, 197520, Tempo, 508474
1, 197760, Tempo, 352941
1, 201540, Tempo, 355029
