0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 434782
1, 0, Tempo, 434782
1, 0, Marker_t, "Mozart"
1, 735, Tempo, 335195
1, 1440, Tempo, 331491
1, 1440, Marker_t, "Piano sonata No.15"
1, 3840, Marker_t, "Bunji Hisamori"
1, 4665, Tempo, 335195
1, 4800, Tempo, 331491
1, 5760, Marker_t, "March 2000, Rev.1 "
1, 7620, Tempo, 335195
1, 7680, Tempo, 331491
1, 13305, Tempo, 335195
1, 15240, Tempo, 338983
1, 16800, Tempo, 331491
1, 20025, Tempo, 338983
1, 20160, Tempo, 331491
1, 22980, Tempo, 335195
1, 23040, Tempo, 331491
1, 30690, Tempo, 335195
1, 34440, Tempo, 338983
1, 36000, Tempo, 340909
1, 36480, Tempo, 331491
1, 40260, Tempo, 335195
1, 42180, Tempo, 335195
1, 42240, Tempo, 331491
1, 46020, Tempo, 335195
1, 49800, Tempo, 335195
1, 51360, Tempo, 338983
1, 51840, Tempo, 331491
1, 63300, Tempo, 335195
1, 63360, Tempo, 331491
1, 70920, Tempo, 335195
1, 74820, Tempo, 338983
1, 74880, Tempo, 335195
1, 76740, Tempo, 337078
1, 77685, Tempo, 340909
1, 78660, Tempo, 344827
1, 78720, Tempo, 352941
1, 79680, Tempo, 331491
1, 82500, Tempo, 335195
1, 86295, Tempo, 338983
1, 87135, Tempo, 340909
1, 87360, Tempo, 331491
1, 90180, Tempo, 335195
1, 92160, Tempo, 337078
1, 93960, Tempo, 340909
1, 94080, Tempo, 331491
1, 97860, Tempo, 335195
1, 99780, Tempo, 338983
1, 99840, Tempo, 335195
1, 101640, Tempo, 338983
1, 102465, Tempo, 340909
1, 102705, Tempo, 331491
1, 105540, Tempo, 335195
1, 107460, Tempo, 337078
1, 109320, Tempo, 338983
1, 109935, Tempo, 335195
1, 111300, Tempo, 337078
1, 113220, Tempo, 340909
1, 113280, Tempo, 335195
1, 115140, Tempo, 337078
1, 117060, Tempo, 340909
1, 117120, Tempo, 335195
1, 124740, Tempo, 337078
1, 126600, Tempo, 340909
1, 127005, Tempo, 331491
1, 128600, Tempo, 335195
1, 128640, Tempo, 331491
1, 130500, Tempo, 335195
1, 130560, Tempo, 331491
1, 134340, Tempo, 335195
1, 134400, Tempo, 331491
1, 136280, Tempo, 335195
1, 136320, Tempo, 331491
1, 138180, Tempo, 335195
1, 138240, Tempo, 331491
1, 142020, Tempo, 335195
1, 142080, Tempo, 331491
1, 145860, Tempo, 335195
1, 145920, Tempo, 331491
1, 156420, Tempo, 333333
1, 157380, Tempo, 335195
1, 157440, Tempo, 331491
1, 159300, Tempo, 333333
1, 161220, Tempo, 335195
1, 161280, Tempo, 331491
1, 163140, Tempo, 335195
1, 163200, Tempo, 333333
1, 165060, Tempo, 335195
1, 165120, Tempo, 331491
1, 166980, Tempo, 335195
1, 167040, Tempo, 333333
1, 168900, Tempo, 335195
1, 170820, Tempo, 338983
1, 170880, Tempo, 331491
1, 176580, Tempo, 335195
1, 176640, Tempo, 331491
1, 182340, Tempo, 335195
1, 182400, Tempo, 331491
1, 186180, Tempo, 335195
1, 186240, Tempo, 331491
1, 190020, Tempo, 335195
1, 190080, Tempo, 331491
1, 195780, Tempo, 335195
1, 195840, Tempo, 340909
1, 196800, Tempo, 368098
1, 197265, Tempo, 331491
1, 201540, Tempo, 333333
1, 201600, Tempo, 331491
1, 203460, Tempo, 333333
1, 203520, Tempo, 331491
1, 205380, Tempo, 335195
1, 205440, Tempo, 331491
1, 213060, Tempo, 333333
1, 213120, Tempo, 331491
1, 214980, Tempo, 333333
1, 215040, Tempo, 331491
1, 216900, Tempo, 335195
1, 216960, Tempo, 331491
1, 220740, Tempo, 333333
1, 222660, Tempo, 335195
1, 222720, Tempo, 331491
1, 226500, Tempo, 335195
1, 226560, Tempo, 331491
1, 230340, Tempo, 335195
1, 230400, Tempo, 331491
1, 234180, Tempo, 335195
1, 234240, Tempo, 331491
1, 239940, Tempo, 335195
1, 240000, Tempo, 340909
1, 240705, Tempo, 344827
1, 240975, Tempo, 331491
1, 268740, Tempo, 335195
1, 268800, Tempo, 331491
1, 272580, Tempo, 335195
1, 272640, Tempo, 331491
1, 276420, Tempo, 335195
1, 276480, Tempo, 331491
1, 278340, Tempo, 335195
1, 278400, Tempo, 340909
1, 279360, Tempo, 352941
1, 279810, Tempo, 331491
1, 283080, Tempo, 331491
1, 283185, Tempo, 335195
1, 286020, Tempo, 335195
1, 286080, Tempo, 331491
1, 291825, Tempo, 335195
1, 293640, Tempo, 338983
1, 294720, Tempo, 340909
1, 295200, Tempo, 331491
1, 318660, Tempo, 333333
1, 320580, Tempo, 335195
