0, 0, Header, 1, 18, 192
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 389610
1, 2112, Tempo, 394737
1, 2256, Tempo, 410959
1, 2304, Tempo, 379747
1, 2496, Tempo, 384615
1, 2880, Tempo, 392157
1, 2976, Tempo, 416667
1, 3072, Tempo, 405405
1, 3216, Tempo, 416667
1, 3264, Tempo, 419580
1, 3648, Tempo, 394737
1, 4992, Tempo, 430108
1, 5376, Tempo, 389610
1, 6072, Tempo, 428571
1, 6144, Tempo, 392157
1, 6688, Tempo, 674157
1, 6720, Tempo, 397351
1, 6880, Tempo, 444444
1, 6912, Tempo, 392157
1, 7658, Tempo, 495868
1, 7680, Tempo, 392157
1, 7778, Tempo, 416667
1, 7872, Tempo, 394737
1, 7965, Tempo, 416667
1, 8064, Tempo, 394737
1, 8256, Tempo, 441176
1, 8448, Tempo, 389610
1, 9144, Tempo, 434783
1, 9216, Tempo, 400000
1, 9760, Tempo, 416667
1, 9984, Tempo, 410959
1, 10176, Tempo, 392157
1, 10680, Tempo, 461538
1, 10752, Tempo, 365854
1, 11256, Tempo, 821918
1, 11328, Tempo, 400000
1, 11904, Tempo, 405405
1, 12288, Tempo, 389610
1, 13056, Tempo, 394737
1, 13824, Tempo, 389610
1, 15264, Tempo, 402685
1, 15360, Tempo, 397351
1, 15360, Marker_t, "A"
1, 15552, Tempo, 387097
1, 16080, Tempo, 410959
1, 16128, Tempo, 394737
1, 16832, Tempo, 346821
1, 16896, Tempo, 405405
1, 16960, Tempo, 389610
1, 17616, Tempo, 384615
1, 17664, Tempo, 394737
1, 18368, Tempo, 346821
1, 18432, Tempo, 405405
1, 18496, Tempo, 389610
1, 19152, Tempo, 410959
1, 19200, Tempo, 394737
1, 19904, Tempo, 352941
1, 19968, Tempo, 405405
1, 20032, Tempo, 389610
1, 20688, Tempo, 410959
1, 20736, Tempo, 389610
1, 20928, Tempo, 394737
1, 21484, Tempo, 493827
1, 21504, Tempo, 394737
1, 22248, Tempo, 493827
1, 22272, Tempo, 394737
1, 23016, Tempo, 493827
1, 23040, Tempo, 396301
1, 23808, Tempo, 392157
1, 27648, Tempo, 394737
1, 28752, Tempo, 422535
1, 28800, Tempo, 382166
1, 28944, Tempo, 454545
1, 28992, Tempo, 397351
1, 29136, Tempo, 555556
1, 29184, Tempo, 400000
1, 30912, Tempo, 461538
1, 31104, Tempo, 413793
1, 31285, Tempo, 408163
1, 31488, Tempo, 405405
1, 31872, Tempo, 422535
1, 32064, Tempo, 416667
1, 32256, Tempo, 419580
1, 32256, Marker_t, "B (2nd subject)"
1, 32448, Tempo, 405405
1, 32832, Tempo, 400000
1, 33600, Tempo, 413793
1, 33792, Tempo, 405405
1, 34176, Tempo, 400000
1, 36864, Tempo, 410959
1, 37192, Tempo, 431655
1, 37248, Tempo, 413793
1, 37440, Tempo, 410959
1, 38208, Tempo, 441176
1, 38376, Tempo, 510638
1, 38400, Tempo, 408163
1, 38784, Tempo, 402685
1, 39168, Tempo, 405405
1, 39770, Tempo, 416667
1, 40128, Tempo, 402685
1, 40320, Tempo, 400000
1, 47232, Tempo, 397351
1, 48384, Tempo, 408163
1, 48768, Tempo, 422535
1, 48960, Tempo, 425532
1, 49152, Tempo, 392157
1, 49152, Marker_t, "C (codetta)"
1, 56832, Marker_t, "D (sfp)"
1, 57184, Tempo, 389610
1, 62976, Marker_t, "E (forte)"
1, 63072, Tempo, 384615
1, 63680, Tempo, 405405
1, 63744, Tempo, 388350
1, 67584, Tempo, 384615
1, 68256, Tempo, 389610
1, 68448, Tempo, 387097
1, 70848, Tempo, 392157
1, 71372, Tempo, 416667
1, 71424, Tempo, 392157
1, 72140, Tempo, 410959
1, 72192, Tempo, 389610
1, 73632, Tempo, 400000
1, 73680, Tempo, 422535
1, 73728, Tempo, 389610
1, 74400, Tempo, 428571
1, 74496, Tempo, 389610
1, 75168, Tempo, 428571
1, 75264, Tempo, 389610
1, 75936, Tempo, 428571
1, 76032, Tempo, 397351
1, 76180, Tempo, 410959
1, 76224, Tempo, 397351
1, 76416, Tempo, 408163
1, 76764, Tempo, 493827
1, 76800, Tempo, 422535
1, 76944, Tempo, 566038
1, 76992, Tempo, 405405
1, 77184, Tempo, 402685
1, 77376, Tempo, 416667
1, 77568, Tempo, 397351
1, 78912, Tempo, 405405
1, 79104, Tempo, 410959
1, 79488, Tempo, 419580
1, 79772, Tempo, 422535
1, 79872, Tempo, 389610
1, 82848, Tempo, 400000
1, 82944, Tempo, 389610
1, 83616, Tempo, 392157
1, 83664, Tempo, 405405
1, 83712, Tempo, 389610
1, 84432, Tempo, 410959
1, 84480, Tempo, 389610
1, 85200, Tempo, 400000
