0, 0, Header, 1, 12, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Copyright_t, "Copyright \251 2001 by Petr Cvikl"
1, 0, Text_t, "Petr Cvikl"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 315789
1, 7200, Marker_t, "A"
1, 14880, Marker_t, "B"
1, 18540, Tempo, 315789
1, 26160, Marker_t, "C"
1, 35554, Tempo, 317628
1, 35573, Tempo, 319217
1, 35589, Tempo, 320821
1, 35605, Tempo, 322442
1, 35624, Tempo, 324079
1, 35640, Tempo, 325733
1, 35655, Tempo, 327404
1, 35671, Tempo, 329092
1, 35690, Tempo, 330797
1, 35706, Tempo, 332521
1, 35722, Tempo, 334262
1, 35741, Tempo, 336022
1, 35756, Tempo, 337800
1, 35772, Tempo, 339597
1, 35788, Tempo, 341413
1, 35807, Tempo, 343249
1, 35823, Tempo, 345105
1, 35838, Tempo, 346981
1, 35854, Tempo, 348878
1, 35873, Tempo, 350795
1, 35889, Tempo, 352734
1, 35905, Tempo, 354694
1, 35924, Tempo, 356676
1, 35940, Tempo, 358680
1, 35955, Tempo, 360707
1, 35971, Tempo, 362757
1, 35990, Tempo, 364830
1, 36006, Tempo, 366928
1, 36022, Tempo, 369049
1, 36037, Tempo, 371195
1, 36056, Tempo, 373367
1, 36072, Tempo, 375563
1, 36088, Tempo, 377786
1, 36096, Tempo, 377786
1, 36103, Tempo, 375563
1, 36106, Tempo, 373367
1, 36109, Tempo, 371195
1, 36112, Tempo, 369049
1, 36119, Tempo, 366928
1, 36122, Tempo, 364830
1, 36125, Tempo, 362757
1, 36128, Tempo, 360707
1, 36134, Tempo, 358680
1, 36138, Tempo, 356676
1, 36141, Tempo, 354694
1, 36144, Tempo, 352734
1, 36150, Tempo, 350795
1, 36153, Tempo, 348878
1, 36156, Tempo, 346981
1, 36160, Tempo, 345105
1, 36166, Tempo, 343249
1, 36169, Tempo, 341413
1, 36172, Tempo, 339597
1, 36175, Tempo, 337800
1, 36182, Tempo, 336022
1, 36185, Tempo, 334262
1, 36188, Tempo, 332521
1, 36191, Tempo, 330797
1, 36198, Tempo, 329092
1, 36201, Tempo, 327404
1, 36204, Tempo, 325733
1, 36207, Tempo, 324079
1, 36213, Tempo, 322442
1, 36216, Tempo, 320821
1, 36220, Tempo, 319217
1, 36223, Tempo, 317628
1, 36226, Tempo, 316056
1, 36240, Tempo, 315789
1, 43920, Marker_t, "D"
1, 54480, Marker_t, "E"
1, 62160, Marker_t, "F"
1, 62400, Tempo, 315789
1, 65820, Tempo, 315789
1, 73440, Marker_t, "G"
1, 83207, Tempo, 316056
1, 83220, Tempo, 317628
1, 83232, Tempo, 319217
1, 83242, Tempo, 320821
1, 83254, Tempo, 322442
1, 83264, Tempo, 324079
1, 83276, Tempo, 325733
1, 83286, Tempo, 327404
1, 83298, Tempo, 329092
1, 83311, Tempo, 330797
1, 83321, Tempo, 332521
1, 83333, Tempo, 334262
1, 83343, Tempo, 336022
1, 83355, Tempo, 337800
1, 83365, Tempo, 339597
1, 83377, Tempo, 341413
1, 83390, Tempo, 343249
1, 83400, Tempo, 345105
1, 83412, Tempo, 346981
1, 83422, Tempo, 348878
1, 83434, Tempo, 350795
1, 83444, Tempo, 352734
1, 83456, Tempo, 354694
1, 83469, Tempo, 356676
1, 83478, Tempo, 358680
1, 83491, Tempo, 360707
1, 83501, Tempo, 362757
1, 83513, Tempo, 364830
1, 83523, Tempo, 366928
1, 83535, Tempo, 369049
1, 83548, Tempo, 371195
1, 83557, Tempo, 373367
1, 83570, Tempo, 375563
1, 83580, Tempo, 377786
1, 83592, Tempo, 380035
1, 83602, Tempo, 382312
1, 83605, Tempo, 382312
1, 83614, Tempo, 384615
1, 83621, Tempo, 386947
1, 83627, Tempo, 389307
1, 83636, Tempo, 391696
1, 83643, Tempo, 394115
1, 83649, Tempo, 396563
1, 83655, Tempo, 399042
1, 83665, Tempo, 401553
1, 83671, Tempo, 404095
1, 83677, Tempo, 406669
1, 83684, Tempo, 409277
1, 83693, Tempo, 411918
1, 83700, Tempo, 414594
1, 83706, Tempo, 417304
1, 83712, Tempo, 420050
1, 83722, Tempo, 422833
1, 83728, Tempo, 425653
1, 83734, Tempo, 428510
1, 83741, Tempo, 431406
1, 83750, Tempo, 434342
1, 83753, Tempo, 446495
1, 83756, Tempo, 449640
1, 83760, Tempo, 452830
1, 83763, Tempo, 456066
1, 83766, Tempo, 459348
1, 83769, Tempo, 462677
1, 83772, Tempo, 466056
1, 83775, Tempo, 469484
1, 83778, Tempo, 472962
1, 83782, Tempo, 476493
1, 83785, Tempo, 480077
1, 83788, Tempo, 483715
1, 83791, Tempo, 487409
1, 83794, Tempo, 491159
1, 83797, Tempo, 494968
1, 83801, Tempo, 502765
1, 83804, Tempo, 506757
1, 83807, Tempo, 510812
1, 83810, Tempo, 514933
1, 83813, Tempo, 519121
1, 83816, Tempo, 523378
1, 83820, Tempo, 527704
1, 83823, Tempo, 532104
1, 83826, Tempo, 536577
1, 83829, Tempo, 541126
1, 83832, Tempo, 545752
1, 83835, Tempo, 550459
1, 83838, Tempo, 555247
1, 83842, Tempo, 560119
1, 83845, Tempo, 565078
1, 83848, Tempo, 575264
1, 83851, Tempo, 580495
1, 83854, Tempo, 585823
1, 83857, Tempo, 591250
1, 83861, Tempo, 596777
1, 83864, Tempo, 602410
1, 83867, Tempo, 608149
1, 83870, Tempo, 613999
1, 83873, Tempo, 619963
1, 83876, Tempo, 626043
1, 83880, Tempo, 632244
1, 83883, Tempo, 638570
1, 83886, Tempo, 645023
1, 83889, Tempo, 651607
1, 83892, Tempo, 658328
1, 83895, Tempo, 672194
1, 83898, Tempo, 506757
1, 83905, Tempo, 510812
1, 83914, Tempo, 514933
1, 83921, Tempo, 519121
1, 83927, Tempo, 523378
1, 83933, Tempo, 527704
1, 83933, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Flauti"
2, 0, Program_c, 0, 73
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 80
2, 840, Note_on_c, 0, 83, 50
2, 840, Note_on_c, 0, 81, 50
2, 900, Note_on_c, 0, 81, 0
2, 900, Note_on_c, 0, 83, 0
2, 960, Note_on_c, 0, 79, 50
2, 960, Note_on_c, 0, 83, 50
2, 1020, Note_on_c, 0, 83, 0
2, 1020, Note_on_c, 0, 79, 0
2, 1080, Note_on_c, 0, 83, 50
2, 1080, Note_on_c, 0, 81, 50
2, 1140, Note_on_c, 0, 81, 0
2, 1140, Note_on_c, 0, 83, 0
2, 1200, Note_on_c, 0, 79, 50
2, 1200, Note_on_c, 0, 83, 50
2, 1260, Note_on_c, 0, 83, 0
2, 1260, Note_on_c, 0, 79, 0
2, 1320, Note_on_c, 0, 81, 50
2, 1320, Note_on_c, 0, 83, 50
2, 1380, Note_on_c, 0, 83, 0
2, 1380, Note_on_c, 0, 81, 0
2, 1440, Note_on_c, 0, 79, 50
2, 1440, Note_on_c, 0, 83, 50
2, 1500, Note_on_c, 0, 83, 0
2, 1500, Note_on_c, 0, 79, 0
2, 1560, Note_on_c, 0, 83, 50
2, 1560, Note_on_c, 0, 81, 50
2, 1620, Note_on_c, 0, 81, 0
2, 1620, Note_on_c, 0, 83, 0
2, 1680, Note_on_c, 0, 83, 50
2, 1680, Note_on_c, 0, 79, 50
2, 1740, Note_on_c, 0, 79, 0
2, 1740, Note_on_c, 0, 83, 0
2, 2760, Note_on_c, 0, 85, 50
2, 2760, Note_on_c, 0, 81, 50
2, 2820, Note_on_c, 0, 81, 0
2, 2820, Note_on_c, 0, 85, 0
2, 2880, Note_on_c, 0, 81, 50
2, 2880, Note_on_c, 0, 86, 50
2, 2940, Note_on_c, 0, 86, 0
2, 2940, Note_on_c, 0, 81, 0
2, 3000, Note_on_c, 0, 81, 50
2, 3000, Note_on_c, 0, 85, 50
2, 3060, Note_on_c, 0, 85, 0
2, 3060, Note_on_c, 0, 81, 0
2, 3120, Note_on_c, 0, 81, 50
2, 3120, Note_on_c, 0, 86, 50
2, 3180, Note_on_c, 0, 86, 0
2, 3180, Note_on_c, 0, 81, 0
2, 3240, Note_on_c, 0, 81, 50
2, 3240, Note_on_c, 0, 85, 50
2, 3300, Note_on_c, 0, 85, 0
2, 3300, Note_on_c, 0, 81, 0
2, 3360, Note_on_c, 0, 81, 50
2, 3360, Note_on_c, 0, 86, 50
2, 3420, Note_on_c, 0, 86, 0
2, 3420, Note_on_c, 0, 81, 0
2, 3480, Note_on_c, 0, 81, 50
2, 3480, Note_on_c, 0, 85, 50
2, 3540, Note_on_c, 0, 85, 0
2, 3540, Note_on_c, 0, 81, 0
2, 3600, Note_on_c, 0, 81, 50
2, 3600, Note_on_c, 0, 86, 50
2, 3660, Note_on_c, 0, 86, 0
2, 3660, Note_on_c, 0, 81, 0
2, 4080, Note_on_c, 0, 83, 100
2, 4080, Note_on_c, 0, 79, 100
2, 4320, Note_on_c, 0, 79, 0
2, 4320, Note_on_c, 0, 83, 0
2, 4320, Note_on_c, 0, 78, 100
2, 4320, Note_on_c, 0, 81, 100
2, 4410, Note_on_c, 0, 81, 0
2, 4410, Note_on_c, 0, 78, 0
2, 4560, Note_on_c, 0, 85, 100
2, 4560, Note_on_c, 0, 81, 100
2, 4800, Note_on_c, 0, 81, 0
2, 4800, Note_on_c, 0, 85, 0
2, 4800, Note_on_c, 0, 86, 100
2, 4800, Note_on_c, 0, 81, 100
2, 4890, Note_on_c, 0, 81, 0
2, 4890, Note_on_c, 0, 86, 0
2, 5040, Note_on_c, 0, 83, 100
2, 5040, Note_on_c, 0, 79, 100
2, 5280, Note_on_c, 0, 79, 0
2, 5280, Note_on_c, 0, 83, 0
2, 5280, Note_on_c, 0, 78, 100
2, 5280, Note_on_c, 0, 81, 100
2, 5370, Note_on_c, 0, 81, 0
2, 5370, Note_on_c, 0, 78, 0
2, 5520, Note_on_c, 0, 85, 100
2, 5520, Note_on_c, 0, 81, 100
2, 5760, Note_on_c, 0, 81, 0
2, 5760, Note_on_c, 0, 85, 0
2, 5760, Note_on_c, 0, 86, 100
2, 5760, Note_on_c, 0, 81, 100
2, 5850, Note_on_c, 0, 81, 0
2, 5850, Note_on_c, 0, 86, 0
2, 5880, Note_on_c, 0, 81, 100
2, 6000, Note_on_c, 0, 81, 0
2, 6000, Note_on_c, 0, 90, 100
2, 6120, Note_on_c, 0, 90, 0
2, 6120, Note_on_c, 0, 86, 100
2, 6240, Note_on_c, 0, 86, 0
2, 6240, Note_on_c, 0, 88, 100
2, 6240, Note_on_c, 0, 85, 100
2, 6285, Note_on_c, 0, 85, 0
2, 6285, Note_on_c, 0, 88, 0
2, 6300, Note_on_c, 0, 88, 100
2, 6300, Note_on_c, 0, 85, 100
2, 6345, Note_on_c, 0, 85, 0
2, 6345, Note_on_c, 0, 88, 0
2, 6360, Note_on_c, 0, 90, 100
2, 6360, Note_on_c, 0, 86, 100
2, 6405, Note_on_c, 0, 86, 0
2, 6405, Note_on_c, 0, 90, 0
2, 6420, Note_on_c, 0, 90, 100
2, 6420, Note_on_c, 0, 86, 100
2, 6465, Note_on_c, 0, 86, 0
2, 6465, Note_on_c, 0, 90, 0
2, 6480, Note_on_c, 0, 88, 100
2, 6480, Note_on_c, 0, 85, 100
2, 6525, Note_on_c, 0, 85, 0
2, 6525, Note_on_c, 0, 88, 0
2, 6540, Note_on_c, 0, 88, 100
2, 6540, Note_on_c, 0, 85, 100
2, 6585, Note_on_c, 0, 85, 0
2, 6585, Note_on_c, 0, 88, 0
2, 6600, Note_on_c, 0, 90, 100
2, 6600, Note_on_c, 0, 86, 100
2, 6645, Note_on_c, 0, 86, 0
2, 6645, Note_on_c, 0, 90, 0
2, 6660, Note_on_c, 0, 90, 100
2, 6660, Note_on_c, 0, 86, 100
2, 6705, Note_on_c, 0, 86, 0
2, 6705, Note_on_c, 0, 90, 0
2, 6720, Note_on_c, 0, 88, 100
