0, 0, Header, 1, 12, 480
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 444444
1, 552177, Tempo, 450450
1, 552214, Tempo, 452489
1, 552399, Tempo, 454545
1, 552731, Tempo, 458716
1, 552916, Tempo, 458716
1, 553137, Tempo, 460829
1, 553322, Tempo, 462963
1, 553543, Tempo, 465116
1, 553765, Tempo, 467290
1, 553949, Tempo, 469484
1, 554023, Tempo, 534759
1, 554060, Tempo, 540541
1, 554097, Tempo, 543478
1, 554134, Tempo, 546448
1, 554171, Tempo, 552486
1, 554208, Tempo, 555556
1, 554245, Tempo, 558659
1, 554282, Tempo, 564972
1, 554319, Tempo, 568182
1, 554356, Tempo, 571429
1, 554393, Tempo, 578035
1, 554429, Tempo, 581395
1, 554466, Tempo, 588235
1, 554503, Tempo, 591716
1, 554540, Tempo, 595238
1, 554577, Tempo, 602410
1, 554614, Tempo, 606061
1, 554651, Tempo, 609756
1, 554688, Tempo, 617284
1, 554725, Tempo, 621118
1, 554762, Tempo, 625000
1, 554799, Tempo, 632911
1, 554836, Tempo, 636943
1, 554873, Tempo, 645161
1, 554909, Tempo, 649351
1, 554946, Tempo, 653595
1, 554983, Tempo, 662252
1, 555020, Tempo, 666667
1, 555057, Tempo, 671141
1, 555094, Tempo, 680272
1, 555131, Tempo, 684932
1, 555168, Tempo, 689655
1, 555205, Tempo, 699301
1, 555242, Tempo, 704225
1, 555279, Tempo, 714286
1, 555316, Tempo, 719424
1, 555353, Tempo, 724638
1, 555389, Tempo, 735294
1, 555426, Tempo, 740741
1, 555463, Tempo, 746269
1, 555500, Tempo, 757576
1, 555537, Tempo, 763359
1, 555574, Tempo, 769231
1, 555611, Tempo, 781250
1, 555648, Tempo, 787402
1, 555685, Tempo, 800000
1, 555722, Tempo, 806452
1, 555759, Tempo, 813008
1, 555796, Tempo, 826446
1, 555833, Tempo, 833333
1, 555869, Tempo, 840336
1, 555906, Tempo, 854701
1, 555943, Tempo, 862069
1, 555980, Tempo, 869565
1, 556017, Tempo, 884956
1, 556054, Tempo, 892857
1, 556091, Tempo, 909091
1, 556128, Tempo, 917431
1, 556165, Tempo, 925926
1, 556202, Tempo, 943396
1, 556239, Tempo, 952381
1, 556276, Tempo, 961538
1, 556313, Tempo, 980392
1, 556349, Tempo, 990099
1, 556386, Tempo, 1000000
1, 556423, Tempo, 1020408
1, 556460, Tempo, 1030928
1, 556497, Tempo, 1041667
1, 556534, Tempo, 1063830
1, 556571, Tempo, 1075269
1, 556608, Tempo, 1098901
1, 556645, Tempo, 1111111
1, 556682, Tempo, 1123596
1, 556719, Tempo, 1149425
1, 556756, Tempo, 1162791
1, 556793, Tempo, 1176471
1, 556829, Tempo, 1204819
1, 556866, Tempo, 1219512
1, 556903, Tempo, 1234568
1, 556940, Tempo, 1265823
1, 556977, Tempo, 1282051
1, 557014, Tempo, 1315789
1, 557051, Tempo, 1333333
1, 557088, Tempo, 1351351
1, 557125, Tempo, 1388889
1, 557162, Tempo, 1408451
1, 557199, Tempo, 1428571
1, 557236, Tempo, 1470588
1, 557273, Tempo, 1492537
1, 557309, Tempo, 1515152
1, 557346, Tempo, 1562500
1, 557383, Tempo, 1587302
1, 557420, Tempo, 1639344
1, 557457, Tempo, 1666667
1, 557494, Tempo, 1694915
1, 557531, Tempo, 1754386
1, 557568, Tempo, 1785714
1, 557605, Tempo, 1818182
1, 557642, Tempo, 1886792
1, 557679, Tempo, 1923077
1, 557716, Tempo, 1960784
1, 557753, Tempo, 2040816
1, 557789, Tempo, 2083333
1, 557826, Tempo, 2173913
1, 557863, Tempo, 2222222
1, 557900, Tempo, 2272727
1, 557937, Tempo, 2380952
1, 557974, Tempo, 2439024
1, 558011, Tempo, 2500000
1, 558048, Tempo, 2631579
1, 558085, Tempo, 2702703
1, 558122, Tempo, 2777778
1, 558159, Tempo, 2941176
1, 558196, Tempo, 3030303
1, 558233, Tempo, 3225806
1, 558269, Tempo, 869565
1, 558306, Tempo, 877193
1, 558343, Tempo, 884956
1, 558380, Tempo, 892857
1, 558417, Tempo, 900901
1, 558491, Tempo, 909091
1, 558528, Tempo, 917431
1, 558565, Tempo, 925926
1, 558602, Tempo, 934579
1, 558639, Tempo, 943396
1, 558676, Tempo, 952381
1, 558713, Tempo, 961538
1, 558749, Tempo, 970874
1, 558786, Tempo, 980392
1, 558823, Tempo, 990099
1, 558860, Tempo, 1000000
1, 558897, Tempo, 1010101
1, 558934, Tempo, 1020408
1, 558971, Tempo, 1030928
1, 559045, Tempo, 1041667
1, 559082, Tempo, 1052632
1, 559119, Tempo, 1063830
1, 559156, Tempo, 1075269
1, 559193, Tempo, 1086957
1, 559229, Tempo, 1098901
1, 559266, Tempo, 1111111
1, 559303, Tempo, 1123596
1, 559340, Tempo, 1136364
1, 559377, Tempo, 1149425
1, 559414, Tempo, 1162791
1, 559451, Tempo, 1176471
1, 559488, Tempo, 1190476
1, 559525, Tempo, 1204819
1, 559599, Tempo, 1219512
1, 559636, Tempo, 1234568
1, 559673, Tempo, 1250000
1, 559709, Tempo, 1265823
1, 559746, Tempo, 1282051
1, 559783, Tempo, 1298701
1, 559820, Tempo, 1315789
1, 559857, Tempo, 1333333
1, 559894, Tempo, 1351351
1, 559931, Tempo, 1369863
1, 559968, Tempo, 1388889
1, 560005, Tempo, 1408451
1, 560042, Tempo, 1428571
1, 560079, Tempo, 1449275
1, 560153, Tempo, 1470588
1, 560189, Tempo, 1492537
1, 560226, Tempo, 1515152
1, 560263, Tempo, 1538462
1, 560300, Tempo, 1562500
1, 560337, Tempo, 1587302
1, 560374, Tempo, 1612903
1, 560411, Tempo, 1639344
1, 560448, Tempo, 1666667
1, 560485, Tempo, 1694915
1, 560522, Tempo, 1724138
1, 560559, Tempo, 1754386
1, 560596, Tempo, 1785714
1, 560633, Tempo, 1818182
1, 560669, Tempo, 1851852
1, 560669, End_track
2, 0, Start_track
2, 0, Title_t, "Flutes"
2, 0, Program_c, 0, 73
2, 0, Control_c, 0, 7, 90
2, 0, Control_c, 0, 10, 80
2, 8160, Note_on_c, 0, 84, 100
2, 9120, Note_on_c, 0, 84, 0
2, 9120, Note_on_c, 0, 83, 100
2, 9600, Note_on_c, 0, 83, 0
2, 10080, Note_on_c, 0, 86, 100
2, 11040, Note_on_c, 0, 86, 0
2, 11040, Note_on_c, 0, 84, 100
2, 11520, Note_on_c, 0, 84, 0
2, 11760, Note_on_c, 0, 81, 127
2, 11880, Note_on_c, 0, 81, 0
2, 12000, Note_on_c, 0, 81, 127
2, 12120, Note_on_c, 0, 81, 0
2, 12240, Note_on_c, 0, 81, 127
2, 12360, Note_on_c, 0, 81, 0
2, 12480, Note_on_c, 0, 81, 127
2, 13200, Note_on_c, 0, 81, 0
2, 13200, Note_on_c, 0, 79, 127
2, 13260, Note_on_c, 0, 79, 0
2, 13260, Note_on_c, 0, 77, 127
